id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
11,Medical,Respiratory,A 58-year-old male with a history of heart failure presents with sudden onset severe shortness of breath that woke him from sleep. He is sitting bolt upright and cannot lie down without becoming more dyspneic. He is coughing up pink frothy sputum. He has bilateral crackles throughout both lung fields. Vital signs are BP 186/108 HR 118 RR 32 SpO2 84% on room air. His neck veins are distended and he has 2+ pitting edema of his lower extremities. What is causing his respiratory distress and what treatment is appropriate?,He has pneumonia and needs antibiotics,He has acute pulmonary edema from left heart failure. Treatment includes sitting him upright high-flow oxygen or CPAP if available and nitroglycerin if his blood pressure supports it,He is having an asthma attack and needs albuterol,He has a pulmonary embolism,B,Acute pulmonary edema occurs when the failing left ventricle cannot adequately pump blood forward causing backup into the pulmonary circulation. Fluid transudates into the alveoli impairing gas exchange. Classic presentation includes sudden severe dyspnea worse lying down called orthopnea pink frothy sputum bilateral crackles elevated JVP and peripheral edema. Treatment focuses on reducing preload and supporting oxygenation. Position upright to reduce venous return. High-flow oxygen or CPAP improves oxygenation and reduces preload. Nitroglycerin 0.4 mg SL reduces preload through venodilation but requires adequate blood pressure typically SBP greater than 100.
12,Medical,Respiratory,You are treating the pulmonary edema patient with CPAP at 10 cmH2O and have administered nitroglycerin 0.4 mg sublingual. His SpO2 has improved to 92% and he states he can breathe a little easier. However his blood pressure has dropped from 186/108 to 94/62 and he is becoming more confused. What should you do?,Continue current treatment as this is expected improvement,Remove CPAP and discontinue nitroglycerin. The hypotension indicates he is becoming cardiogenic shock. Position supine or legs elevated and give a small fluid bolus if severely hypotensive,Give another nitroglycerin to continue lowering his blood pressure,Increase CPAP to 15 cmH2O,B,This patient has transitioned from hypertensive pulmonary edema to cardiogenic shock. While pulmonary edema with hypertension benefits from preload reduction with nitrates and CPAP the same treatments can be harmful when the patient becomes hypotensive. The sudden drop in blood pressure and altered mental status indicate inadequate cardiac output. Discontinue nitroglycerin as further preload reduction will worsen hypotension. CPAP may need to be reduced or removed as positive pressure decreases venous return. Position to improve perfusion. This patient needs rapid transport as he may require inotropic support or other advanced interventions not available at AEMT level.
13,Medical,Respiratory,A 72-year-old female who had hip replacement surgery 5 days ago presents with sudden onset of shortness of breath and pleuritic chest pain. She has been mostly bedbound since surgery. She denies cough fever or leg pain but you notice her right calf appears slightly swollen compared to the left. She is anxious and diaphoretic. Vital signs are BP 108/72 HR 118 RR 26 SpO2 89% on room air. Lung sounds are clear. What do you suspect and why are clear lung sounds significant?,She has pneumonia causing her symptoms,You should suspect pulmonary embolism. The recent surgery immobility sudden dyspnea pleuritic pain tachycardia hypoxia with clear lungs and unilateral leg swelling all suggest PE. Clear lungs with significant hypoxia indicates a non-pulmonary cause of hypoxemia,She is having a panic attack from being in the hospital,Her symptoms are normal after hip surgery,B,Pulmonary embolism PE should be suspected in any patient with risk factors for DVT such as recent surgery immobility cancer or prior clots who presents with sudden dyspnea and chest pain. The combination of significant hypoxia with clear lung sounds is an important clue because most causes of hypoxia pneumonia pulmonary edema COPD have abnormal lung sounds. In PE the lungs themselves are often clear because the problem is blocked pulmonary blood flow not alveolar disease. The swollen calf suggests DVT as the source. Treatment is supportive with oxygen and monitoring. Large PE can cause cardiovascular collapse.
14,Medical,Cardiac,A 56-year-old male is complaining of chest pressure that started 30 minutes ago while watching television. He describes it as a heaviness in the center of his chest radiating to his left arm and jaw rated 7 out of 10. He is diaphoretic and nauseated. He has a history of hypertension and high cholesterol and smokes one pack per day. His medications include lisinopril and atorvastatin. Vital signs are BP 158/94 HR 88 RR 18 SpO2 96% on room air. What is your primary concern and what initial treatment should you provide at the AEMT level?,This is indigestion from a large meal,This presentation is classic for acute coronary syndrome likely MI. Give aspirin 324 mg chewed establish IV access provide oxygen if hypoxic and give nitroglycerin if blood pressure permits and no contraindications,He is having a panic attack,His blood pressure is too high to be having a heart attack,B,This patient has classic acute coronary syndrome presentation with substernal pressure radiating to arm and jaw diaphoresis nausea and multiple cardiac risk factors. Immediate treatment includes aspirin 324 mg chewed to inhibit platelets supplemental oxygen if SpO2 is below 94% IV access and nitroglycerin 0.4 mg sublingual every 5 minutes up to 3 doses if SBP remains above 100 and there are no contraindications. Contraindications to nitroglycerin include hypotension recent use of erectile dysfunction medications and suspected right ventricular infarction. Obtain 12-lead ECG if available and capable. Rapid transport to a cardiac-capable facility is essential.
15,Medical,Cardiac,You are treating the chest pain patient with suspected ACS. You have given aspirin 324 mg and obtained a 12-lead ECG which shows ST elevation in leads II III and aVF. Before giving nitroglycerin what additional assessment should you perform and why?,No additional assessment is needed before nitroglycerin,Inferior MI seen in leads II III aVF may involve the right ventricle. Obtain right-sided leads especially V4R if possible. Right ventricular infarction is preload-dependent and nitroglycerin can cause severe hypotension,Check his blood glucose before nitroglycerin,Assess his lung sounds for wheezing,B,Inferior wall MI is often associated with right ventricular involvement because both are typically supplied by the right coronary artery. The right ventricle depends on adequate preload to maintain cardiac output. Nitroglycerin causes venodilation which reduces preload. In a patient with RV infarction this preload reduction can cause profound hypotension and cardiovascular collapse. If possible obtain right-sided leads with ST elevation in V4R greater than 1mm being diagnostic of RV involvement. If right-sided leads are not available or show RV involvement use nitroglycerin cautiously if at all and be prepared to treat hypotension with IV fluids.
16,Medical,Cardiac,A 78-year-old female presents with weakness and fatigue that has been worsening over the past day. She denies chest pain but admits to some mild shortness of breath and nausea. She has a history of diabetes and hypertension. She takes metformin lisinopril and aspirin. Her skin is pale and slightly diaphoretic. Vital signs are BP 104/68 HR 96 RR 20 SpO2 94% on room air. Blood glucose is 142 mg/dL. Given her age and medical history what should you consider and why might her presentation be atypical?,This is a viral illness causing her fatigue,Elderly patients and diabetics often have atypical ACS presentations without classic chest pain. Her weakness fatigue dyspnea and nausea with diaphoresis could represent acute MI. Obtain 12-lead ECG and treat as possible ACS,Her blood sugar is normal so this is not diabetes-related,She is just dehydrated and needs IV fluids,B,Elderly patients women and diabetics frequently present with atypical symptoms of acute coronary syndrome. Instead of classic crushing chest pain they may experience weakness fatigue dyspnea nausea or vague discomfort. Diabetic neuropathy can blunt cardiac pain perception. These atypical presentations result in delayed recognition and higher mortality. This patient has multiple risk factors age diabetes hypertension and symptoms that could represent ACS. Obtain a 12-lead ECG maintain high suspicion give aspirin if not already taking it and transport for evaluation. Do not dismiss vague symptoms in high-risk patients.
17,Medical,Cardiac,A 68-year-old male collapsed at a grocery store. Bystanders began CPR immediately. You arrive to find CPR in progress with an AED attached that has advised one shock was delivered. You take over CPR and attach your monitor which shows coarse ventricular fibrillation. What are your immediate actions and what is the AEMT role in cardiac arrest management?,AEMTs cannot manage cardiac arrest and should wait for paramedics,Continue high-quality CPR defibrillate at maximum energy establish IV or IO access administer epinephrine per protocols and continue CPR and defibrillation cycles. Prepare for advanced airway if needed and within scope,Only continue CPR until paramedics arrive,Stop CPR to assess for a pulse every minute,B,AEMTs play a crucial role in cardiac arrest management. Immediate priorities include high-quality CPR with minimal interruptions defibrillation for VF or pulseless VT every 2 minutes and establishing IV or IO access for medication administration. Epinephrine 1 mg IV/IO is given every 3-5 minutes in cardiac arrest per protocols. Basic airway management with BVM is initially appropriate with advancement to supraglottic airway if unable to adequately ventilate. The chain of survival depends on early CPR early defibrillation and efficient resuscitation which AEMTs are trained to provide. If ACLS-level providers are available they can provide additional interventions.
18,Medical,Cardiac,You are managing the cardiac arrest patient. After the second shock and 2 minutes of CPR with epinephrine given the rhythm changes to a narrow complex rhythm at 78 bpm. You stop CPR to assess and find a weak pulse with BP 68/42. The patient is not breathing and remains unconscious. What has occurred and what are your priorities now?,Resume CPR because the blood pressure is too low,The patient has achieved ROSC return of spontaneous circulation. Priorities are maintaining airway and ventilation optimizing oxygenation supporting blood pressure with fluids and continued monitoring. Do not resume CPR if pulse is present,The rhythm is PEA and you should continue CPR,Terminate resuscitation since he is not breathing,B,Return of spontaneous circulation ROSC is indicated by a perfusing rhythm with palpable pulse. This patient has a pulse so CPR should not be performed. Post-ROSC priorities include airway management with continued BVM or advanced airway as needed ventilation targeting SpO2 94-98% blood pressure support targeting SBP greater than 90 with IV fluid bolus and continuous monitoring as rearrest is common. The hypotension requires treatment with crystalloid bolus. Transport rapidly to a facility capable of post-arrest care including targeted temperature management and cardiac catheterization if STEMI is present. Document time of ROSC and all interventions.
19,Medical,Cardiac,A 72-year-old female presents with palpitations and dizziness. She states her heart has been racing for about 2 hours and she feels like it might beat out of her chest. She has a history of hypertension and takes lisinopril. Vital signs are BP 138/88 HR 188 regular RR 18 SpO2 97% on room air. The cardiac monitor shows a regular narrow complex tachycardia without visible P waves. She is anxious but alert and oriented. What is the most likely rhythm and what is the AEMT role in managing this patient?,This is sinus tachycardia from anxiety,This is likely supraventricular tachycardia SVT. At AEMT level provide supportive care oxygen IV access and consider vagal maneuvers if trained and protocolized. Monitor closely for deterioration and transport for definitive treatment,Give nitroglycerin for the fast heart rate,Cardiovert immediately,B,Regular narrow complex tachycardia at this rate without P waves is most likely SVT specifically AVNRT or AVRT. The patient is hemodynamically stable with adequate blood pressure and mental status. At AEMT level management includes supplemental oxygen if needed IV access for potential medication administration and monitoring. Some AEMT protocols include vagal maneuvers such as the Valsalva maneuver or modified Valsalva which can terminate SVT by increasing vagal tone. Adenosine and cardioversion are typically paramedic-level interventions but the AEMT provides essential supportive care and monitoring during transport.
20,Medical,Cardiac,A 68-year-old male presents with weakness and near-syncope. He states he almost passed out while walking to the bathroom. He has a history of heart disease and had a heart attack 2 years ago. He takes aspirin metoprolol lisinopril and atorvastatin. He appears pale and mildly diaphoretic. Vital signs are BP 88/54 HR 38 regular RR 16 SpO2 95% on room air. The cardiac monitor shows a regular bradycardia with wide QRS complexes. What is this patient experiencing and what is the AEMT level of care?,This is normal for someone taking metoprolol,He has symptomatic bradycardia with hemodynamic compromise. At AEMT level establish IV access give fluid bolus for hypotension position supine with legs elevated and transport rapidly. Atropine and pacing are ALS interventions but your supportive care is essential,His heart rate is not dangerously low,Give nitroglycerin for his low blood pressure,B,Symptomatic bradycardia means a slow heart rate causing symptoms such as hypotension syncope altered mental status or signs of shock. This patient's HR of 38 with BP 88/54 and near-syncope is symptomatic. The wide QRS suggests the escape rhythm is from below the AV node which often does not respond well to atropine. At AEMT level provide supportive care including IV access IV fluid bolus to support blood pressure positioning to optimize perfusion and continuous monitoring. Transcutaneous pacing and atropine are ALS interventions. Your role is stabilization and rapid transport to definitive care.
21,Medical,Allergic Reaction,A 25-year-old male was eating at a Thai restaurant when he developed lip tingling followed by lip and tongue swelling. He has hives spreading across his trunk. He is mildly short of breath with some throat tightness. He states he has a tree nut allergy and thinks there may have been nuts in his food. Vital signs are BP 118/74 HR 104 RR 20 SpO2 96% on room air. He has diffuse urticaria and visible lip angioedema but can speak in full sentences without stridor. What severity is this allergic reaction and what is appropriate treatment?,This is a mild reaction that only needs diphenhydramine,This is anaphylaxis with involvement of multiple systems skin respiratory and should be treated with epinephrine 0.3 mg IM even though he is not yet in shock. Early epinephrine prevents progression,Since his blood pressure is normal this is not anaphylaxis,Have him use his EpiPen and he can refuse transport,B,Anaphylaxis is defined as a serious allergic reaction involving multiple organ systems that is rapid in onset and potentially fatal. This patient has skin involvement urticaria angioedema and respiratory involvement throat tightness dyspnea meeting criteria for anaphylaxis. Epinephrine is indicated for anaphylaxis even before hemodynamic instability develops because early treatment prevents progression to severe anaphylaxis. The dose is 0.3-0.5 mg of 1:1000 concentration given IM in the lateral thigh. Do not wait for the patient to deteriorate before giving epinephrine. Adjunct treatments include diphenhydramine and monitoring but these do not replace epinephrine.
22,Medical,Allergic Reaction,You have administered epinephrine 0.3 mg IM to the patient with anaphylaxis. Five minutes later his hives are slightly improved but he now has audible stridor and is having difficulty speaking. His SpO2 has dropped to 91% and he appears more anxious. Blood pressure is now 102/68 HR 124. What should you do?,The epinephrine did not work so try diphenhydramine instead,His symptoms are progressing despite initial epinephrine. Repeat epinephrine 0.3 mg IM provide high-flow oxygen and prepare for possible airway intervention. Establish IV access and give fluid bolus,Wait to see if the first epinephrine dose works,Give oral antihistamines,B,Epinephrine can and should be repeated in anaphylaxis if symptoms persist or worsen. The typical interval is every 5-15 minutes as needed. This patient has developing upper airway obstruction indicated by stridor and difficulty speaking which is life-threatening. Give a second dose of epinephrine IM immediately provide high-flow oxygen establish IV access and give a fluid bolus for the dropping blood pressure. The stridor indicates laryngeal edema and he may rapidly progress to complete airway obstruction. Be prepared for emergency airway intervention. Continue epinephrine and supportive care during rapid transport.
23,Medical,Allergic Reaction,A 45-year-old female was stung by a bee and now has severe swelling of her entire arm and local hives around the sting site. She denies any shortness of breath throat tightness or difficulty swallowing. She has no hives elsewhere and feels fine other than pain and itching at the sting site. Vital signs are completely normal. She does not have a history of anaphylaxis. Does this patient need epinephrine?,Yes all bee stings require epinephrine because they can progress to anaphylaxis,No this is a large local reaction not anaphylaxis. Treatment includes diphenhydramine for itching ice for swelling and monitoring for any systemic symptoms that would indicate progression to anaphylaxis,Yes give epinephrine to prevent progression,No treatment is needed for any bee sting,B,Large local reactions are exaggerated local responses to insect stings with extensive swelling beyond the immediate sting site. While impressive appearing they are not anaphylaxis as long as symptoms remain localized and there are no systemic symptoms. Epinephrine is indicated for systemic reactions involving multiple organ systems not for local reactions even large ones. Treatment includes removing the stinger if present diphenhydramine 25-50 mg for itching ice or cold compresses and monitoring for any systemic symptoms. Advise the patient to seek immediate care if she develops any breathing difficulty throat symptoms widespread hives or dizziness.
24,Medical,Stroke,A 72-year-old male was eating breakfast when his wife noticed he dropped his fork and his face looked crooked. His speech is slurred and he cannot raise his right arm. His wife called 911 immediately and states symptoms began approximately 20 minutes ago. He has a history of hypertension diabetes and atrial fibrillation. His medications include metoprolol metformin and warfarin. Vital signs are BP 178/98 HR 88 irregular RR 16 SpO2 97% on room air. Using the Cincinnati Prehospital Stroke Scale what findings suggest stroke and what is critical to document?,His symptoms are from low blood sugar and you should check glucose first,He has facial droop arm drift and speech abnormality all three components of CPSS are abnormal strongly suggesting stroke. Critical documentation includes exact time of symptom onset or last known well blood glucose and current medications especially anticoagulants,Wait to see if symptoms resolve before concluding this is a stroke,His blood pressure is too high for stroke,B,The Cincinnati Prehospital Stroke Scale assesses three components: facial droop ask patient to smile arm drift hold arms out with eyes closed and speech repeat a sentence. Any one abnormality has 72% probability of stroke and all three abnormal has greater than 85% probability. This patient has all three. Critical documentation includes exact time of symptom onset needed for thrombolytic eligibility blood glucose to rule out hypoglycemia mimicking stroke current medications especially anticoagulants which affect treatment options and vital signs. Time is brain in stroke as neurons die rapidly. Alert the receiving hospital as a stroke alert.
25,Medical,Stroke,You are transporting the stroke patient to a comprehensive stroke center. His symptoms have remained stable with right-sided weakness facial droop and dysarthria. His blood glucose is 138 mg/dL. His blood pressure is 182/96. Should you attempt to lower his blood pressure during transport?,Yes the elevated blood pressure is dangerous and should be lowered to normal,No allow permissive hypertension in stroke. Elevated BP may be maintaining perfusion to the ischemic brain tissue. Only treat if severely elevated typically greater than 220/120 for non-tPA candidates,Give aspirin to lower his blood pressure,The blood pressure does not matter in stroke,B,In acute ischemic stroke elevated blood pressure may be a compensatory mechanism to maintain blood flow to the ischemic penumbra the area of brain tissue at risk but not yet dead. Lowering blood pressure aggressively can reduce perfusion to this tissue and extend the stroke. Current guidelines allow permissive hypertension in stroke patients not receiving tPA up to 220/120. If the patient is a tPA candidate blood pressure must be below 185/110. At AEMT level do not administer antihypertensives for stroke unless specifically directed by medical control for severe hypertension. Focus on supportive care and rapid transport.
26,Medical,Stroke,You respond to a 65-year-old female who had sudden onset of left arm weakness and slurred speech 30 minutes ago. On your arrival her symptoms have completely resolved and she feels fine. She wants to refuse transport stating it was probably nothing since she is better now. Vital signs are normal and neurological exam shows no deficits. Her husband is very concerned and wants her to go to the hospital. What was this event and what should you advise?,Since her symptoms resolved completely this was nothing to worry about,This was likely a transient ischemic attack TIA which is a warning sign for stroke. Up to 10-15% of TIA patients will have a stroke within 90 days with highest risk in the first 48 hours. Strongly recommend transport for urgent evaluation,She had a panic attack that resolved,If symptoms are gone no evaluation is needed,B,A transient ischemic attack TIA is a brief episode of neurological dysfunction from focal brain ischemia without infarction. Symptoms typically resolve within minutes to an hour. TIA is a medical emergency despite symptom resolution because it indicates unstable cerebrovascular disease with high short-term stroke risk. Up to 10-15% of TIA patients will have a stroke within 90 days with the highest risk in the first 24-48 hours. She needs urgent evaluation including brain imaging carotid studies cardiac evaluation and initiation of secondary prevention medications. Strongly encourage transport and document your advice if she refuses.
27,Medical,Seizure,You respond to a 32-year-old male having a seizure at a bus stop. Bystanders state he suddenly fell down and started shaking about 3 minutes ago. On arrival he is having generalized tonic-clonic activity with rhythmic jerking of all extremities. He is unconscious with clenched jaw and drooling. He is cyanotic around the lips. There is urine on his pants. His wallet contains an epilepsy medical alert card. What are your immediate management priorities?,Insert an oral airway and restrain him to prevent injury,Protect him from injury do not restrain or put anything in his mouth position to protect airway suction if needed give oxygen and check blood glucose. Time the seizure and be prepared to give benzodiazepine if it continues,Give him a dose of his seizure medication,Wait for the seizure to stop then assess him,B,Immediate seizure management priorities are protecting the patient from injury by moving objects and cushioning the head do not restrain forcefully as this can cause injury. Do not put anything in the mouth as this can cause dental injury or obstruction. Position to protect the airway allowing secretions to drain suction if needed and provide supplemental oxygen. Check blood glucose as hypoglycemia can cause seizures. Time the seizure duration as seizures lasting greater than 5 minutes or recurrent seizures without recovery constitute status epilepticus requiring benzodiazepine treatment. Most seizures stop spontaneously within 1-2 minutes.
