emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-512,Equipment,Oxygen,vocabulary,Simple face mask,Oxygen mask delivering 40-60% oxygen,Non-rebreather,Basic oxygen mask,Nasal cannula,Venturi mask,B,The simple face mask covers nose and mouth delivering approximately 40-60% oxygen at 6-10 LPM. Flow must be at least 6 LPM to prevent CO2 rebreathing from the mask.
EMR-VOCAB-513,Equipment,Oxygen,vocabulary,Venturi mask,Mask delivering precise oxygen concentrations,Simple mask,Precise concentration mask,Non-rebreather,Nasal cannula,B,The Venturi mask uses color-coded adapters to deliver precise oxygen concentrations from 24-50%. It is useful for COPD patients requiring controlled oxygen delivery.
EMR-VOCAB-514,Equipment,Oxygen,vocabulary,Pulse oximeter,Device measuring oxygen saturation non-invasively,Blood pressure monitor,Oxygen saturation monitor,Heart rate monitor,Thermometer,B,The pulse oximeter clips to a finger or earlobe using light absorption to measure SpO2 and pulse rate. Normal SpO2 is 95-100%. It does not measure CO2 or detect carbon monoxide poisoning.
EMR-VOCAB-515,Equipment,Circulation,vocabulary,Sphygmomanometer,Blood pressure measuring device,Heart rate monitor,Blood pressure cuff device,Oxygen monitor,Thermometer,B,The sphygmomanometer consists of an inflatable cuff manometer and valve used to measure blood pressure. Manual devices require a stethoscope while automatic devices inflate and measure electronically.
EMR-VOCAB-516,Equipment,Circulation,vocabulary,Stethoscope,Instrument for listening to body sounds,Blood pressure cuff,Listening instrument,Thermometer,Pulse oximeter,B,The stethoscope amplifies body sounds for auscultation. It is used to hear lung sounds heart sounds blood pressure Korotkoff sounds and bowel sounds. It has a diaphragm and bell.
EMR-VOCAB-517,Equipment,Circulation,vocabulary,Automated external defibrillator (AED),Device that analyzes heart rhythm and delivers shocks,Manual defibrillator,Automatic shock device,Heart monitor,Pacemaker,B,The AED analyzes cardiac rhythm and delivers defibrillation shocks for ventricular fibrillation and pulseless ventricular tachycardia. It provides voice prompts and is designed for use by trained laypersons and professionals.
EMR-VOCAB-518,Equipment,Circulation,vocabulary,Tourniquet,Device to stop severe extremity bleeding by compressing vessels,Bandage,Bleeding compression device,Splint,Sling,B,A tourniquet is applied proximally to a wound to occlude arterial blood flow and stop life-threatening extremity hemorrhage. Modern guidelines recommend early tourniquet use for severe bleeding.
EMR-VOCAB-519,Equipment,Circulation,vocabulary,Hemostatic dressing,Gauze treated with agents that promote clotting,Regular gauze,Clot-promoting dressing,Bandage,Tape,B,Hemostatic dressings contain agents like kaolin or chitosan that accelerate clot formation. They are used for wound packing when direct pressure alone is insufficient to control bleeding.
EMR-VOCAB-520,Equipment,Immobilization,vocabulary,Cervical collar,Device to limit neck movement in suspected spine injury,Neck brace,Cervical immobilization device,Head block,Backboard,B,The cervical collar or C-collar limits movement of the cervical spine in trauma patients. It must be properly sized and applied. It is used with manual stabilization until full immobilization is achieved.
EMR-VOCAB-521,Equipment,Immobilization,vocabulary,Long backboard,Rigid board for full spinal immobilization,Short board,Full body immobilization board,Scoop stretcher,KED,B,The long backboard provides a rigid surface for immobilizing the entire spine. The patient is secured with straps and head blocks. It is used for suspected spinal injury with mechanism of injury.
EMR-VOCAB-522,Equipment,Immobilization,vocabulary,Head blocks,Foam blocks used to immobilize the head on a backboard,Cervical collar,Head immobilization devices,Padding,Straps,B,Head blocks or head immobilization devices are placed on either side of the head and secured with straps to prevent lateral head movement after the patient is on the backboard.
EMR-VOCAB-523,Equipment,Immobilization,vocabulary,KED (Kendrick Extrication Device),Vest-type device for spinal immobilization during extrication,Long backboard,Short spine board vest,Cervical collar,Scoop stretcher,B,The KED is a vest-type short spine immobilization device used for seated patients requiring extrication from vehicles. It immobilizes the head neck and torso while maintaining spinal alignment during movement.
EMR-VOCAB-524,Equipment,Immobilization,vocabulary,Scoop stretcher,Split stretcher that slides under patient without rolling,Backboard,Split patient scoop device,Stair chair,Wheeled stretcher,B,The scoop stretcher splits into two halves that are slid under the patient from each side then locked together. It allows patient pickup with minimal movement making it useful for suspected spinal injury.
EMR-VOCAB-525,Equipment,Immobilization,vocabulary,Splint,Device to immobilize injured extremity,Bandage,Extremity immobilization device,Sling,Tourniquet,B,Splints immobilize fractures and dislocations preventing further injury and reducing pain. Types include rigid board splints air splints traction splints and improvised splints.
EMR-VOCAB-526,Equipment,Immobilization,vocabulary,Traction splint,Device that applies pulling force to align femur fractures,Regular splint,Femur pulling splint,Air splint,Rigid splint,B,Traction splints like the Hare or Sager apply longitudinal traction to femur fractures reducing pain bleeding and muscle spasm. They should not be used for hip knee or lower leg injuries.
EMR-VOCAB-527,Equipment,Immobilization,vocabulary,SAM splint,Moldable foam-covered aluminum splint,Rigid board splint,Moldable splint,Air splint,Traction splint,B,The SAM splint is a flexible foam-padded aluminum splint that can be molded to fit any extremity. Its versatility makes it useful for various fracture locations and positions.
EMR-VOCAB-528,Equipment,Immobilization,vocabulary,Sling and swathe,Arm support and body wrap for upper extremity immobilization,Splint type,Arm immobilization combination,Tourniquet,Bandage,B,A sling supports the forearm and hand while the swathe wraps around the body to secure the arm against the chest. Together they immobilize shoulder and upper arm injuries.
EMR-VOCAB-529,Equipment,Transport,vocabulary,Wheeled stretcher,Primary patient transport device in ambulance,Stair chair,Main ambulance cot,Backboard,Scoop stretcher,B,The wheeled stretcher or cot is the primary device for transporting patients in ambulances. It has wheels an adjustable frame safety rails and restraints. Patients are secured before transport.
EMR-VOCAB-530,Equipment,Transport,vocabulary,Stair chair,Wheeled chair for moving patients on stairs,Wheeled stretcher,Stairway transport chair,Wheelchair,Scoop stretcher,B,The stair chair is a lightweight wheeled chair designed for moving patients up and down stairs where stretchers cannot navigate. It has tracks or wheels for smooth stair descent.
EMR-VOCAB-531,Equipment,Transport,vocabulary,Portable stretcher,Collapsible stretcher for patient movement,Wheeled cot,Foldable patient carrier,Backboard,Stair chair,B,Portable stretchers are lightweight collapsible devices used to move patients from location to the ambulance stretcher. They fold for storage and can be carried by two providers.
EMR-VOCAB-532,Equipment,Diagnostic,vocabulary,Glucometer,Device for measuring blood glucose level,Thermometer,Blood sugar meter,Blood pressure device,Pulse oximeter,B,The glucometer measures blood glucose concentration from a small blood sample. It provides rapid results to help identify hypoglycemia or hyperglycemia. Proper technique and calibration ensure accuracy.
EMR-VOCAB-533,Equipment,Diagnostic,vocabulary,Thermometer,Device for measuring body temperature,Glucometer,Temperature measuring device,Blood pressure cuff,Pulse oximeter,B,Thermometers measure body temperature using various methods including oral tympanic temporal artery and rectal. Normal temperature is approximately 98.6°F or 37°C with normal variation.
EMR-VOCAB-534,Equipment,Diagnostic,vocabulary,Penlight,Small flashlight for pupil assessment and examination,Stethoscope,Small examination light,Otoscope,Ophthalmoscope,B,The penlight is a small bright light used to assess pupil reaction to light and for examination in dark areas. Pupils should constrict equally and briskly when light is applied.
EMR-VOCAB-535,Equipment,PPE,vocabulary,Nitrile gloves,Protective gloves made of synthetic rubber,Latex gloves,Non-latex exam gloves,Surgical gloves,Sterile gloves,B,Nitrile gloves are non-latex synthetic rubber gloves used for patient care. They provide barrier protection against blood and body fluids without latex allergy risk. They should be changed between patients.
EMR-VOCAB-536,Equipment,PPE,vocabulary,Face shield,Protective device covering face from splashes,Surgical mask,Full face protection,Safety glasses,N95 respirator,B,Face shields provide a barrier protecting the entire face including eyes from splashes and sprays of blood and body fluids. They are used during procedures with splash risk.
EMR-VOCAB-537,Equipment,PPE,vocabulary,N95 respirator,Mask filtering at least 95% of airborne particles,Surgical mask,High-filtration mask,Face shield,Dust mask,B,N95 respirators filter at least 95% of airborne particles including small droplet nuclei. They require fit testing and are used for airborne disease protection such as tuberculosis.
EMR-VOCAB-538,Equipment,PPE,vocabulary,Gown,Protective garment covering clothing,Gloves,Body covering garment,Mask,Face shield,B,Isolation gowns protect clothing and skin from contact with blood and body fluids. They are worn for procedures with significant contamination risk and are removed carefully after use.
EMR-VOCAB-539,Equipment,Wound Care,vocabulary,Sterile gauze,Clean absorbent dressing material,Regular cloth,Sterile wound covering,Bandage,Tape,B,Sterile gauze pads and rolls are used to cover wounds absorb drainage and apply direct pressure for bleeding control. Sterility reduces infection risk in open wounds.
EMR-VOCAB-540,Equipment,Wound Care,vocabulary,Occlusive dressing,Airtight dressing that prevents air passage,Gauze pad,Air-sealing dressing,Bandage,Tape,B,Occlusive dressings seal wounds from air. They are used for sucking chest wounds to prevent air entry and for burns to prevent moisture loss. Petroleum gauze and plastic wrap are examples.
EMR-VOCAB-541,Equipment,Wound Care,vocabulary,Pressure bandage,Bandage designed to apply continuous pressure,Gauze only,Compression bandage,Occlusive dressing,Tape,B,Pressure bandages are elastic bandages applied firmly over wounds to maintain continuous direct pressure for hemorrhage control. They free the provider's hands while maintaining pressure.
EMR-VOCAB-542,Equipment,Wound Care,vocabulary,Triangular bandage,Versatile cloth for slings bandages and padding,Square bandage,Multi-purpose cloth bandage,Gauze roll,Elastic bandage,B,The triangular bandage is a versatile piece of cloth that can be used as a sling bandage pressure dressing or padding. It can be folded into a cravat for various applications.
EMR-VOCAB-543,Equipment,Wound Care,vocabulary,Roller bandage,Long strip of gauze for wrapping wounds,Triangular bandage,Gauze wrap roll,Pressure bandage,Tape,B,Roller bandages are long rolls of gauze used to secure dressings wrap injured areas and provide light compression. They come in various widths for different body parts.
EMR-VOCAB-544,Equipment,Childbirth,vocabulary,OB kit,Pre-packaged supplies for emergency childbirth,Trauma kit,Obstetric delivery supplies,First aid kit,IV kit,B,The OB kit contains supplies for emergency delivery including sterile gloves drapes umbilical clamps scissors bulb syringe blankets and cord clamps. It prepares providers for field delivery.
EMR-VOCAB-545,Equipment,Childbirth,vocabulary,Bulb syringe,Device for suctioning infant airway,Adult suction,Infant suctioning device,IV bulb,Medication device,B,The bulb syringe is a handheld suction device used to clear mucus and fluid from a newborn's mouth and nose. The bulb is compressed before insertion then released to create suction.
EMR-VOCAB-546,Equipment,Childbirth,vocabulary,Umbilical clamps,Devices to clamp the umbilical cord after cutting,Cord scissors,Cord clamping devices,Bandage clips,IV clamps,B,Umbilical clamps are placed on the umbilical cord to stop blood flow before the cord is cut. Two clamps are placed several inches apart and the cord is cut between them.
EMR-VOCAB-547,Equipment,Communication,vocabulary,Portable radio,Handheld two-way communication device,Cell phone,Handheld transceiver,Pager,Intercom,B,Portable radios allow EMS providers to communicate with dispatch hospitals and other units. They operate on designated frequencies and are essential for coordinating emergency response.
EMR-VOCAB-548,Equipment,Communication,vocabulary,Mobile data terminal (MDT),Computer in vehicle for receiving dispatch information,Radio,Vehicle computer system,GPS device,Pager,B,The MDT is a computer in the emergency vehicle that receives dispatch information displays call details provides mapping and allows electronic documentation. It enhances communication efficiency.
EMR-VOCAB-549,Equipment,Medication,vocabulary,Epinephrine auto-injector,Pre-filled device for emergency epinephrine injection,Insulin pen,Adrenaline auto-injection device,Regular syringe,IV medication,B,Epinephrine auto-injectors like EpiPen contain pre-measured epinephrine and automatically inject when pressed against the thigh. They are used for anaphylaxis and are designed for emergency use.
EMR-VOCAB-550,Equipment,Medication,vocabulary,Metered-dose inhaler (MDI),Device delivering measured medication doses for inhalation,Nebulizer,Pressurized inhaler device,Oxygen mask,Nasal spray,B,MDIs deliver precise doses of aerosolized medication for respiratory conditions. Patients press down to release medication while inhaling. A spacer can improve medication delivery to the lungs.
