id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
11,Neurology,TIA,A 70-year-old female presents with right arm weakness and difficulty speaking that began 2 hours ago. Her symptoms have now completely resolved and she feels back to normal. She wants to refuse transport stating it was probably nothing since she feels fine. Her history includes hypertension hyperlipidemia and smoking. Vital signs are normal. On exam she has no deficits. What was the likely event and why should she be transported for evaluation despite symptom resolution?,She had a panic attack and does not need evaluation,She likely had a transient ischemic attack TIA which is a warning sign for impending stroke. Her 90-day stroke risk is significant and she needs urgent evaluation and risk factor modification,Since symptoms resolved she does not need any treatment,This was a migraine aura and is not concerning,B,A transient ischemic attack TIA is a brief episode of neurological dysfunction caused by focal brain ischemia without infarction. Symptoms typically resolve within minutes to hours. TIA is a medical emergency because it signals high near-term stroke risk. The ABCD2 score estimates risk based on age blood pressure clinical features duration and diabetes. This patient has multiple risk factors. Up to 10-15% of TIA patients will have a stroke within 90 days with highest risk in the first 48 hours. She needs urgent evaluation including brain imaging carotid evaluation cardiac monitoring and initiation of secondary prevention.
12,Neurology,Seizure Assessment,A 34-year-old male is found on the sidewalk having generalized tonic-clonic seizure activity. Bystanders state the shaking has been going on for approximately 5 minutes. He has no medical alert bracelet and no one knows his history. He is unconscious with rhythmic jerking of all extremities jaw clenched eyes deviated upward and incontinent of urine. He is cyanotic around the lips. Vital signs obtainable are HR 128 SpO2 82% on room air. What are your immediate management priorities?,Wait for the seizure to stop then assess the patient,Protect from injury maintain airway suction if needed provide oxygen and prepare to administer benzodiazepine if seizure continues. Check blood glucose,Restrain the patient to prevent injury and insert an oral airway,Perform CPR because he is cyanotic,B,Active seizure management priorities are protecting from injury by moving objects away and padding if possible maintaining airway positioning to prevent aspiration suctioning secretions providing supplemental oxygen and checking blood glucose as hypoglycemia can cause seizures. Do not restrain forcefully or insert anything into the mouth. If seizure continues beyond 5 minutes or recurs without recovery it is status epilepticus requiring benzodiazepine administration. The cyanosis is from respiratory muscle involvement during the tonic-clonic activity not cardiac arrest so CPR is not indicated.
13,Neurology,Seizure Assessment,The patient continues to seize. Glucose is 118 mg/dL. You establish IV access with difficulty due to the movement. The seizure has now lasted 8 minutes total. According to the definition of status epilepticus what medication should be administered and what is the first-line dose?,Phenytoin 20 mg/kg IV is first-line for all seizures,Benzodiazepine is first-line. Options include midazolam 10 mg IM or 5 mg IV lorazepam 4 mg IV or diazepam 10 mg IV,Phenobarbital 20 mg/kg IV is first-line,No medication should be given until EEG confirms seizure activity,B,Status epilepticus is traditionally defined as seizure activity lasting more than 5 minutes or recurrent seizures without return to baseline. Benzodiazepines are first-line treatment. IM midazolam 10 mg is as effective as IV lorazepam 4 mg and is preferred when IV access is difficult. IV options include lorazepam 4 mg IV which has longer duration of action diazepam 5-10 mg IV which has rapid onset but shorter duration or midazolam 5 mg IV. Intranasal midazolam 10 mg is another option. If the first dose fails a second dose can be given. If benzodiazepines fail second-line agents include fosphenytoin levetiracetam or valproate.
14,Neurology,Seizure Assessment,After midazolam 10 mg IM the seizure stops. The patient is now postictal with GCS of 9 eyes closed responds to pain with withdrawal and makes incomprehensible sounds. He is breathing at 10 breaths per minute with SpO2 92% on room air. A friend arrives and states the patient has epilepsy and takes levetiracetam but ran out of medication a week ago. What is the expected postictal state and how should you manage this patient?,Postictal confusion is expected and may last 30-60 minutes. Support airway provide oxygen monitor closely and transport. He does not need another seizure medication now,He should wake up immediately after the seizure stops and prolonged confusion indicates stroke,Give another dose of midazolam to keep him sedated,The postictal state indicates brain death,B,The postictal state follows seizure termination and includes confusion lethargy combativeness and focal deficits like Todd paralysis that can mimic stroke. It typically lasts 5-30 minutes but can persist longer. This patient's GCS of 9 with slow respirations is consistent with postictal state plus benzodiazepine effect. Management includes airway support with positioning and possible adjuncts supplemental oxygen monitoring for recurrent seizures and supportive care during transport. Do not give more benzodiazepines unless seizures recur as respiratory depression is additive. Document the friend's information about medication noncompliance.
15,Neurology,Seizure Assessment,A 28-year-old female with known epilepsy has a witnessed seizure that lasts approximately 90 seconds then stops spontaneously. She is now postictal and slowly becoming more alert. Her husband states this is her typical seizure pattern and she has about 2 per month despite taking lamotrigine. Vital signs are BP 138/88 HR 96 RR 16 SpO2 97% on room air. Blood glucose is 102 mg/dL. She is becoming more oriented and asking what happened. She wants to refuse transport. Is this appropriate?,No. All seizure patients must be transported for CT scan,A brief self-limited seizure in a known epileptic with return to baseline who has a responsible adult present may refuse transport with appropriate documentation and instructions to follow up with her neurologist,Yes she can refuse but she should not take her seizure medication today,She must be placed on psychiatric hold for her safety,B,Not every seizure requires emergency department evaluation. A patient with known epilepsy who has a typical self-limited seizure returns to neurological baseline has no injuries has stable vital signs has a responsible adult present and can make an informed decision may refuse transport. Detailed documentation should include seizure description duration recovery baseline mental status normal exam vital signs medical decision-making capacity explanation of risks of refusal recommended follow-up with neurologist and signatures. She should take her seizure medication as prescribed.
16,Neurology,Seizure Types,A 6-year-old male had a generalized tonic-clonic seizure lasting 3 minutes that has now stopped. His mother states he developed a fever of 103F today with a cold. He has never had a seizure before. He is now postictal but waking up and recognizes his mother. He has no history of epilepsy and takes no medications. Vital signs show temp 102.8F HR 118 RR 22 SpO2 98%. What type of seizure is most likely and what is the prognosis?,This is epilepsy and he will need lifelong seizure medication,This is most likely a simple febrile seizure which occurs in children 6 months to 5 years is associated with fever and has excellent prognosis. Most children do not develop epilepsy,This is meningitis until proven otherwise,Febrile seizures always indicate brain damage,B,Simple febrile seizures are common occurring in 2-5% of children between 6 months and 5 years of age. They are associated with fever typically from viral illness are generalized lasting less than 15 minutes and do not recur within 24 hours. Prognosis is excellent with no increased risk of developmental problems and only slightly increased risk of epilepsy about 2-4% versus 1% general population. Complex febrile seizures are focal prolonged greater than 15 minutes or recurrent and have higher risk of subsequent epilepsy. This child should be evaluated to identify the fever source but the seizure itself is typically benign.
17,Neurology,Seizure Types,You respond to a 45-year-old female who according to coworkers was staring blankly and not responding for about 2 minutes. She then began making lip-smacking movements and picking at her clothes. She did not fall or have convulsions. Now she appears confused and does not remember what happened. She has no seizure history. Vital signs are normal. Blood glucose is 94 mg/dL. What type of seizure did she most likely experience?,Grand mal seizure,Focal seizure with impaired awareness previously called complex partial seizure characterized by altered consciousness and automatisms without generalized convulsions,Absence seizure which only occurs in children,Pseudoseizure with psychiatric origin,B,Focal seizures with impaired awareness previously called complex partial seizures originate in one area of the brain and impair consciousness. They often involve automatisms which are repetitive purposeless movements like lip smacking chewing picking or fumbling. There is no generalized tonic-clonic activity. The patient typically has no memory of the event and may have a postictal period of confusion. These seizures commonly originate in the temporal lobe. New onset focal seizures in an adult require evaluation for underlying cause including brain tumor stroke infection or other structural lesion. She needs transport for evaluation including brain imaging.
18,Neurology,Seizure Complications,A 55-year-old male with alcohol use disorder is found seizing by family. He reportedly stopped drinking 3 days ago after a week-long binge. The seizure stops after 2 minutes but he remains confused and tremulous. He is diaphoretic and tachycardic. Vital signs are BP 168/104 HR 122 RR 22 SpO2 96% Temp 100.4F. He is oriented only to person and appears to be seeing things that are not there. What is the cause of his seizure and what is your primary concern?,He has epilepsy exacerbated by alcohol,He is experiencing alcohol withdrawal seizures. Primary concern is progression to delirium tremens which has significant mortality without treatment,He had a seizure from alcohol intoxication,This is a febrile seizure from his low-grade fever,B,Alcohol withdrawal seizures typically occur 6-48 hours after last drink in patients with alcohol dependence. They are usually generalized tonic-clonic and may be single or multiple. The constellation of autonomic hyperactivity tremor hypertension tachycardia diaphoresis fever confusion and hallucinations suggests progression toward delirium tremens DTs which has 5-15% mortality without treatment. Benzodiazepines are the treatment of choice as they address the underlying GABA receptor dysfunction. This patient needs IV benzodiazepines aggressive hydration thiamine to prevent Wernicke encephalopathy and close monitoring in an ICU setting.
19,Neurology,Altered Mental Status,A 78-year-old female is brought from a nursing home for confusion. Staff states she was her normal self yesterday but today does not recognize them and is talking to people who are not there. She has a history of dementia hypertension and diabetes. Her baseline is oriented to person only and ambulatory with a walker. Today she is disoriented to person place and time and is picking at the air. Vital signs are BP 108/62 HR 102 RR 22 SpO2 94% on room air Temp 101.2F. What is the most likely cause of her acute change and how does delirium differ from dementia?,She has worsening dementia which is expected to fluctuate,She has delirium superimposed on dementia. Delirium is acute fluctuating and indicates an underlying medical cause such as infection. The fever and tachycardia suggest UTI or pneumonia,This is normal for someone with dementia,She is having a psychiatric emergency,B,Delirium is an acute confusional state characterized by fluctuating attention and awareness with rapid onset over hours to days. It indicates an underlying medical problem. Dementia is chronic progressive cognitive decline developing over months to years. Patients with dementia are at high risk for delirium from infections medications metabolic disturbances and other medical issues. This patient's acute change from baseline with fever tachycardia and borderline hypotension suggests infection likely UTI or pneumonia given her age and setting. She needs evaluation for the underlying cause not just treatment of confusion.
20,Neurology,Altered Mental Status,A 52-year-old male is found confused in his office. Coworkers state he was fine this morning but became increasingly confused and combative over the past 2 hours. He has no medical history that they know of. On exam he is diaphoretic with tremor of his hands. He is disoriented and agitated swatting at your hands when you try to examine him. Vital signs are BP 98/62 HR 118 RR 20 SpO2 98% on room air. Pupils are 4mm and reactive. Blood glucose is 38 mg/dL. What is the cause of his altered mental status and what is the treatment?,He is having a stroke and needs immediate CT scan,He has severe hypoglycemia causing neuroglycopenic symptoms. Treatment is IV dextrose D50 25g or 50mL followed by repeat glucose check,He is intoxicated and needs supportive care only,He is having a panic attack,B,Hypoglycemia causes altered mental status through two mechanisms. Autonomic symptoms from sympathetic activation include diaphoresis tremor tachycardia anxiety and hunger. Neuroglycopenic symptoms from brain glucose deprivation include confusion bizarre behavior combativeness seizures and coma. The brain depends on glucose and symptoms progress as levels fall. Treatment is glucose replacement with IV dextrose D50 25g for adults oral glucose if patient can swallow safely or glucagon 1mg IM if no IV access. Always check glucose in any patient with altered mental status as hypoglycemia is reversible but can cause permanent brain damage if prolonged.
21,Neurology,Altered Mental Status,A 67-year-old male presents with gradual onset of confusion over several days. His wife states he has been increasingly forgetful sleepy and unsteady on his feet. He fell yesterday. He has a history of atrial fibrillation and takes warfarin. He drinks 2-3 beers daily. On exam he is oriented to person only with slow speech. He has mild right arm weakness. Vital signs are normal. What diagnosis must be considered given his anticoagulation use and mechanism of mental status change?,Normal pressure hydrocephalus,Subdural hematoma. Elderly patients on anticoagulation are at high risk and may have minimal or no trauma history. Symptoms develop gradually over days to weeks,Wernicke encephalopathy from alcohol,Urinary tract infection causing confusion,B,Subdural hematoma occurs when bridging veins tear between the brain and dura. In elderly patients with brain atrophy these veins are stretched and vulnerable to injury from even minor trauma. Anticoagulation dramatically increases risk and patients may not recall any trauma. Symptoms develop gradually over days to weeks as the hematoma slowly expands including headache confusion personality changes and focal deficits. The triad of dementia gait disturbance and incontinence can mimic normal pressure hydrocephalus. CT scan will show crescent-shaped collection along the brain surface. Treatment may require surgical evacuation and anticoagulation reversal.
22,Neurology,Headache,A 35-year-old female presents with severe unilateral throbbing headache behind her right eye that began 4 hours ago. She has nausea and has vomited once. Light and sound make the headache worse so she has been lying in a dark quiet room. She has had similar headaches before usually around her menstrual period. She took ibuprofen without relief. She has no fever or neck stiffness. Vital signs are BP 128/78 HR 76 RR 14 SpO2 99%. Neurological exam is normal. What type of headache is this and what treatments are appropriate?,Tension headache treated with acetaminophen,Migraine headache. Appropriate treatments include antiemetics like ondansetron or metoclopramide and analgesics like ketorolac. Triptans are also effective if available,Cluster headache treated with high-flow oxygen,Meningitis requiring immediate antibiotics,B,Migraine headaches are characterized by unilateral throbbing pain of moderate to severe intensity lasting 4-72 hours with associated nausea vomiting photophobia and phonophobia. They are often triggered by hormonal changes stress foods or sleep disturbance. Treatment in the acute setting includes antiemetics like ondansetron 4mg IV or metoclopramide 10mg IV and analgesics like ketorolac 15-30mg IV. Triptans like sumatriptan are migraine-specific medications that are highly effective if given early. Dark quiet environment and IV fluids for dehydration from vomiting are supportive measures.
23,Neurology,Headache,A 42-year-old male presents with excruciating pain around his right eye that began 30 minutes ago. He is pacing and agitated unable to sit still. He states the pain is stabbing and rates it 10 out of 10. His right eye is red and tearing and his right nostril is congested and running. He has had similar episodes over the past two weeks always on the right side lasting about an hour each. Vital signs are normal. What type of headache is this and what is the most effective prehospital treatment?,Migraine headache treated with IV ketorolac and ondansetron,Cluster headache. High-flow oxygen 12-15 LPM via non-rebreather is highly effective and should be administered immediately,Tension headache treated with massage and relaxation,Glaucoma requiring immediate ophthalmology consult,B,Cluster headaches are characterized by severe unilateral orbital or temporal pain lasting 15-180 minutes occurring in clusters over weeks to months followed by remission periods. Unlike migraines patients are often agitated and pacing rather than lying still. Autonomic symptoms are ipsilateral to the pain and include lacrimation conjunctival injection nasal congestion rhinorrhea ptosis and miosis. High-flow oxygen 12-15 LPM via non-rebreather is first-line treatment and provides relief within 15 minutes in 70% of patients. The mechanism involves vasoconstriction and inhibition of trigeminal activation. Triptans are also effective.
24,Neurology,Headache,A 58-year-old female presents with new onset headache over the past 3 weeks that is worse in the morning and when lying down. She has vomited several times particularly in the morning. She reports her vision has been blurry and she has noticed a change in her personality per her husband. She has no headache history. Vital signs are BP 148/88 HR 72 RR 16 SpO2 98%. On exam she has papilledema on fundoscopic examination and mild left arm weakness. What is the most likely cause of her headache?,New onset migraine,Intracranial mass lesion causing increased intracranial pressure. The progressive headache worse with recumbency morning vomiting papilledema focal deficit and personality change all suggest space-occupying lesion,Tension headache from stress,Medication overuse headache,B,New onset headache in middle-aged or older adults should raise concern for secondary causes. Red flags in this case include progressive worsening worse when supine due to increased ICP when lying flat morning vomiting from ICP increase during sleep papilledema indicating chronic elevated ICP focal neurological deficit and personality change. This constellation strongly suggests an intracranial mass lesion such as primary brain tumor or metastasis. She needs urgent CT or MRI imaging. If significant mass effect is present avoid actions that increase ICP and be prepared for possible herniation.
25,Neurology,Increased ICP,A 22-year-old male was involved in a motorcycle crash with significant head trauma. He was initially conscious at the scene but is now unresponsive. He is intubated for airway protection. On exam his left pupil is 7mm and fixed while the right is 3mm and reactive. He has extensor posturing to painful stimuli. Vital signs are BP 178/102 HR 58 RR being ventilated. What do these findings indicate and what is Cushing triad?,He has a cervical spine injury causing these findings,He has signs of uncal herniation with Cushing triad which is hypertension bradycardia and irregular respirations indicating severely elevated ICP with brainstem compression,These vital signs indicate hypovolemic shock,The unequal pupils indicate direct eye trauma only,B,Uncal herniation occurs when increased ICP forces the medial temporal lobe uncus through the tentorial notch compressing the midbrain and third cranial nerve. The ipsilateral pupil dilates due to CN3 compression and becomes fixed. Extensor posturing decerebrate indicates midbrain dysfunction. Cushing triad consists of hypertension widened pulse pressure bradycardia and irregular respirations. These are late signs indicating life-threatening ICP elevation and imminent brainstem death. Management includes elevating head of bed maintaining MAP for cerebral perfusion avoiding hypoxia and hypotension and brief hyperventilation to EtCO2 30-35 only if herniation signs are present.
26,Neurology,Increased ICP,You are managing the head-injured patient with signs of herniation. He is intubated and you are ventilating him. Your partner reports EtCO2 of 45 mmHg. What is the target EtCO2 for this patient and what is the rationale for brief hyperventilation in herniation?,Maintain EtCO2 at 45 mmHg which is normal,Target EtCO2 30-35 mmHg only if herniation signs are present. Hyperventilation causes cerebral vasoconstriction reducing ICP but also reduces cerebral blood flow so it is only used as temporizing measure for active herniation,Hyperventilate to EtCO2 of 20 mmHg to maximize ICP reduction,Hypoventilate to EtCO2 of 55 mmHg,B,Hyperventilation reduces PaCO2 which causes cerebral vasoconstriction decreasing cerebral blood volume and ICP. However excessive vasoconstriction reduces cerebral blood flow potentially worsening ischemia. Routine prophylactic hyperventilation worsens outcomes. Brief moderate hyperventilation to EtCO2 30-35 mmHg is reserved for patients with signs of active herniation as a temporizing measure until definitive treatment. Target EtCO2 for head-injured patients without herniation is 35-40 mmHg. Other ICP management includes head elevation to 30 degrees sedation avoiding hyperthermia and maintaining adequate MAP.
27,Neurology,Increased ICP,A 45-year-old female with a brain tumor presents with sudden severe headache vomiting and decreasing level of consciousness. Her family states she was fine yesterday. She is now responsive only to painful stimuli. Her left pupil is dilating. The neurosurgeon requests you give mannitol during transport. What is mannitol and what is its mechanism of action for reducing ICP?,Mannitol is an antibiotic that treats brain infections,Mannitol is an osmotic diuretic that draws water from brain tissue into the vasculature reducing cerebral edema and ICP. Dose is 0.5-1 g/kg IV over 15-20 minutes,Mannitol is a paralytic agent that reduces brain metabolic demand,Mannitol is a vasodilator that improves brain blood flow,B,Mannitol is an osmotic diuretic that does not cross the intact blood-brain barrier. It creates an osmotic gradient that draws water from brain tissue into the vasculature reducing cerebral edema and ICP. Effects begin within 15-30 minutes and peak at 1 hour. Dose is 0.5-1 g/kg IV typically as 20% solution given over 15-20 minutes. It is used as a temporizing measure in patients with signs of increased ICP and impending herniation. Side effects include hypotension from diuresis and electrolyte disturbances. It requires intact kidney function for excretion. Hypertonic saline 3% or 23.4% is an alternative osmotic agent.
28,Neurology,Spinal Cord Injury,A 25-year-old male dove into shallow water at a lake and struck his head on the bottom. Friends pulled him from the water and he is now on the beach. He is awake and states he cannot move or feel his arms or legs. He has neck pain. Vital signs are BP 82/50 HR 54 RR 14 SpO2 94% on room air. His skin is warm and dry. What type of shock is he experiencing and what is the underlying mechanism?,Hypovolemic shock from internal bleeding,Neurogenic shock from spinal cord injury causing loss of sympathetic tone. This results in vasodilation and bradycardia,Cardiogenic shock from cardiac contusion,Septic shock from aspiration,B,Neurogenic shock occurs when spinal cord injury above T6 disrupts sympathetic outflow causing loss of vascular tone and unopposed vagal activity. Signs include hypotension with bradycardia which distinguishes it from hypovolemic shock which causes tachycardia and warm dry skin from vasodilation rather than cold clammy skin of hypovolemia. This patient likely has a cervical spine injury causing quadriplegia and neurogenic shock. Treatment includes spinal immobilization IV fluids to treat hypotension and vasopressors like norepinephrine if fluids are insufficient. Atropine may be needed for symptomatic bradycardia.
