aemt_id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
AEMT-RESP-011,AEMT Respiratory,Albuterol Administration,A 72-year-old male with COPD is in moderate respiratory distress with wheezing and SpO2 90% on room air. He also has a history of coronary artery disease and had a heart attack last year. He is currently having no chest pain. Should you administer albuterol and are there special considerations for this patient?,Albuterol is contraindicated in patients with heart disease,Albuterol can be given but use caution in patients with cardiac disease. The bronchodilation benefit usually outweighs cardiac risks in respiratory distress. Monitor cardiac rhythm closely and be alert for chest pain arrhythmias or excessive tachycardia,Only give half the normal albuterol dose,Give albuterol only if paramedics are present,B,Albuterol is not absolutely contraindicated in cardiac patients. Respiratory distress itself causes catecholamine release and cardiac stress often more than albuterol would cause. The bronchodilation benefit typically outweighs cardiac risks in patients with respiratory compromise. However use caution and monitor for cardiac effects including excessive tachycardia arrhythmias and chest pain. If significant cardiac symptoms develop weigh risks and benefits. For this patient in moderate distress without current cardiac symptoms albuterol is appropriate. Document his cardiac history your risk-benefit assessment and your monitoring.
AEMT-RESP-012,AEMT Respiratory,Albuterol Administration,You are treating a 45-year-old male with severe asthma exacerbation. You have given two albuterol treatments 20 minutes apart with minimal improvement. He remains in severe distress with diffuse wheezing SpO2 88% and is becoming exhausted. What additional bronchodilator might help and what is its mechanism?,Give the same albuterol dose again immediately,If available ipratropium bromide 0.5 mg can be added to albuterol. Ipratropium is an anticholinergic that blocks muscarinic receptors causing bronchodilation through a different mechanism providing additive benefit with albuterol,Albuterol is the only bronchodilator that can be given,Give epinephrine IM for his asthma,B,Ipratropium bromide is an anticholinergic bronchodilator that blocks muscarinic receptors on airway smooth muscle reducing bronchoconstriction mediated by the parasympathetic nervous system. Because it works through a different mechanism than albuterol it provides additive bronchodilation when combined with beta-agonist therapy. The combination is particularly useful in moderate to severe asthma and COPD exacerbations. Dose is 0.5 mg nebulized typically combined with albuterol in the same nebulizer. Onset is slower than albuterol 15-30 minutes but duration is longer. If ipratropium is in your protocols it can be added after albuterol alone is insufficient.
AEMT-RESP-013,AEMT Respiratory,Severe Asthma,A 19-year-old male with severe asthma is in extreme respiratory distress. He was initially wheezing loudly but now his breath sounds are nearly silent despite continued severe distress. He is barely able to speak and appears exhausted. SpO2 is 82% and falling. His respiratory rate has decreased from 36 to 18. Why is the silent chest more concerning than loud wheezing and what does the slowing respiratory rate indicate?,Silent chest means his asthma is improving,A silent chest in asthma indicates severe bronchospasm with minimal air movement. Wheezing requires airflow to be heard. The decreasing respiratory rate indicates exhaustion and impending respiratory failure. This patient is critically ill and needs immediate assisted ventilation with BVM and preparation for advanced airway,Continue nebulized albuterol only,The silent chest is less severe than wheezing,B,In severe asthma a silent chest is an ominous finding. Wheezing is produced by turbulent airflow through narrowed airways but requires some airflow to be heard. When bronchospasm is so severe that almost no air can move the chest becomes silent despite the patient's extreme effort. Combined with decreasing respiratory rate which indicates respiratory muscle fatigue and impending failure this patient is in extremis. He needs immediate assisted ventilation with BVM and high-flow oxygen. Continue bronchodilator therapy through the BVM if possible. Prepare for advanced airway placement. This is a life-threatening emergency that may progress to respiratory arrest within minutes.
AEMT-RESP-014,AEMT Respiratory,Severe Asthma,You begin assisting ventilations with BVM for the severe asthma patient. You notice it is very difficult to squeeze the bag and when you do the chest barely rises. Exhalation is prolonged and you can feel resistance. What is causing this difficulty and how should you modify your ventilation technique?,Squeeze the bag harder and faster to overcome the resistance,The difficulty is from severe bronchospasm and air trapping. Allow longer exhalation time between breaths using slow gentle breaths with lower rate 8-10 per minute. Rapid ventilation worsens air trapping and can cause barotrauma. Continue bronchodilators,Use a smaller BVM,The BVM must be defective,B,Ventilating patients with severe bronchospasm is challenging because narrowed airways create resistance to both inspiration and expiration. Air becomes trapped behind narrowed airways auto-PEEP which increases intrathoracic pressure and makes subsequent breaths more difficult. Rapid aggressive ventilation worsens air trapping. Instead use slow gentle breaths with prolonged expiratory phase ventilating at 8-10 breaths per minute with an I:E ratio allowing twice as long for exhalation as inspiration. Allow the chest to fully deflate between breaths. Watch for complications of air trapping including tension pneumothorax. Continue bronchodilator therapy to address the underlying bronchospasm.
AEMT-RESP-015,AEMT Respiratory,COPD Exacerbation,A 68-year-old female with COPD presents with increased shortness of breath and productive cough with green sputum for 5 days. She has been using her home nebulizer more frequently without relief. She is on home oxygen at 2 LPM continuously. Vital signs are BP 148/88 HR 104 RR 26 SpO2 84% on her home oxygen. What has likely triggered her exacerbation and what treatment should you provide?,Her COPD suddenly got worse for no reason,The green sputum suggests respiratory infection has triggered her exacerbation. Treatment includes increasing oxygen to achieve SpO2 88-92% nebulized bronchodilators and supportive care. Consider CPAP if available and she can tolerate it,She needs antibiotics in the field,Turn off her oxygen completely,B,COPD exacerbations are commonly triggered by respiratory infections both viral and bacterial. The purulent green sputum suggests bacterial involvement. Other triggers include air pollution poor medication compliance and cardiac disease. Treatment focuses on bronchodilation with albuterol plus or minus ipratropium oxygen titrated to SpO2 88-92% and possibly CPAP which can reduce work of breathing and improve gas exchange. Antibiotics are important but are a hospital treatment. Her home oxygen of 2 LPM is clearly insufficient during this exacerbation so increase supplemental oxygen but watch for signs of CO2 retention.
AEMT-RESP-016,AEMT Respiratory,COPD Exacerbation,Your COPD patient has improved somewhat with bronchodilators. Her SpO2 is now 89% on 4 LPM nasal cannula and her wheezing has decreased. However she remains in moderate distress with RR of 24 and is using accessory muscles. Your service has CPAP capability. What are the indications benefits and contraindications for CPAP in this patient?,CPAP is only for sleep apnea patients,CPAP is indicated for moderate to severe respiratory distress in COPD and CHF. It reduces work of breathing recruits collapsed alveoli and improves oxygenation. Contraindications include decreased LOC inability to protect airway vomiting hypotension and facial trauma,CPAP is contraindicated in COPD,CPAP will worsen her breathing,B,CPAP continuous positive airway pressure provides several benefits in COPD exacerbation. The positive pressure splints open airways that tend to collapse reduces work of breathing by offsetting auto-PEEP recruits collapsed alveoli and improves gas exchange. It is appropriate for patients in moderate to severe distress who are alert cooperative able to protect their airway and hemodynamically stable. Contraindications include altered mental status inability to tolerate the mask active vomiting hypotension facial trauma or burns and pneumothorax. Typical starting pressure is 5-10 cmH2O. Monitor closely for improvement or deterioration.
AEMT-RESP-017,AEMT Respiratory,CPAP Application,You decide to apply CPAP to your COPD patient. Describe the proper application technique and initial monitoring.,Put the mask on her face and turn on the machine,First explain the procedure and coach the patient on what to expect. Allow her to hold the mask initially. Start CPAP at 5-10 cmH2O and allow her to acclimate. Secure the straps once comfortable. Monitor SpO2 respiratory rate work of breathing blood pressure and patient tolerance. Be prepared to remove if not tolerated,Apply CPAP at maximum pressure,CPAP does not require patient cooperation,B,Successful CPAP application requires patient cooperation. Explain the sensation of continuous positive pressure and that breathing against the pressure becomes easier with practice. Let the patient hold the mask initially to feel in control. Start at 5-10 cmH2O and increase if needed. Ensure proper mask seal without excessive strap tension. Monitor vital signs continuously especially blood pressure as CPAP can reduce venous return and decrease BP in volume-depleted patients. Watch for improvement in SpO2 respiratory rate and work of breathing. If patient becomes more agitated desaturates or cannot tolerate the mask remove it and use alternative treatment.
AEMT-RESP-018,AEMT Respiratory,CPAP Application,Your COPD patient has been on CPAP at 8 cmH2O for 10 minutes. Her SpO2 has improved from 89% to 94% and her respiratory rate has decreased from 24 to 18. She states she feels much better and is breathing easier. Her blood pressure remains stable at 142/86. What do these findings indicate about the CPAP treatment?,The CPAP is not working,These findings indicate successful response to CPAP with improved oxygenation decreased respiratory rate and subjective improvement all with stable blood pressure. Continue CPAP and monitor for sustained improvement during transport,Remove the CPAP since she improved,Increase CPAP pressure since it is working,B,The patient shows multiple signs of positive response to CPAP including improved SpO2 decreased respiratory rate indicating reduced work of breathing and subjective improvement. Her blood pressure remains stable indicating she is tolerating the decreased venous return. Continue CPAP at the current effective pressure. Document the baseline status CPAP settings and response. Not all patients respond to CPAP and it may take 15-20 minutes to see full effect. If she had not improved or had deteriorated you would need to reconsider the treatment approach and possibly remove CPAP and move to assisted ventilation.
AEMT-RESP-019,AEMT Respiratory,Pulmonary Edema,A 72-year-old male with heart failure presents with severe dyspnea that woke him from sleep. He is sitting bolt upright and cannot lie down. He is coughing up pink frothy sputum. Vital signs are BP 188/108 HR 116 RR 32 SpO2 82% on room air. He has crackles throughout both lung fields and JVD. What is causing his respiratory distress and what are your treatment priorities?,He has pneumonia and needs antibiotics,He has acute cardiogenic pulmonary edema. His failing heart cannot pump blood forward adequately causing backup into the lungs. Treatment priorities are high-flow oxygen or CPAP nitroglycerin to reduce preload and positioning upright,He has a COPD exacerbation,Give IV fluids for dehydration,B,Acute cardiogenic pulmonary edema occurs when the left ventricle fails to adequately pump blood forward causing increased pulmonary venous pressure and transudation of fluid into the alveoli. Pink frothy sputum is characteristic. This is primarily a cardiac problem not a lung problem. Treatment focuses on improving cardiac function and reducing preload. Position upright to reduce venous return. Provide high-flow oxygen or CPAP which both improves oxygenation and reduces preload through positive intrathoracic pressure. Nitroglycerin causes venodilation reducing preload and is highly effective in hypertensive pulmonary edema. Do NOT give IV fluids which would worsen fluid overload.
AEMT-RESP-020,AEMT Respiratory,Pulmonary Edema,You have placed the pulmonary edema patient on CPAP at 10 cmH2O and administered nitroglycerin 0.4 mg SL. After 5 minutes his SpO2 has improved from 82% to 90%. His BP has decreased from 188/108 to 152/88. He is still in significant distress. You consider another nitroglycerin dose. Is this appropriate and what would make you hold the second dose?,His BP drop means you cannot give more nitroglycerin,Yes give another nitroglycerin 0.4 mg since his SBP remains above 100. The BP decrease is expected and beneficial as it reduces cardiac afterload and preload. Hold nitroglycerin if SBP drops below 100 or if he develops hypotensive symptoms,He has already received the maximum nitroglycerin dose,Switch to albuterol instead,B,Nitroglycerin can be repeated every 5 minutes up to 3 doses as long as systolic BP remains above 100 mmHg and the patient is not having hypotensive symptoms. The blood pressure decrease from 188 to 152 is actually beneficial in pulmonary edema as it reduces both preload and afterload improving cardiac performance. His SBP of 152 is well above the 100 threshold for additional nitroglycerin. Continue CPAP and give another nitroglycerin dose. Monitor BP before each dose. If SBP drops below 100 or patient becomes symptomatic with lightheadedness or worsening confusion hold further nitroglycerin and consider reducing CPAP pressure.
AEMT-RESP-021,AEMT Respiratory,Pulmonary Edema,You are treating another pulmonary edema patient. She has crackles and pink frothy sputum but her BP is only 92/58 and she appears confused with cool mottled extremities. She is on high-flow oxygen with SpO2 of 86%. Why is her low blood pressure problematic for treatment and how should you manage her differently?,Her low blood pressure does not change treatment,This patient has cardiogenic shock with pulmonary edema. Nitroglycerin and CPAP which reduce preload could worsen her hypotension. Focus on oxygenation with high-flow O2 or BVM if needed positioning and rapid transport. She needs interventions beyond AEMT scope,Give nitroglycerin to dilate her blood vessels,Apply CPAP at high pressure,B,This patient has cardiogenic shock where the heart is failing so severely that it cannot maintain adequate blood pressure and tissue perfusion. The cool mottled skin and confusion indicate poor peripheral perfusion. While she has pulmonary edema the standard treatments of nitroglycerin and CPAP can worsen hypotension. Nitroglycerin causes vasodilation further dropping BP. CPAP reduces venous return which can decrease cardiac output in a preload-dependent state. Focus on maximizing oxygenation with high-flow oxygen or assisted ventilation if needed positioning comfortably and rapid transport. She needs vasopressors and potentially inotropes which are beyond AEMT scope.
AEMT-RESP-022,AEMT Respiratory,Upper Airway Obstruction,You respond to a 4-year-old child with noisy breathing. Parents report he has had a cold for 2 days and tonight developed a barking cough and noisy breathing. He has inspiratory stridor that worsens when he cries. He is alert sitting upright in his father's arms. His voice sounds hoarse. Vital signs are HR 128 RR 28 SpO2 95% on room air Temp 100.8F. What condition is most likely and how should you manage this child?,He has asthma and needs albuterol immediately,This is likely croup viral laryngotracheobronchitis. The barking cough inspiratory stridor hoarse voice and preceding URI in a young child are classic. Keep him calm in a position of comfort provide humidified oxygen if needed and avoid agitating him as this worsens stridor,He needs immediate intubation,He has epiglottitis and needs emergency surgery,B,Croup is a viral infection causing inflammation of the larynx and trachea most common in children 6 months to 3 years. Classic features include barking or seal-like cough inspiratory stridor hoarse voice and symptoms often worse at night preceded by URI symptoms. The stridor results from subglottic narrowing. Management focuses on keeping the child calm as agitation increases oxygen demand and worsens stridor. Allow him to remain in his position of comfort usually upright with a parent. Provide humidified oxygen if needed. Nebulized epinephrine and corticosteroids are hospital treatments that can dramatically improve moderate to severe croup.
AEMT-RESP-023,AEMT Respiratory,Upper Airway Obstruction,A 5-year-old presents with sudden onset of drooling high fever difficulty swallowing and muffled voice. He is sitting forward with his neck extended in a sniffing position. He appears toxic and is breathing with his mouth open. He has inspiratory stridor. Parents report symptoms developed rapidly over a few hours. Why is this presentation different from croup and what should you absolutely avoid doing?,This is severe croup and should be treated the same way,This presentation suggests epiglottitis which is a bacterial infection causing rapid swelling of the epiglottis. Unlike croup it has rapid onset high fever drooling and toxic appearance. Do NOT examine the throat or agitate the child as this could cause complete airway obstruction,Immediately look in his throat to confirm the diagnosis,Give albuterol for the stridor,B,Epiglottitis is a rapidly progressive bacterial infection typically H. influenzae type b though less common since vaccination causing severe edema of the epiglottis. Key differences from croup include rapid onset over hours not days high fever toxic appearance drooling inability to swallow muffled voice hot potato voice and preference for sitting upright with neck extended sniffing position. This is a life-threatening emergency. Do NOT examine the throat using a tongue depressor or laryngoscope as this can trigger complete airway obstruction. Keep the child calm allow his position of comfort provide blow-by oxygen if tolerated and transport immediately. Prepare airway equipment but do not attempt intervention unless complete obstruction occurs.
AEMT-RESP-024,AEMT Respiratory,Upper Airway Obstruction,A 55-year-old male is eating at a restaurant when he suddenly stands up clutching his throat. He cannot speak or cough and is turning cyanotic. He is conscious and appears panicked. What is the immediate treatment for this complete airway obstruction?,Perform a blind finger sweep to remove the obstruction,Perform abdominal thrusts Heimlich maneuver. Stand behind him wrap your arms around his waist place your fist above the umbilicus and deliver quick upward thrusts until the object is expelled or he becomes unconscious,Begin CPR immediately,Perform back blows only,B,Complete foreign body airway obstruction FBAO in a conscious adult is treated with abdominal thrusts. Stand behind the patient wrap your arms around the waist place the thumb side of your fist against the abdomen above the umbilicus and below the xiphoid and deliver quick inward and upward thrusts. Repeat until the object is expelled or the patient becomes unconscious. If the patient becomes unconscious lower them to the ground begin CPR and look for the object in the mouth before each ventilation attempt removing it only if visible. Do not perform blind finger sweeps as this can push the object deeper.
AEMT-RESP-025,AEMT Respiratory,Upper Airway Obstruction,You successfully relieve the choking patient's obstruction with abdominal thrusts. He coughs up a piece of steak and is now breathing normally. He feels fine and wants to continue his meal. Should he be transported for evaluation?,No he is fine now and can refuse transport,Yes he should be transported. Abdominal thrusts can cause internal injuries and there may be residual material in the airway. He should be evaluated in the emergency department even though he feels fine now,Only transport if he develops chest pain,He needs to wait one hour before eating,B,Even after successful relief of FBAO the patient should be transported for evaluation. Abdominal thrusts can cause internal injuries including liver or splenic laceration gastric rupture and rib fractures. Additionally foreign material may remain in the lower airways and aspiration pneumonia can develop. The patient may feel fine initially but complications can be delayed. Strongly encourage transport and document your recommendation and his response. If he insists on refusing provide thorough refusal documentation including warning signs to watch for such as abdominal pain difficulty breathing fever or blood in sputum.
AEMT-RESP-026,AEMT Respiratory,Anaphylaxis Respiratory,A 32-year-old female develops difficulty breathing lip swelling and throat tightness within minutes of eating shrimp at a restaurant. She has hives spreading across her trunk and is wheezing. She feels like her throat is closing. She has a known shellfish allergy but thought she avoided shrimp. Vital signs are BP 102/68 HR 118 RR 28 SpO2 92% on room air. What type of respiratory distress is this and what is the first-line treatment?,This is asthma and she needs albuterol,This is anaphylaxis with upper and lower airway involvement. The first-line treatment is epinephrine 0.3-0.5 mg IM in the lateral thigh. Do not delay epinephrine while giving other treatments,Give diphenhydramine first then see if she needs epinephrine,This is anxiety causing her throat sensation,B,Anaphylaxis is a severe systemic allergic reaction that can cause airway compromise through two mechanisms: upper airway angioedema of lips tongue and larynx and lower airway bronchospasm. This patient has both. Epinephrine is the first-line life-saving treatment and should be given immediately. The dose is 0.3-0.5 mg of 1:1000 concentration given IM in the lateral thigh. Epinephrine reverses bronchospasm reduces angioedema and supports blood pressure. Do not delay epinephrine to give antihistamines or other treatments. After epinephrine provide supplemental oxygen establish IV access and give adjunctive treatments like diphenhydramine and albuterol.
AEMT-RESP-027,AEMT Respiratory,Anaphylaxis Respiratory,You have given epinephrine 0.3 mg IM to the anaphylaxis patient. Five minutes later her hives are slightly better but she now has audible stridor at rest and increased difficulty speaking. Her SpO2 has dropped to 88%. What should you do next?,Wait for the epinephrine to work,Give a second dose of epinephrine 0.3-0.5 mg IM immediately. Anaphylaxis with progressive airway compromise requires repeat epinephrine dosing every 5-15 minutes. Prepare for possible need for advanced airway intervention,Switch to albuterol since epinephrine did not work,Give diphenhydramine 50 mg IV,B,Anaphylaxis can be refractory to initial epinephrine requiring repeat doses. Stridor at rest indicates significant laryngeal edema and impending airway obstruction. Give a second dose of epinephrine 0.3-0.5 mg IM immediately. Epinephrine can be repeated every 5-15 minutes as needed for persistent or worsening anaphylaxis. The worsening airway indicates she may require advanced airway management. Prepare airway equipment and if trained consider supraglottic airway as a backup. Continue high-flow oxygen. Establish IV access if not done. Alert the receiving hospital to the progressive airway compromise so they can prepare for possible surgical airway.
