emr_id,category,subcategory,question_type,statement,correct_answer,rationale
EMR-TF-470,Special Populations,Pediatric Emergencies,true_false,Minimum systolic blood pressure for children can be estimated as 70 plus twice the age in years.,TRUE,The formula 70 plus 2 times age in years gives the lower limit of normal systolic BP for children 1-10 years. For example a 4-year-old should have SBP of at least 78. Below this threshold indicates hypotension requiring intervention.
EMR-TF-471,Special Populations,Pediatric Approach,true_false,Palliative approach and allowing the child to remain with the parent often improves assessment.,TRUE,Children are often frightened by strangers and medical equipment. Allowing the child to stay with the parent assessing from toe to head and using a calm approach reduce anxiety. A calm child is easier to assess than a frightened screaming child.
EMR-TF-472,Special Populations,Pediatric Approach,true_false,Medical equipment should be hidden from view to avoid frightening pediatric patients.,FALSE,Showing children equipment and letting them touch it often reduces fear. Hiding equipment then suddenly producing it can increase anxiety. Age-appropriate explanations and allowing exploration of equipment often help gain cooperation.
EMR-TF-473,Special Populations,Pediatric Abuse,true_false,Bruises in various stages of healing may indicate non-accidental trauma.,TRUE,Bruises of different colors indicating different ages especially in patterns or protected areas may suggest abuse occurring over time. Document findings objectively including location size color and shape. Report suspected abuse per mandatory reporting laws.
EMR-TF-474,Special Populations,Pediatric Abuse,true_false,Injuries inconsistent with the stated mechanism or developmental ability should raise concern for abuse.,TRUE,A fractured femur in a non-walking infant or burns in a splash pattern on a toddler who reportedly pulled hot water on themselves warrant suspicion. When injury does not match explanation or the child's abilities consider non-accidental trauma.
EMR-TF-475,Special Populations,Pediatric Abuse,true_false,EMRs are mandatory reporters of suspected child abuse in most jurisdictions.,TRUE,Healthcare providers including EMRs are mandatory reporters required by law to report suspected child abuse. You do not need to prove abuse only have reasonable suspicion. Document objectively and report per your protocols and local laws.
EMR-TF-476,Special Populations,Geriatric Anatomy,true_false,Aging causes decreased lung elasticity and chest wall compliance reducing respiratory reserve.,TRUE,Age-related changes include stiffening of chest wall loss of lung elasticity and decreased respiratory muscle strength. Elderly patients have less reserve for respiratory stress and may decompensate more quickly with respiratory illness.
EMR-TF-477,Special Populations,Geriatric Anatomy,true_false,Elderly patients have decreased ability to thermoregulate making them susceptible to temperature extremes.,TRUE,Aging impairs temperature regulation through decreased sweating reduced vasoconstriction and diminished shivering. Elderly patients are at higher risk for both hypothermia and heat illness and may not recognize symptoms.
EMR-TF-478,Special Populations,Geriatric Anatomy,true_false,Skin becomes thinner and more fragile with age increasing risk of injury and slow healing.,TRUE,Aging causes thinning of the dermis and reduced collagen. Elderly skin tears and bruises easily and heals slowly. Handle elderly patients gently use care with tape and bandages and recognize that minor trauma can cause significant skin injury.
EMR-TF-479,Special Populations,Geriatric Anatomy,true_false,Decreased kidney function in elderly patients affects medication metabolism and elimination.,TRUE,Kidney function declines with age affecting how medications are processed and eliminated. This can lead to drug accumulation and toxicity. Many medication-related emergencies in elderly are due to impaired kidney function.
EMR-TF-480,Special Populations,Geriatric Assessment,true_false,Elderly patients often present with atypical symptoms for common emergencies.,TRUE,Normal aging and multiple comorbidities alter disease presentation. Elderly may have MI without chest pain infection without fever or surgical abdomen without significant pain. Maintain high suspicion and do not rely on typical symptom patterns.
EMR-TF-481,Special Populations,Geriatric Assessment,true_false,Confusion in an elderly patient is normal and does not require medical evaluation.,FALSE,While dementia is common acute confusion or change from baseline mental status is not normal aging and requires evaluation. Acute confusion can indicate infection hypoglycemia medication effects stroke or other serious conditions.
EMR-TF-482,Special Populations,Geriatric Assessment,true_false,Baseline vital signs in elderly patients may differ from standard adult normal values.,TRUE,Many elderly patients have baseline hypertension and may have normal lower heart rates due to medications. What appears normal may actually be abnormal for that individual. Ask about and compare to patient's baseline when possible.
EMR-TF-483,Special Populations,Geriatric Assessment,true_false,Polypharmacy increases the risk of drug interactions and adverse effects in elderly patients.,TRUE,Many elderly patients take multiple medications for various conditions. Each additional medication increases risk of interactions and side effects. Document all medications thoroughly as drug effects may contribute to the emergency.
EMR-TF-484,Special Populations,Geriatric Emergencies,true_false,Falls are a leading cause of injury and death in elderly patients.,TRUE,Falls cause significant morbidity and mortality in elderly including hip fractures head injuries and death. Reduced bone density impaired balance medications and environmental hazards contribute. All elderly fall patients should be evaluated.
EMR-TF-485,Special Populations,Geriatric Emergencies,true_false,Elderly patients on anticoagulants are at increased risk for serious bleeding even from minor trauma.,TRUE,Blood thinners like warfarin and newer anticoagulants increase bleeding risk. Minor head trauma can cause life-threatening intracranial hemorrhage. Minor falls can cause significant internal bleeding. These patients require careful evaluation.
EMR-TF-486,Special Populations,Geriatric Emergencies,true_false,Hip fractures in elderly patients can cause significant blood loss and shock.,TRUE,Hip fractures are common after falls in elderly. Significant blood can be lost into the thigh and pelvis. Combined with decreased cardiovascular reserve elderly hip fracture patients are at risk for shock. Monitor closely.
EMR-TF-487,Special Populations,Geriatric Emergencies,true_false,Elder abuse can include physical abuse neglect financial exploitation and emotional abuse.,TRUE,Elder abuse takes many forms including physical abuse neglect of basic needs financial exploitation and emotional or psychological abuse. Be alert for signs including unexplained injuries poor hygiene and fearful behavior.
EMR-TF-488,Special Populations,Geriatric Approach,true_false,Speaking loudly and slowly is always appropriate when communicating with elderly patients.,FALSE,Do not assume all elderly patients have hearing loss. Assess hearing and adjust communication accordingly. Speaking loudly to a patient with normal hearing is disrespectful. Many elderly hear well and communicate normally.
EMR-TF-489,Special Populations,Geriatric Approach,true_false,Elderly patients should be treated with respect and involved in decisions about their care.,TRUE,Elderly patients deserve dignity and respect. Include them in conversations about their care rather than speaking only to family members. Explain procedures and respect their autonomy to make informed decisions including refusing care.
EMR-TF-490,Special Populations,Obstetric Anatomy,true_false,During pregnancy blood volume increases by approximately 30-50 percent.,TRUE,Pregnancy causes significant cardiovascular changes including 30-50% increase in blood volume increased heart rate and increased cardiac output. This provides reserve for blood loss during delivery but also means significant bleeding can occur before shock signs appear.
EMR-TF-491,Special Populations,Obstetric Anatomy,true_false,The enlarged uterus can compress the inferior vena cava when a pregnant woman lies supine.,TRUE,In late pregnancy the gravid uterus can compress the IVC causing supine hypotensive syndrome with decreased venous return hypotension and syncope. Position pregnant patients on their left side or with right hip elevated.
EMR-TF-492,Special Populations,Obstetric Anatomy,true_false,Pregnant women have delayed gastric emptying increasing aspiration risk.,TRUE,Pregnancy hormones slow gastric emptying and the enlarged uterus increases intra-abdominal pressure. This increases reflux and aspiration risk especially with altered mental status or during resuscitation. Suction equipment should be ready.
EMR-TF-493,Special Populations,Obstetric Emergencies,true_false,Vaginal bleeding in pregnancy is always a medical emergency requiring evaluation.,TRUE,Bleeding during pregnancy can indicate serious conditions including ectopic pregnancy miscarriage placenta previa and placental abruption. Any vaginal bleeding in pregnancy requires evaluation to determine the cause and ensure safety of mother and fetus.
EMR-TF-494,Special Populations,Obstetric Emergencies,true_false,Ectopic pregnancy occurs when a fertilized egg implants outside the uterus usually in a fallopian tube.,TRUE,Ectopic pregnancy most commonly occurs in the fallopian tube. As the pregnancy grows it can rupture causing life-threatening internal hemorrhage. Signs include abdominal pain vaginal bleeding and signs of shock in a woman of childbearing age.
EMR-TF-495,Special Populations,Obstetric Emergencies,true_false,Placenta previa causes painless vaginal bleeding when the placenta covers the cervical opening.,TRUE,In placenta previa the placenta implants over or near the cervix. As the cervix dilates late in pregnancy placental vessels tear causing painless bright red bleeding. This is an emergency requiring cesarean delivery.
EMR-TF-496,Special Populations,Obstetric Emergencies,true_false,Placental abruption causes painful vaginal bleeding when the placenta separates from the uterine wall.,TRUE,Abruption is premature placental separation causing painful bleeding rigid tender abdomen and fetal distress. Bleeding may be concealed behind the placenta. Trauma hypertension and cocaine use are risk factors. Both mother and fetus are at risk.
EMR-TF-497,Special Populations,Obstetric Emergencies,true_false,Preeclampsia is characterized by hypertension and protein in urine developing after 20 weeks of pregnancy.,TRUE,Preeclampsia is a pregnancy-specific condition with high blood pressure and end-organ effects. Signs include severe headache visual changes upper abdominal pain and edema. Eclampsia adds seizures. Both threaten mother and fetus.
EMR-TF-498,Special Populations,Obstetric Emergencies,true_false,Seizures during pregnancy eclampsia are life-threatening to both mother and fetus.,TRUE,Eclampsia is seizures occurring in the context of preeclampsia. It threatens both maternal and fetal life through hypoxia placental abruption and other complications. Transport immediately. Magnesium sulfate is the hospital treatment.
EMR-TF-499,Special Populations,Labor and Delivery,true_false,Regular contractions that are increasing in frequency and intensity indicate labor is progressing.,TRUE,True labor contractions become progressively more frequent longer and stronger over time. They do not decrease with activity or position changes. Contractions every 2-3 minutes with urge to push indicate delivery may be imminent.
EMR-TF-500,Special Populations,Labor and Delivery,true_false,The urge to push or the feeling of needing to have a bowel movement indicates the baby is descending.,TRUE,As the baby descends through the birth canal it puts pressure on the rectum creating sensation similar to needing to defecate. This urge to push indicates delivery is near. Check for crowning if the patient reports this sensation.
