emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-358,Medical,Allergic,scenario,A patient was stung by a wasp 10 minutes ago. She has widespread hives and says her throat feels tight. She is wheezing and her voice is hoarse. She has an EpiPen. What is your priority?,Give her antihistamines first,Help her use her EpiPen immediately. Throat tightness hoarse voice and wheezing after allergen exposure indicates anaphylaxis with airway involvement. Epinephrine is life-saving. After EpiPen give high-flow oxygen and transport immediately,Apply ice to the sting,Wait to see if symptoms worsen,B,Anaphylaxis with airway involvement is immediately life-threatening. Epinephrine is first-line treatment that reverses bronchospasm and airway edema. Assist with EpiPen then give oxygen and transport. Monitor for recurrence.
EMR-SCEN-359,Medical,Overdose,scenario,You find a 25-year-old unresponsive with slow shallow breathing at 4 per minute. There are needles and drug paraphernalia nearby. Pupils are pinpoint. What should you suspect and do?,Alcohol intoxication. Let him sleep it off,Opioid overdose. Begin assisted ventilations immediately as respiratory failure is the cause of death. Give naloxone if available. Pinpoint pupils and respiratory depression with drug paraphernalia is classic opioid overdose,Stimulant overdose,Diabetic emergency,B,Pinpoint pupils respiratory depression and drug paraphernalia suggest opioid overdose. The immediate threat is respiratory failure. Begin bag-mask ventilation and give naloxone if available. Ventilation is the life-saving intervention.
EMR-SCEN-360,Trauma,Multi-system,scenario,A motorcyclist crashed at high speed. He has an obvious femur fracture road rash and is confused. He is tachycardic and hypotensive. What is your priority?,Splint the femur fracture first,Recognize this as multi-system trauma with shock. Control any external bleeding maintain spinal precautions and transport rapidly to a trauma center. The femur fracture itself can cause 1-2 liters of blood loss. Focus on life threats not just visible injuries,Clean the road rash first,Wait for ALS to arrive,B,High-speed motorcycle crash with multi-system injuries and shock signs requires rapid transport to trauma center. Femur fractures cause significant internal bleeding. Address life threats maintain spinal precautions and transport without delay.
EMR-SCEN-361,Trauma,Head,scenario,A patient fell and hit his head. He was briefly unconscious but is now awake and talking. He has a headache and cannot remember the fall. During transport his GCS drops from 14 to 11. What does this indicate?,He is getting tired,Deteriorating head injury. Declining GCS indicates worsening brain function possibly from bleeding or swelling. This is an ominous sign requiring urgent neurosurgical evaluation. Update the receiving facility about his deterioration,The original assessment was wrong,This is normal after head injury,B,Declining mental status after head trauma indicates worsening injury. This patient may have expanding intracranial hemorrhage or increasing edema. This is a time-critical emergency requiring immediate neurosurgical evaluation.
EMR-SCEN-362,Trauma,Chest,scenario,A stabbing victim has a wound to the left chest. You hear air moving through the wound with each breath. He is in severe respiratory distress. What should you do?,Pack the wound with gauze,Cover with an occlusive dressing sealed on three sides to create a flutter valve. This sucking chest wound allows air into the pleural space. The three-sided seal lets air out during exhalation but prevents entry during inhalation,Leave the wound open for drainage,Remove the knife if still present,B,A sucking chest wound is an open pneumothorax. Cover with occlusive dressing sealed on three sides or use a vented chest seal. This prevents air entry while allowing air to escape preventing tension pneumothorax.
EMR-SCEN-363,Trauma,Extremity,scenario,After splinting an arm fracture you recheck and find the patient cannot feel her fingers and the radial pulse is absent. What happened and what should you do?,The splint is working correctly,The splint is too tight compromising neurovascular function. Loosen the splint immediately and reassess. Pulse and sensation should return. If they do not the fracture itself may be compromising circulation requiring urgent intervention,This is expected after splinting,Add more padding without loosening,B,Absent pulse and sensation after splinting indicates neurovascular compromise. Loosen immediately and reassess. The splint must immobilize without cutting off circulation. If function does not return after loosening suspect vascular injury from the fracture itself.
EMR-SCEN-364,Special Populations,Pediatric,scenario,A 4-year-old was in a car seat during a crash. She is quiet and not crying. She is pale with delayed capillary refill. Her mother says she is usually very active and talkative. BP is normal. Should you be concerned?,No her BP is normal so she is fine,Yes be very concerned. A quiet pale child with delayed capillary refill and abnormal behavior for her is showing signs of shock. Children compensate well maintaining BP until late. Her change from baseline and perfusion signs indicate serious injury despite normal BP,Only if she starts crying,Wait for ALS assessment,B,A quiet child who is normally active combined with pallor and delayed capillary refill indicates shock. Children maintain BP until they have lost significant blood volume. Change from baseline behavior and perfusion signs are more reliable than BP.
EMR-SCEN-365,Special Populations,Geriatric,scenario,An 82-year-old woman fell at home. She has hip pain and shortened externally rotated right leg. She takes warfarin. Why is the warfarin history particularly important?,It makes her bones stronger,She is at significantly increased bleeding risk. Hip fractures cause substantial blood loss normally and anticoagulation increases this risk. She may develop shock more quickly and severely. The hospital needs to know for potential reversal,Warfarin prevents falls,It does not affect her care,B,Anticoagulated patients bleed more with trauma. Hip fractures normally cause 1-2 liters of blood loss which is worse with blood thinners. Monitor closely for shock and ensure the hospital knows about anticoagulation for potential reversal.
EMR-SCEN-366,Special Populations,OB,scenario,A woman who is 38 weeks pregnant was in a car accident. She has abdominal pain and the uterus feels rigid and tender. She reports decreased fetal movement. Vaginal bleeding is minimal. What do you suspect?,Labor is starting,Placental abruption. The placenta may be separating from the uterine wall after trauma. Rigid tender uterus decreased fetal movement and pain indicate possible abruption. Bleeding may be concealed. Both mother and baby are at risk. Transport immediately,Braxton Hicks contractions,Normal pregnancy discomfort,B,Trauma can cause placental abruption with classic signs of rigid tender uterus abdominal pain and fetal distress. Bleeding may be concealed behind the placenta. This is a surgical emergency threatening both lives.
EMR-SCEN-367,Operations,MCI,scenario,You arrive at a bus accident with approximately 15 patients. Some are walking around others are lying on the ground. You are the first EMS unit. What is your first action?,Start treating the most injured patient,Establish incident command transmit a scene size-up and request appropriate resources. Then begin triage using START. Do not begin treating individual patients until you have assessed scope and started system response,Load patients in your ambulance,Wait for more ambulances,B,First unit at MCI establishes command and requests resources before treating individuals. Scene size-up determines resources needed. Then begin triage to identify priority patients. This maximizes survival for the greatest number.
EMR-SCEN-368,Operations,Hazmat,scenario,Dispatch reports possible chemical exposure at an industrial facility. You arrive to see workers fleeing and one person collapsed inside the building. What should you do?,Rush in to rescue the collapsed worker,Stage upwind at a safe distance. Do not enter. Request hazmat team. The fleeing workers indicate danger. You cannot help if you become a victim. Plan for decontamination and treatment of victims once they are removed by trained teams,Put on your N95 and enter,Hold your breath and drag him out,B,Never enter a hazmat scene without proper training and equipment. Stage safely request hazmat team and prepare for decontaminated patients. The collapsed worker needs help but creating more victims does not help anyone.
EMR-SCEN-369,Legal,Refusal,scenario,You respond to an intoxicated 40-year-old man who fell and has a head laceration. He is slurring words but refuses transport. He says he just wants to go home. Can he refuse care?,Yes any adult can refuse,His capacity to refuse is questionable due to intoxication and head injury. Both impair decision-making. Thoroughly assess his ability to understand his situation and risks. If capacity is truly impaired implied consent may apply. Document thoroughly,No intoxicated patients cannot refuse,Only if he signs a form,B,Intoxication and head injury both impair decision-making capacity. Assess whether he truly understands his situation and the risks of refusing. If capacity is impaired consider implied consent. Document your assessment of his capacity thoroughly.
EMR-SCEN-370,Wellness,Critical Incident,scenario,You just responded to a call where an infant died despite your resuscitation efforts. You are having trouble focusing and feel emotionally numb. What should you do?,Ignore the feelings and take the next call,Recognize this is a normal response to a critical incident. Talk to your partner or supervisor. Participate in CISD if offered. Seeking support is healthy not weak. If symptoms persist seek professional help. Self-care after traumatic calls is important,Keep it to yourself to appear professional,Request a week off without telling anyone,B,Critical incident stress after infant death is normal. Talk to partners supervisors or counselors. Participate in debriefings. Seeking help is appropriate and healthy. Persistent symptoms may indicate need for professional support.
