emr_id,category,subcategory,question_type,term,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-077,Anatomy,Cardiovascular,vocabulary,Pulmonary Veins,Which blood vessels carry oxygenated blood from the lungs to the left atrium?,Pulmonary arteries,Pulmonary veins,Vena cava,Coronary veins,B,The pulmonary veins are unique because they are veins that carry oxygenated blood. Four pulmonary veins two from each lung carry oxygenated blood from the lungs to the left atrium where it then flows to the left ventricle for distribution to the body.
EMR-VOCAB-078,Anatomy,Cardiovascular,vocabulary,Carotid Artery,What major artery in the neck supplies blood to the head and brain and is used as a pulse point?,Jugular vein,Carotid artery,Vertebral artery,Subclavian artery,B,The carotid arteries are major blood vessels on each side of the neck that supply oxygenated blood to the head and brain. The carotid pulse is palpated at the neck and is used to assess circulation in unresponsive patients because it is a central pulse that remains palpable longer than peripheral pulses.
EMR-VOCAB-079,Anatomy,Cardiovascular,vocabulary,Radial Artery,What artery at the wrist on the thumb side is commonly used to assess pulse in responsive patients?,Ulnar artery,Radial artery,Brachial artery,Carotid artery,B,The radial artery is located at the wrist on the lateral thumb side. The radial pulse is the most common site for pulse assessment in responsive patients because it is easily accessible and does not require invading personal space. It is palpated by placing fingers over the radial artery against the radius bone.
EMR-VOCAB-080,Anatomy,Cardiovascular,vocabulary,Brachial Artery,What artery in the upper arm is used for blood pressure measurement and as a pulse point in infants?,Radial artery,Brachial artery,Carotid artery,Femoral artery,B,The brachial artery is the major artery of the upper arm located on the medial aspect. It is used for blood pressure measurement as the stethoscope is placed over it at the antecubital fossa. The brachial pulse is the preferred pulse check location in infants because their short necks make carotid assessment difficult.
EMR-VOCAB-081,Anatomy,Cardiovascular,vocabulary,Femoral Artery,What major artery in the groin area supplies blood to the lower extremity?,Brachial artery,Femoral artery,Popliteal artery,Tibial artery,B,The femoral artery is a large artery that runs through the groin and thigh supplying blood to the lower extremity. The femoral pulse can be palpated in the groin at the inguinal crease. Injury to the femoral artery can cause rapid life-threatening hemorrhage.
EMR-VOCAB-082,Anatomy,Cardiovascular,vocabulary,Dorsalis Pedis,What artery on the top of the foot is used to assess circulation to the lower extremity?,Femoral artery,Posterior tibial artery,Dorsalis pedis artery,Popliteal artery,C,The dorsalis pedis artery runs along the top of the foot between the first and second metatarsals. The dorsalis pedis pulse is used to assess circulation to the foot and is important when evaluating patients with lower extremity injuries or peripheral vascular disease.
EMR-VOCAB-083,Anatomy,Respiratory,vocabulary,Carina,What is the anatomical landmark where the trachea divides into the right and left main bronchi?,Cricoid,Carina,Glottis,Hilum,B,The carina is the ridge of cartilage at the bifurcation of the trachea where it divides into the right and left main bronchi. It is located at approximately the level of the sternal angle. The carina is highly sensitive and stimulation causes strong cough reflex.
EMR-VOCAB-084,Anatomy,Respiratory,vocabulary,Cricoid Cartilage,What is the only complete ring of cartilage in the airway located just below the thyroid cartilage?,Thyroid cartilage,Cricoid cartilage,Tracheal ring,Epiglottis,B,The cricoid cartilage is a ring-shaped cartilage located just below the thyroid cartilage at the level of C6. It is the only complete ring of cartilage in the airway and provides structural support. The cricoid is an important landmark for cricoid pressure which can help prevent regurgitation.
EMR-VOCAB-085,Anatomy,Respiratory,vocabulary,Thyroid Cartilage,What is the largest cartilage of the larynx commonly called the Adam's apple?,Cricoid cartilage,Thyroid cartilage,Epiglottis,Arytenoid,B,The thyroid cartilage is the largest cartilage of the larynx and forms the anterior prominence known as the Adam's apple which is more prominent in males. It protects the vocal cords and is an important anatomical landmark for identifying the airway structures.
EMR-VOCAB-086,Anatomy,Respiratory,vocabulary,Intercostal Muscles,What muscles between the ribs assist with breathing by expanding and contracting the chest wall?,Diaphragm,Intercostal muscles,Abdominal muscles,Scalene muscles,B,The intercostal muscles are located between the ribs. External intercostals elevate the ribs during inspiration expanding the chest cavity. Internal intercostals depress the ribs during forced expiration. Retractions visible pulling in between the ribs indicate respiratory distress with increased work of breathing.
EMR-VOCAB-087,Anatomy,Respiratory,vocabulary,Accessory Muscles,What term describes the neck and abdominal muscles used during labored breathing when the diaphragm alone is insufficient?,Primary muscles,Accessory muscles,Voluntary muscles,Skeletal muscles,B,Accessory muscles are muscles not normally used for breathing at rest but recruited during respiratory distress. They include the sternocleidomastoid scalenes and trapezius in the neck and abdominal muscles for forced expiration. Use of accessory muscles indicates increased work of breathing and respiratory distress.
EMR-VOCAB-088,Anatomy,Nervous System,vocabulary,Central Nervous System,What division of the nervous system consists of the brain and spinal cord?,Central nervous system,Peripheral nervous system,Autonomic nervous system,Somatic nervous system,A,The central nervous system CNS consists of the brain and spinal cord. It serves as the main processing center receiving sensory information processing it and generating appropriate responses. The CNS is protected by the skull vertebral column and meninges.
EMR-VOCAB-089,Anatomy,Nervous System,vocabulary,Peripheral Nervous System,What division of the nervous system consists of all nerves outside the brain and spinal cord?,Central nervous system,Peripheral nervous system,Autonomic nervous system,Sympathetic nervous system,B,The peripheral nervous system PNS consists of all nerves outside the brain and spinal cord including cranial nerves spinal nerves and their branches. The PNS carries sensory information to the CNS and motor commands from the CNS to muscles and glands.
EMR-VOCAB-090,Anatomy,Nervous System,vocabulary,Autonomic Nervous System,What division of the nervous system controls involuntary functions like heart rate digestion and breathing?,Somatic nervous system,Autonomic nervous system,Central nervous system,Motor nervous system,B,The autonomic nervous system ANS controls involuntary body functions including heart rate blood pressure digestion and respiratory rate. It has two divisions the sympathetic fight or flight and parasympathetic rest and digest systems that work in balance to maintain homeostasis.
EMR-VOCAB-091,Anatomy,Nervous System,vocabulary,Sympathetic Nervous System,What division of the autonomic nervous system is responsible for the fight or flight response?,Parasympathetic nervous system,Sympathetic nervous system,Somatic nervous system,Central nervous system,B,The sympathetic nervous system prepares the body for stress or emergency through the fight or flight response. It increases heart rate and blood pressure dilates pupils bronchodilates airways and redirects blood flow to muscles. Epinephrine and norepinephrine are its primary neurotransmitters.
EMR-VOCAB-092,Anatomy,Nervous System,vocabulary,Parasympathetic Nervous System,What division of the autonomic nervous system is responsible for rest and digest functions?,Sympathetic nervous system,Parasympathetic nervous system,Somatic nervous system,Motor nervous system,B,The parasympathetic nervous system promotes rest and digest functions. It decreases heart rate and blood pressure stimulates digestion and promotes energy conservation. It works in balance with the sympathetic system. Acetylcholine is its primary neurotransmitter.
EMR-VOCAB-093,Anatomy,Nervous System,vocabulary,Pupil,What is the opening in the center of the iris that regulates the amount of light entering the eye?,Cornea,Pupil,Lens,Retina,B,The pupil is the circular opening in the center of the iris that controls how much light enters the eye. Pupils constrict in bright light and dilate in dim light. Pupil size and reactivity are important neurological assessments. Unequal pupils may indicate brain injury.
EMR-VOCAB-094,Anatomy,Endocrine,vocabulary,Pancreas,What organ produces insulin and glucagon to regulate blood glucose levels?,Liver,Pancreas,Adrenal gland,Thyroid,B,The pancreas is both an endocrine and exocrine gland located behind the stomach. Its endocrine function involves producing insulin which lowers blood glucose and glucagon which raises blood glucose. Diabetes results from inadequate insulin production or function.
EMR-VOCAB-095,Anatomy,Endocrine,vocabulary,Adrenal Glands,What glands located on top of the kidneys produce epinephrine and cortisol?,Thyroid glands,Adrenal glands,Pituitary glands,Parathyroid glands,B,The adrenal glands are located on top of each kidney. The adrenal medulla produces epinephrine adrenaline and norepinephrine which mediate the fight or flight response. The adrenal cortex produces cortisol and aldosterone which regulate metabolism and fluid balance.
EMR-VOCAB-096,Anatomy,Urinary,vocabulary,Kidneys,What organs filter blood to produce urine and regulate fluid electrolyte and acid-base balance?,Liver,Kidneys,Bladder,Spleen,B,The kidneys are paired organs located in the retroperitoneal space. They filter blood to remove waste products and excess water producing urine. They also regulate fluid balance electrolyte concentrations blood pressure and red blood cell production through erythropoietin secretion.
EMR-VOCAB-097,Anatomy,Urinary,vocabulary,Bladder,What hollow muscular organ stores urine until it is eliminated from the body?,Kidney,Ureter,Bladder,Urethra,C,The urinary bladder is a hollow muscular organ located in the pelvis that stores urine produced by the kidneys. When full it can hold approximately 500 mL of urine. The bladder is vulnerable to injury in pelvic trauma especially when full.
EMR-VOCAB-098,Anatomy,Lymphatic,vocabulary,Spleen,What lymphatic organ in the left upper quadrant filters blood and stores red blood cells?,Liver,Spleen,Pancreas,Kidney,B,The spleen is a highly vascular lymphatic organ located in the left upper quadrant. It filters blood removing old red blood cells stores blood cells and plays a role in immune function. The spleen is commonly injured in blunt abdominal trauma and can cause severe internal bleeding.
EMR-VOCAB-099,Anatomy,Reproductive,vocabulary,Uterus,What muscular organ in the female pelvis is where a fetus develops during pregnancy?,Ovary,Uterus,Cervix,Vagina,B,The uterus or womb is a pear-shaped muscular organ in the female pelvis. It consists of the fundus body and cervix. The uterus is where a fertilized egg implants and the fetus develops during pregnancy. It dramatically expands during pregnancy to accommodate the growing fetus.
EMR-VOCAB-100,Anatomy,Reproductive,vocabulary,Placenta,What organ develops during pregnancy to provide oxygen and nutrients to the fetus and remove waste?,Uterus,Placenta,Umbilical cord,Amniotic sac,B,The placenta is a temporary organ that develops during pregnancy attaching to the uterine wall and connecting to the fetus via the umbilical cord. It transfers oxygen and nutrients from mother to fetus and removes waste products. The placenta is delivered after the baby during the third stage of labor.
