emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-486,Signs and Symptoms,Gastrointestinal,vocabulary,Rigidity,Involuntary constant abdominal muscle tension,Soft abdomen,Involuntary muscle tension,Guarding,Distension,B,Rigidity or involuntary guarding is constant abdominal muscle tension that cannot be overcome. It indicates peritonitis from ruptured viscus or other serious intra-abdominal pathology.
EMR-VOCAB-487,Signs and Symptoms,Pain,vocabulary,Radiating pain,Pain that spreads from one area to another,Localized pain,Pain spreading to other areas,Referred pain,Constant pain,B,Radiating pain spreads from its origin along a nerve pathway. Cardiac pain radiating to the arm or jaw and sciatica radiating down the leg are examples of radiating pain.
EMR-VOCAB-488,Signs and Symptoms,Pain,vocabulary,Referred pain,Pain felt in location distant from its source,Local pain,Pain felt away from source,Radiating pain,Phantom pain,B,Referred pain is felt at a location different from the pathology causing it. Examples include shoulder pain from diaphragm irritation Kehr sign and jaw pain from cardiac ischemia.
EMR-VOCAB-489,Signs and Symptoms,Pain,vocabulary,Colicky pain,Cramping pain that comes and goes in waves,Constant pain,Wave-like cramping pain,Sharp pain,Dull pain,B,Colicky or cramping pain waxes and wanes in intensity typically from hollow organ obstruction or spasm. Kidney stones gallstones and bowel obstruction cause characteristic colicky pain.
EMR-VOCAB-490,Signs and Symptoms,Skin,vocabulary,Flushing,Redness of skin from increased blood flow,Paleness,Skin redness,Blueness,Yellowness,B,Flushing is redness of the skin caused by vasodilation and increased blood flow. It may occur with fever allergic reaction emotional response or certain medications.
EMR-VOCAB-491,Signs and Symptoms,Skin,vocabulary,Mottling,Patchy discoloration of skin from poor perfusion,Uniform color,Patchy skin discoloration,Bruising,Rash,B,Mottling is irregular patchy skin discoloration typically indicating poor peripheral perfusion. In shock the skin may appear marbled or blotchy especially on the extremities and trunk.
EMR-VOCAB-492,Signs and Symptoms,Skin,vocabulary,Petechiae,Tiny pinpoint red spots from broken capillaries,Large bruises,Tiny red spots,Hives,Blisters,B,Petechiae are pinpoint non-blanching red spots caused by bleeding from capillaries into skin. They may indicate low platelets clotting disorders or severe infection like meningococcemia.
EMR-VOCAB-493,Signs and Symptoms,Skin,vocabulary,Purpura,Purple spots from bleeding under the skin larger than petechiae,Red spots,Purple bleeding spots,Hives,Blisters,B,Purpura are purple discolorations larger than petechiae 3-10mm from bleeding under the skin. Like petechiae they do not blanch with pressure and indicate bleeding disorders or vasculitis.
EMR-VOCAB-494,Signs and Symptoms,Skin,vocabulary,Ecchymosis,Bruise from bleeding under the skin,Small red spots,Larger bruise,Rash,Blister,B,Ecchymosis is a bruise larger than 1cm caused by blood leaking from vessels into tissue. It changes color over time as hemoglobin breaks down from purple to green to yellow as it heals.
EMR-VOCAB-495,Signs and Symptoms,Skin,vocabulary,Urticaria,Hives from allergic reaction,Bruising,Allergic hives,Burns,Blisters,B,Urticaria or hives are raised itchy wheals on the skin from histamine release in allergic reactions. They can appear anywhere blanch with pressure and may be localized or widespread.
EMR-VOCAB-496,Signs and Symptoms,Skin,vocabulary,Pruritus,Itching sensation,Pain,Itching,Numbness,Burning,B,Pruritus is the sensation of itching that creates an urge to scratch. It commonly accompanies allergic reactions skin conditions and some systemic diseases.
EMR-VOCAB-497,Signs and Symptoms,General,vocabulary,Malaise,General feeling of discomfort illness or uneasiness,Specific pain,General unwell feeling,Fever,Fatigue,B,Malaise is a vague feeling of bodily discomfort or uneasiness often accompanying the onset of illness. Patients may say they just do not feel right without specific complaints.
EMR-VOCAB-498,Signs and Symptoms,General,vocabulary,Lethargy,Abnormal drowsiness or lack of energy,Normal alertness,Excessive drowsiness,Unconsciousness,Agitation,B,Lethargy is abnormal drowsiness sluggishness or lack of energy. Patients are arousable but difficult to keep awake. It may indicate infection metabolic problems medications or neurological issues.
EMR-VOCAB-499,Signs and Symptoms,General,vocabulary,Obtunded,Decreased alertness with slow response to stimulation,Fully alert,Decreased alertness slow response,Unconscious,Agitated,B,Obtundation is a moderately decreased level of consciousness with slowed responses to stimulation. Patients can be aroused but are not fully alert. It falls between lethargy and stupor on the consciousness spectrum.
EMR-VOCAB-500,Signs and Symptoms,General,vocabulary,Stupor,Near unconsciousness requiring strong stimulation to arouse,Full alertness,Near unconsciousness,Complete unconsciousness,Normal drowsiness,B,Stupor is a state of near unconsciousness where only vigorous or painful stimulation produces a response. It indicates severe CNS depression and is more serious than lethargy or obtundation.
