emr_id,category,subcategory,question_type,term,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-168,Medical Terminology,Abbreviations,vocabulary,PPE,What does the abbreviation PPE stand for?,Patient protection equipment,Personal protective equipment,Primary patient evaluation,Pulse and pressure evaluation,B,PPE stands for personal protective equipment which includes gloves gowns masks eye protection and other items worn to protect healthcare providers from exposure to infectious materials and other hazards.
EMR-VOCAB-169,Medical Terminology,Abbreviations,vocabulary,DNR,What does the abbreviation DNR stand for?,Do not respond,Do not resuscitate,Delayed normal rhythm,Document not required,B,DNR stands for do not resuscitate which is a medical order indicating that CPR should not be performed if a patient's heart stops. It is based on patient wishes often documented in advance directives.
EMR-VOCAB-170,Medical Terminology,Abbreviations,vocabulary,EMS,What does the abbreviation EMS stand for?,Emergency medical system,Emergency medical services,Emergency management system,Emergency medicine specialists,B,EMS stands for emergency medical services which is the system of emergency care including 911 dispatch ambulance services emergency responders and emergency departments that provide prehospital and emergency care.
EMR-VOCAB-171,Medical Terminology,Abbreviations,vocabulary,MVA or MVC,What do the abbreviations MVA or MVC stand for?,Major vascular accident,Motor vehicle accident or collision,Medical vital assessment,Multiple victim accident,B,MVA stands for motor vehicle accident and MVC stands for motor vehicle collision. MVC is preferred by many agencies as collision implies no accident was involved. Both refer to crashes involving motor vehicles.
EMR-VOCAB-172,Medical Terminology,Abbreviations,vocabulary,GSW,What does the abbreviation GSW stand for?,General surgical wound,Gunshot wound,Gastrointestinal surgical wound,Gross soft wound,B,GSW stands for gunshot wound which is a traumatic injury caused by a projectile from a firearm. GSWs are high-energy injuries that can cause significant internal damage beyond the visible wound.
EMR-VOCAB-173,Medical Terminology,Abbreviations,vocabulary,CVA,What does the abbreviation CVA stand for?,Cardiovascular accident,Cerebrovascular accident,Cervical vertebral abnormality,Cardiovascular assessment,B,CVA stands for cerebrovascular accident which is the medical term for a stroke. A stroke occurs when blood flow to part of the brain is interrupted by a clot or bleeding causing brain cell death.
EMR-VOCAB-174,Medical Terminology,Abbreviations,vocabulary,MI,What does the abbreviation MI stand for?,Medical illness,Myocardial infarction,Major injury,Moderate illness,B,MI stands for myocardial infarction which is the medical term for a heart attack. It occurs when blood flow to part of the heart muscle is blocked usually by a blood clot causing heart tissue death.
EMR-VOCAB-175,Medical Terminology,Abbreviations,vocabulary,CHF,What does the abbreviation CHF stand for?,Chronic heart failure,Congestive heart failure,Cardiac health function,Circulatory heart function,B,CHF stands for congestive heart failure which is a condition where the heart cannot pump blood effectively leading to fluid buildup in the lungs and other tissues causing symptoms like shortness of breath and edema.
EMR-VOCAB-176,Medical Terminology,Abbreviations,vocabulary,COPD,What does the abbreviation COPD stand for?,Chronic oxygen pathway disease,Chronic obstructive pulmonary disease,Cardiac oxygen perfusion disorder,Circulatory obstructive pressure disease,B,COPD stands for chronic obstructive pulmonary disease which includes chronic bronchitis and emphysema. It is characterized by airflow limitation that makes it difficult to breathe especially during exhalation.
EMR-VOCAB-177,Medical Terminology,Abbreviations,vocabulary,DM,What does the abbreviation DM stand for?,Diabetes mellitus,Diastolic measurement,Delayed medication,Diagnostic medicine,A,DM stands for diabetes mellitus which is a metabolic disease characterized by high blood glucose levels due to inadequate insulin production or insulin resistance. Types include Type 1 and Type 2 diabetes.
EMR-VOCAB-178,Medical Terminology,Abbreviations,vocabulary,SOB,What does the abbreviation SOB stand for?,Slow onset breathing,Shortness of breath,Sudden onset breathing,Systemic oxygen blockage,B,SOB stands for shortness of breath which is also called dyspnea. It is a subjective feeling of difficulty breathing that can be caused by many cardiac respiratory and other conditions.
EMR-VOCAB-179,Medical Terminology,Abbreviations,vocabulary,NKA,What does the abbreviation NKA stand for?,No known address,No known allergies,Normal kidney assessment,Non-kidney analysis,B,NKA stands for no known allergies meaning the patient has no allergies that they are aware of. A similar abbreviation NKDA means no known drug allergies specifically.
EMR-VOCAB-180,Medical Terminology,Abbreviations,vocabulary,Rx,What does the symbol Rx represent?,Rest and recovery,Prescription or treatment,Radiology examination,Respiratory exchange,B,Rx is a symbol meaning prescription or treatment. It comes from the Latin word recipe meaning take. When you see Rx medications it refers to prescription drugs that require a doctor's order.
EMR-VOCAB-181,Medical Terminology,Common Terms,vocabulary,Syncope,What is the medical term for fainting or temporary loss of consciousness?,Vertigo,Syncope,Seizure,Stroke,B,Syncope is the medical term for fainting or a temporary loss of consciousness usually caused by decreased blood flow to the brain. It is characterized by sudden onset brief duration and spontaneous complete recovery.
EMR-VOCAB-182,Medical Terminology,Common Terms,vocabulary,Vertigo,What is the medical term for a spinning or whirling sensation often described as dizziness?,Syncope,Vertigo,Nausea,Ataxia,B,Vertigo is the sensation that you or your surroundings are spinning or moving. It is often described as dizziness and can be caused by inner ear problems neurological conditions or other factors.
EMR-VOCAB-183,Medical Terminology,Common Terms,vocabulary,Cyanosis,What is the medical term for bluish discoloration of the skin due to poor oxygenation?,Jaundice,Pallor,Cyanosis,Erythema,C,Cyanosis is a bluish discoloration of the skin lips and nail beds caused by inadequate oxygen in the blood. It indicates significant hypoxia and is a serious sign requiring immediate intervention.
EMR-VOCAB-184,Medical Terminology,Common Terms,vocabulary,Pallor,What is the medical term for pale or whitish skin color often indicating poor perfusion?,Cyanosis,Pallor,Jaundice,Flushing,B,Pallor is an abnormal paleness of the skin that can indicate poor blood flow blood loss anemia or shock. It is often seen in the face lips and nail beds.
EMR-VOCAB-185,Medical Terminology,Common Terms,vocabulary,Jaundice,What is the medical term for yellowish discoloration of the skin and eyes caused by liver dysfunction?,Cyanosis,Pallor,Jaundice,Erythema,C,Jaundice is a yellowish discoloration of the skin and whites of the eyes caused by elevated bilirubin levels. It indicates liver dysfunction bile duct obstruction or excessive red blood cell breakdown.
EMR-VOCAB-186,Medical Terminology,Common Terms,vocabulary,Diaphoresis,What is the medical term for profuse sweating?,Dehydration,Diaphoresis,Diarrhea,Dysuria,B,Diaphoresis is profuse sweating beyond what is needed for temperature regulation. It is often a sign of distress and can indicate conditions such as heart attack hypoglycemia shock or severe pain.
EMR-VOCAB-187,Medical Terminology,Common Terms,vocabulary,Edema,What is the medical term for swelling caused by excess fluid in the tissues?,Erythema,Edema,Embolism,Effusion,B,Edema is swelling caused by excess fluid accumulation in body tissues. It can be localized such as ankle swelling or generalized. Causes include heart failure kidney disease venous insufficiency and injury.
EMR-VOCAB-188,Medical Terminology,Common Terms,vocabulary,Emesis,What is the medical term for vomiting?,Edema,Emesis,Epistaxis,Enuresis,B,Emesis is the medical term for vomiting which is the forceful expulsion of stomach contents through the mouth. Vomitus or emesis can be assessed for blood coffee-ground appearance or other abnormalities.
EMR-VOCAB-189,Medical Terminology,Common Terms,vocabulary,Epistaxis,What is the medical term for a nosebleed?,Emesis,Epistaxis,Enuresis,Hemoptysis,B,Epistaxis is the medical term for nosebleed. Most nosebleeds originate from the anterior nasal septum and can be controlled with direct pressure. Posterior nosebleeds are more serious and harder to control.
EMR-VOCAB-190,Medical Terminology,Common Terms,vocabulary,Hemoptysis,What is the medical term for coughing up blood from the respiratory tract?,Hematemesis,Hemoptysis,Hematuria,Epistaxis,B,Hemoptysis is coughing up blood that originates from the lower respiratory tract. It should be distinguished from hematemesis which is vomiting blood from the GI tract and from blood originating in the mouth or nose.
EMR-VOCAB-191,Medical Terminology,Common Terms,vocabulary,Hematemesis,What is the medical term for vomiting blood?,Hemoptysis,Hematemesis,Hematuria,Melena,B,Hematemesis is vomiting blood which indicates bleeding in the upper gastrointestinal tract. The blood may be bright red or may look like coffee grounds if it has been partially digested by stomach acid.
EMR-VOCAB-192,Medical Terminology,Common Terms,vocabulary,Hematuria,What is the medical term for blood in the urine?,Hematemesis,Hemoptysis,Hematuria,Melena,C,Hematuria is the presence of blood in the urine. It can be visible gross hematuria or detected only by testing microscopic hematuria. Causes include urinary tract infection kidney stones and trauma.
EMR-VOCAB-193,Medical Terminology,Common Terms,vocabulary,Melena,What is the medical term for black tarry stools indicating upper GI bleeding?,Hematemesis,Hematochezia,Melena,Hematuria,C,Melena is black tarry foul-smelling stool caused by digested blood from upper gastrointestinal bleeding. The dark color results from blood being broken down as it passes through the intestines.
EMR-VOCAB-194,Medical Terminology,Common Terms,vocabulary,Tachycardia,What is the medical term for a heart rate faster than 100 beats per minute in adults?,Bradycardia,Tachycardia,Tachypnea,Hypertension,B,Tachycardia is a heart rate greater than 100 beats per minute in adults. It can be a normal response to exercise stress or fever or can indicate underlying cardiac respiratory or metabolic problems.
EMR-VOCAB-195,Medical Terminology,Common Terms,vocabulary,Bradycardia,What is the medical term for a heart rate slower than 60 beats per minute in adults?,Tachycardia,Bradycardia,Bradypnea,Hypotension,B,Bradycardia is a heart rate less than 60 beats per minute in adults. It can be normal in athletes or during sleep but can also indicate cardiac conduction problems hypothermia or medication effects.
EMR-VOCAB-196,Medical Terminology,Common Terms,vocabulary,Tachypnea,What is the medical term for rapid breathing?,Bradypnea,Tachypnea,Dyspnea,Apnea,B,Tachypnea is an abnormally rapid respiratory rate. In adults this generally means greater than 20 breaths per minute. It can indicate respiratory distress fever metabolic acidosis or anxiety.
EMR-VOCAB-197,Medical Terminology,Common Terms,vocabulary,Bradypnea,What is the medical term for abnormally slow breathing?,Tachypnea,Bradypnea,Apnea,Dyspnea,B,Bradypnea is an abnormally slow respiratory rate generally less than 12 breaths per minute in adults. It can indicate central nervous system depression from drugs head injury or metabolic problems.
EMR-VOCAB-198,Medical Terminology,Common Terms,vocabulary,Apnea,What is the medical term for absence of breathing?,Dyspnea,Bradypnea,Apnea,Tachypnea,C,Apnea is the complete absence of breathing. It is an immediately life-threatening condition requiring rescue breathing or mechanical ventilation. Sleep apnea refers to periodic cessation of breathing during sleep.
EMR-VOCAB-199,Medical Terminology,Common Terms,vocabulary,Dyspnea,What is the medical term for difficulty breathing or shortness of breath?,Apnea,Tachypnea,Dyspnea,Orthopnea,C,Dyspnea is the subjective sensation of difficulty breathing or shortness of breath. Patients may describe it as not getting enough air chest tightness or suffocation. It has many possible cardiac and respiratory causes.
EMR-VOCAB-200,Medical Terminology,Common Terms,vocabulary,Orthopnea,What is the medical term for difficulty breathing while lying flat?,Dyspnea,Orthopnea,Apnea,Paroxysmal nocturnal dyspnea,B,Orthopnea is difficulty breathing that occurs or worsens when lying flat and is relieved by sitting or standing upright. It is commonly associated with heart failure and is often measured by the number of pillows needed to sleep.
