emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-136,CPR/Cardiac,Sudden Cardiac Death,scenario,A 17-year-old athlete collapsed during a basketball game. He was running then suddenly dropped to the floor unconscious. He has no pulse. What should you suspect and do?,He just fainted from exertion. Let him rest,Suspect sudden cardiac arrest possibly from undiagnosed cardiac condition like hypertrophic cardiomyopathy or commotio cordis. Begin immediate CPR and use AED as soon as available. Young athletes can have lethal arrhythmias,Heat exhaustion. Give fluids,Seizure. Protect and wait,B,Sudden collapse during exertion in a young athlete is cardiac arrest until proven otherwise. Conditions like hypertrophic cardiomyopathy and arrhythmias cause sudden cardiac death in young athletes. Immediate CPR and defibrillation offer the best chance of survival. Do not assume simple fainting.
EMR-SCEN-137,CPR/Cardiac,Commotio Cordis,scenario,A 14-year-old baseball player was struck in the chest by a pitched ball and immediately collapsed. He is unresponsive with no pulse. What has likely happened?,Broken ribs punctured his lung,Commotio cordis. A blow to the chest during the vulnerable part of the cardiac cycle caused ventricular fibrillation. Immediate CPR and defibrillation are critical. This is a shockable rhythm with good survival if treated immediately,Simple fainting from pain,Internal bleeding from ruptured spleen,B,Commotio cordis occurs when blunt chest impact during a specific moment of the cardiac cycle triggers ventricular fibrillation. It requires no structural heart damage. Immediate CPR and defibrillation are essential as VF is shockable and survival rates are good with rapid treatment.
EMR-SCEN-138,CPR/Cardiac,Electrocution,scenario,A worker touched a live electrical wire and is now unresponsive on the ground. The power source has been turned off by a coworker. The patient is not breathing and has no pulse. What should you do?,Do not touch the patient as he may still be electrified,Once the power is confirmed off begin immediate CPR and apply AED. Electrocution commonly causes ventricular fibrillation. Look for entrance and exit wounds. Be prepared for trauma injuries from falls or muscle contractions,Just check for breathing and wait for medics,Perform only rescue breathing,B,After ensuring the power source is disconnected begin resuscitation. Electrocution commonly causes VF which is treatable with CPR and defibrillation. Also assess for burns at entrance and exit points and trauma from falls or tetanic muscle contractions causing fractures.
EMR-SCEN-139,CPR/Cardiac,Drowning,scenario,A 25-year-old was pulled from a lake after being submerged for approximately 2 minutes. He is unresponsive not breathing and has no pulse. How should you modify your resuscitation approach?,Standard CPR with no modifications needed,Begin with rescue breaths before compressions if possible. Drowning is primarily a respiratory emergency and hypoxia causes the arrest. Give 2 rescue breaths first if you can do so quickly then begin CPR. AED as soon as available,Do not attempt CPR on drowning victims,Only give rescue breaths not compressions,B,Drowning causes cardiac arrest through hypoxia so early oxygenation is critical. Current guidelines suggest starting with rescue breaths for drowning victims before compressions if this can be done quickly. The AED should still be applied as VF can occur from hypoxia.
EMR-SCEN-140,CPR/Cardiac,Opioid Overdose,scenario,A 28-year-old is found unresponsive with slow shallow breathing about 4 per minute. Pinpoint pupils are noted. Drug paraphernalia is nearby. He still has a weak pulse. What should you do?,Begin CPR since his breathing is so slow,Assist ventilations with BVM since he has a pulse but inadequate breathing. Administer naloxone if available and trained. This appears to be opioid overdose. Support breathing and monitor closely. Be prepared for combative behavior if naloxone works,Give oxygen by non-rebreather mask only,Nothing just wait for paramedics,B,Opioid overdose causes respiratory depression not cardiac arrest initially. With a pulse present provide assisted ventilation rather than CPR. Administer naloxone if available to reverse opioid effects. Support breathing until naloxone takes effect. Patients may become combative when aroused.
EMR-SCEN-141,CPR/Cardiac,CPR Decisions,scenario,You arrive at a residence where an elderly man is in bed. His wife says he died in his sleep last night. She woke this morning to find him cold and stiff. He has not moved in hours. Should you begin CPR?,Yes begin CPR immediately,No do not begin CPR. Rigor mortis stiffening indicates death occurred hours ago and resuscitation is not possible. Provide support to the wife contact appropriate authorities and do not disturb the scene more than necessary,Only if the wife requests it,Begin CPR and transport to hospital,B,Obvious signs of death including rigor mortis dependent lividity and body temperature equal to surroundings indicate death occurred long ago. CPR would be futile. Provide emotional support to survivors contact authorities as required and do not initiate resuscitation.
EMR-SCEN-142,CPR/Cardiac,Defibrillation,scenario,You are about to use an AED when you notice the patient has an obvious bulge under the skin of the upper left chest where your pad would normally go. The family says it is his pacemaker. Can you still use the AED?,No AEDs cannot be used on patients with pacemakers,Yes you can use the AED. Place the pad at least one inch away from the pacemaker. The AED can still analyze the rhythm and deliver a shock effectively. Alternative pad placement may be needed,The pacemaker will prevent cardiac arrest so AED is not needed,Remove the pacemaker before using AED,B,AEDs can be used on patients with implanted pacemakers or defibrillators. Place pads at least 1 inch away from the device to prevent damage and ensure effective energy delivery. The AED can still analyze rhythm and shock if indicated.
EMR-SCEN-143,CPR/Cardiac,Team CPR,scenario,You are leading resuscitation of a cardiac arrest with three other rescuers. How should you organize the team for most effective CPR?,Everyone should take turns doing compressions,Assign clear roles: one person on compressions one managing airway and BVM one operating AED and one documenting and timing. Rotate compressors every 2 minutes. Clear communication and teamwork maximize CPR quality,Let everyone do what they want,Only the most experienced person should do compressions,B,Team-based CPR is most effective with clear role assignments. Compressor airway manager AED operator and timer/documenter. Rotate compressors every 2 minutes to prevent fatigue. Clear communication including countdown for switches ensures smooth transitions and minimal interruption.
EMR-SCEN-144,CPR/Cardiac,CPR Feedback,scenario,You are using a CPR feedback device that shows your compression rate is 118/min and depth is 1.8 inches. What should you adjust?,Compress faster to exceed 120/min,Increase compression depth to at least 2 inches. Rate of 118/min is within guidelines 100-120 but depth of 1.8 inches is below the minimum recommended depth of 2 inches. Push harder while maintaining proper rate,Both rate and depth are fine,Slow down and compress more shallowly,B,Compression rate of 118/min is acceptable within 100-120 range. However depth of 1.8 inches is inadequate as minimum is 2 inches. Focus on pushing harder while maintaining the appropriate rate. Feedback devices help identify and correct specific quality issues.
EMR-SCEN-145,CPR/Cardiac,Termination,scenario,You have been performing CPR and using the AED on a patient for 30 minutes. Multiple shocks have been given with no return of pulse. ALS providers arrive and after further efforts decide to terminate resuscitation. What should you do?,Continue CPR since the patient might still survive,Follow the lead of ALS providers. Stop CPR when directed. Provide support to family members and assist with documentation. Resuscitation may be terminated after prolonged efforts without ROSC especially with non-shockable rhythms,Argue that they should continue longer,Leave the scene immediately,B,Termination of resuscitation is a medical decision typically made by physicians or experienced ALS providers following protocols. When resuscitation is terminated assist with scene management family support and documentation. Prolonged asystole despite CPR has essentially no survival.
