emr_id,category,subcategory,question_type,term,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-011,Anatomy,Respiratory,vocabulary,Bronchi,What term describes the two main branches of the trachea that enter the lungs and continue to divide into smaller airways?,Alveoli,Bronchi,Bronchioles,Carina,B,The bronchi are the two main air passages that branch from the trachea and enter the lungs. The right main bronchus is shorter wider and more vertical than the left making it the more common site for aspirated foreign objects. The bronchi continue to divide into smaller bronchioles.
EMR-VOCAB-012,Anatomy,Respiratory,vocabulary,Alveoli,What is the term for the tiny air sacs in the lungs where gas exchange between air and blood occurs?,Bronchioles,Alveoli,Cilia,Pleura,B,Alveoli are microscopic air sacs at the end of the bronchioles where gas exchange occurs. There are approximately 300 million alveoli in the lungs providing a huge surface area for oxygen to enter the blood and carbon dioxide to be removed. Their walls are only one cell thick to facilitate diffusion.
EMR-VOCAB-013,Anatomy,Respiratory,vocabulary,Diaphragm,What is the primary muscle of respiration that separates the thoracic cavity from the abdominal cavity?,Intercostal muscles,Diaphragm,Abdominal muscles,Sternocleidomastoid,B,The diaphragm is a dome-shaped muscle that separates the chest from the abdomen. When it contracts it flattens and moves downward increasing the volume of the thoracic cavity and creating negative pressure that draws air into the lungs. It is responsible for approximately 60-80% of breathing effort.
EMR-VOCAB-014,Anatomy,Respiratory,vocabulary,Pharynx,What is the medical term for the throat which serves as a passageway for both air and food?,Larynx,Pharynx,Trachea,Esophagus,B,The pharynx or throat is a muscular tube that extends from the base of the skull to the esophagus. It serves as a common passageway for both air traveling to the trachea and food traveling to the esophagus. It is divided into the nasopharynx oropharynx and laryngopharynx.
EMR-VOCAB-015,Anatomy,Respiratory,vocabulary,Larynx,What structure contains the vocal cords and is commonly called the voice box?,Pharynx,Larynx,Trachea,Epiglottis,B,The larynx or voice box is located between the pharynx and trachea. It contains the vocal cords which vibrate to produce sound when air passes over them. The larynx also helps protect the lower airway by closing during swallowing to prevent aspiration.
EMR-VOCAB-016,Anatomy,Respiratory,vocabulary,Epiglottis,What leaf-shaped structure covers the opening of the larynx during swallowing to prevent food from entering the airway?,Uvula,Epiglottis,Glottis,Thyroid cartilage,B,The epiglottis is a leaf-shaped flap of cartilage that covers the glottis the opening of the larynx during swallowing. This action prevents food and liquids from entering the trachea and lungs. When not swallowing the epiglottis remains upright allowing air to pass freely.
EMR-VOCAB-017,Anatomy,Respiratory,vocabulary,Pleura,What is the term for the double-layered membrane that surrounds each lung and lines the chest cavity?,Pericardium,Peritoneum,Pleura,Meninges,C,The pleura is a double-layered serous membrane. The visceral pleura covers the lung surface and the parietal pleura lines the chest wall. Between them is a thin layer of fluid that allows the lungs to slide smoothly during breathing and creates surface tension that keeps the lungs expanded.
EMR-VOCAB-018,Anatomy,Nervous System,vocabulary,Cerebrum,What is the largest part of the brain responsible for conscious thought memory and voluntary movement?,Cerebellum,Cerebrum,Brain stem,Medulla,B,The cerebrum is the largest part of the brain comprising about 85% of total brain weight. It is divided into left and right hemispheres and is responsible for higher functions including conscious thought reasoning memory language and voluntary muscle control.
EMR-VOCAB-019,Anatomy,Nervous System,vocabulary,Cerebellum,What part of the brain located at the back of the skull coordinates movement balance and posture?,Cerebrum,Cerebellum,Brain stem,Hypothalamus,B,The cerebellum is located at the posterior base of the brain below the cerebrum. It coordinates voluntary movements maintains balance and posture and helps with motor learning. Damage to the cerebellum results in problems with coordination and balance called ataxia.
EMR-VOCAB-020,Anatomy,Nervous System,vocabulary,Brain Stem,What part of the brain connects the cerebrum to the spinal cord and controls vital functions like breathing and heart rate?,Cerebellum,Cerebrum,Brain stem,Thalamus,C,The brain stem connects the brain to the spinal cord and contains the midbrain pons and medulla oblongata. It controls vital involuntary functions including breathing heart rate blood pressure and consciousness. The brain stem also serves as the pathway for nerve signals between the brain and body.
EMR-VOCAB-021,Anatomy,Nervous System,vocabulary,Spinal Cord,What structure extends from the brain stem through the vertebral column and carries nerve impulses between the brain and body?,Spinal cord,Spinal nerve,Vertebral column,Meninges,A,The spinal cord is a cylindrical bundle of nerve tissue extending from the brain stem to the lumbar region protected within the vertebral column. It carries motor signals from the brain to the body and sensory signals from the body to the brain. It also coordinates some reflexes independently.
EMR-VOCAB-022,Anatomy,Nervous System,vocabulary,Meninges,What are the three protective membranes that cover and protect the brain and spinal cord?,Meninges,Pleura,Peritoneum,Fascia,A,The meninges are three membranes that surround and protect the brain and spinal cord. From outermost to innermost they are the dura mater tough mother arachnoid mater spider-like and pia mater tender mother. Cerebrospinal fluid flows between the arachnoid and pia mater.
EMR-VOCAB-023,Anatomy,Nervous System,vocabulary,Cerebrospinal Fluid,What clear fluid surrounds and cushions the brain and spinal cord within the meninges?,Plasma,Cerebrospinal fluid,Synovial fluid,Lymph,B,Cerebrospinal fluid CSF is a clear colorless fluid that circulates around the brain and spinal cord within the subarachnoid space. It cushions and protects the central nervous system from trauma removes waste products and helps maintain a stable chemical environment for the brain.
EMR-VOCAB-024,Anatomy,Skeletal,vocabulary,Vertebrae,What are the individual bones of the spinal column that protect the spinal cord called?,Vertebrae,Discs,Ligaments,Tendons,A,Vertebrae are the 33 individual bones that make up the spinal column. They are divided into cervical 7 thoracic 12 lumbar 5 sacral 5 fused and coccygeal 4 fused regions. Each vertebra has a body arch and processes and together they protect the spinal cord while allowing flexibility.
EMR-VOCAB-025,Anatomy,Skeletal,vocabulary,Cervical Spine,What region of the spine is located in the neck and consists of seven vertebrae labeled C1-C7?,Thoracic spine,Lumbar spine,Cervical spine,Sacral spine,C,The cervical spine consists of the seven vertebrae in the neck region labeled C1-C7. C1 atlas supports the skull and C2 axis allows head rotation. The cervical spine is the most mobile region but also the most vulnerable to injury. Cervical spine injuries can result in paralysis or death.
EMR-VOCAB-026,Anatomy,Skeletal,vocabulary,Thoracic Spine,What region of the spine is located in the upper and middle back and has ribs attached to each vertebra?,Cervical spine,Thoracic spine,Lumbar spine,Sacral spine,B,The thoracic spine consists of 12 vertebrae labeled T1-T12 in the upper and middle back. Each thoracic vertebra articulates with a pair of ribs forming the rib cage that protects the heart and lungs. The thoracic spine is less mobile than the cervical or lumbar regions due to rib attachment.
EMR-VOCAB-027,Anatomy,Skeletal,vocabulary,Lumbar Spine,What region of the spine is located in the lower back consists of five large vertebrae and bears most of the body weight?,Cervical spine,Thoracic spine,Lumbar spine,Coccyx,C,The lumbar spine consists of five large vertebrae labeled L1-L5 in the lower back. These are the largest vertebrae because they bear most of the body's weight. The lumbar region allows significant flexion and extension and is a common site of back pain and injury.
EMR-VOCAB-028,Anatomy,Skeletal,vocabulary,Sternum,What is the flat bone in the center of the chest that the ribs attach to anteriorly?,Clavicle,Sternum,Scapula,Manubrium,B,The sternum or breastbone is a flat bone in the center of the anterior chest. It consists of three parts the manubrium body and xiphoid process. The sternum articulates with the clavicles and the costal cartilages of the first seven ribs. It protects the heart and serves as an attachment point for chest muscles.
EMR-VOCAB-029,Anatomy,Skeletal,vocabulary,Clavicle,What bone commonly called the collarbone connects the sternum to the scapula?,Humerus,Clavicle,Scapula,Radius,B,The clavicle or collarbone is a long bone that extends horizontally from the sternum to the scapula. It is the only bony connection between the upper extremity and the axial skeleton. The clavicle is commonly fractured especially from falls onto an outstretched hand or direct impact to the shoulder.
EMR-VOCAB-030,Anatomy,Skeletal,vocabulary,Scapula,What flat triangular bone on the posterior thorax is commonly called the shoulder blade?,Clavicle,Scapula,Humerus,Sternum,B,The scapula or shoulder blade is a flat triangular bone on the posterior chest wall. It articulates with the clavicle and humerus to form the shoulder joint. Multiple muscles attach to the scapula enabling complex shoulder and arm movements. It is rarely fractured due to protection by surrounding muscles.
EMR-VOCAB-031,Anatomy,Skeletal,vocabulary,Humerus,What is the name of the long bone in the upper arm that extends from the shoulder to the elbow?,Humerus,Radius,Ulna,Femur,A,The humerus is the single long bone of the upper arm extending from the shoulder joint to the elbow joint. It articulates with the scapula at the shoulder and with the radius and ulna at the elbow. Fractures of the humerus can damage the brachial artery or radial nerve.
EMR-VOCAB-032,Anatomy,Skeletal,vocabulary,Radius,What forearm bone is located on the thumb side and rotates around the ulna during pronation and supination?,Radius,Ulna,Humerus,Carpals,A,The radius is the lateral forearm bone located on the thumb side. It is shorter than the ulna but wider at the wrist where it forms most of the wrist joint. The radius rotates around the ulna allowing the palm to turn up supination or down pronation. Distal radius fractures are very common.
EMR-VOCAB-033,Anatomy,Skeletal,vocabulary,Ulna,What forearm bone is located on the pinky side and forms the point of the elbow?,Radius,Ulna,Humerus,Carpals,B,The ulna is the medial forearm bone located on the pinky side. It is longer than the radius and forms the point of the elbow called the olecranon. The ulna is the primary bone of the elbow joint while the radius is the primary bone of the wrist joint.
EMR-VOCAB-034,Anatomy,Skeletal,vocabulary,Femur,What is the name of the longest and strongest bone in the body located in the thigh?,Tibia,Fibula,Femur,Humerus,C,The femur or thighbone is the longest strongest and heaviest bone in the human body. It extends from the hip to the knee and supports the body's weight during standing and walking. Femur fractures typically require significant force and can cause severe bleeding into the thigh.
EMR-VOCAB-035,Anatomy,Skeletal,vocabulary,Tibia,What lower leg bone commonly called the shinbone bears most of the body weight and is located medially?,Tibia,Fibula,Femur,Patella,A,The tibia or shinbone is the larger medial bone of the lower leg. It bears most of the body's weight transmitted from the femur and forms part of the knee and ankle joints. The anterior surface is subcutaneous and vulnerable to direct trauma. Tibial fractures are common in motor vehicle and sports injuries.
EMR-VOCAB-036,Anatomy,Skeletal,vocabulary,Fibula,What is the thin lateral bone of the lower leg that does not bear weight but provides muscle attachment?,Tibia,Fibula,Patella,Talus,B,The fibula is the thin lateral bone of the lower leg. Unlike the tibia it does not bear body weight but provides attachment for muscles and helps stabilize the ankle joint. The lateral malleolus the bony bump on the outside of the ankle is the distal end of the fibula.
EMR-VOCAB-037,Anatomy,Skeletal,vocabulary,Patella,What is the small triangular bone embedded in the tendon of the quadriceps muscle that protects the knee joint?,Patella,Meniscus,Tibia,Fibula,A,The patella or kneecap is a sesamoid bone embedded within the quadriceps tendon. It protects the knee joint and improves the mechanical advantage of the quadriceps muscle during knee extension. Patellar fractures and dislocations are common injuries especially from direct trauma or sudden muscle contraction.
EMR-VOCAB-038,Anatomy,Skeletal,vocabulary,Pelvis,What bony structure forms the base of the trunk connects the spine to the lower extremities and protects pelvic organs?,Pelvis,Sacrum,Coccyx,Ilium,A,The pelvis is a ring-shaped bony structure formed by the two hip bones sacrum and coccyx. It supports the weight of the upper body transfers it to the lower extremities protects the pelvic organs and provides attachment for leg and trunk muscles. Pelvic fractures can cause severe internal bleeding.
EMR-VOCAB-039,Anatomy,Skeletal,vocabulary,Cranium,What is the term for the bones of the skull that surround and protect the brain?,Cranium,Mandible,Maxilla,Facial bones,A,The cranium is the portion of the skull that encloses and protects the brain. It consists of eight bones including the frontal parietal temporal and occipital bones that are joined by sutures. In infants these bones are not fully fused leaving soft spots called fontanelles.
EMR-VOCAB-040,Anatomy,Skeletal,vocabulary,Mandible,What is the only movable bone of the skull that forms the lower jaw?,Maxilla,Mandible,Zygomatic,Temporal,B,The mandible or lower jaw is the only movable bone of the skull. It articulates with the temporal bone at the temporomandibular joint TMJ and contains the lower teeth. The mandible is important for chewing speaking and maintaining airway patency. Mandible fractures can compromise the airway.
EMR-VOCAB-041,Anatomy,Muscular,vocabulary,Skeletal Muscle,What type of muscle is attached to bones is under voluntary control and produces movement?,Skeletal muscle,Smooth muscle,Cardiac muscle,Visceral muscle,A,Skeletal muscle is attached to bones by tendons and is responsible for voluntary movement. It is striated in appearance under microscope and is controlled consciously. Skeletal muscle comprises about 40% of body weight. Examples include the biceps quadriceps and diaphragm.
EMR-VOCAB-042,Anatomy,Muscular,vocabulary,Cardiac Muscle,What type of muscle is found only in the heart contracts involuntarily and has its own electrical conduction system?,Skeletal muscle,Smooth muscle,Cardiac muscle,Striated muscle,C,Cardiac muscle is found only in the heart and contracts involuntarily to pump blood. It is striated like skeletal muscle but cannot be consciously controlled. Cardiac muscle has its own electrical conduction system that generates and coordinates contractions. It requires constant oxygen supply and cannot regenerate if damaged.
EMR-VOCAB-043,Anatomy,Muscular,vocabulary,Smooth Muscle,What type of involuntary muscle is found in the walls of hollow organs and blood vessels?,Skeletal muscle,Smooth muscle,Cardiac muscle,Voluntary muscle,B,Smooth muscle is involuntary muscle found in the walls of hollow organs such as the stomach intestines bladder and blood vessels. It is not striated and contracts slowly but can sustain contraction for long periods. Smooth muscle controls functions like digestion blood vessel diameter and airway size.
EMR-VOCAB-044,Anatomy,Muscular,vocabulary,Tendon,What tough fibrous connective tissue connects muscle to bone?,Ligament,Tendon,Cartilage,Fascia,B,A tendon is a tough band of fibrous connective tissue that connects muscle to bone. Tendons transmit the force of muscle contraction to bones to produce movement. Common tendons include the Achilles tendon patellar tendon and rotator cuff tendons. Tendons can be injured through overuse or acute trauma.
EMR-VOCAB-045,Anatomy,Muscular,vocabulary,Ligament,What tough fibrous connective tissue connects bone to bone and provides joint stability?,Tendon,Ligament,Cartilage,Fascia,B,A ligament is a tough band of fibrous connective tissue that connects bone to bone providing stability to joints. Ligaments limit excessive joint movement and prevent dislocation. Common ligaments include the anterior cruciate ligament ACL in the knee and the lateral ankle ligaments. Ligament injuries are called sprains.
EMR-VOCAB-046,Anatomy,Integumentary,vocabulary,Epidermis,What is the outermost layer of the skin that provides a waterproof protective barrier?,Epidermis,Dermis,Subcutaneous,Fascia,A,The epidermis is the outermost layer of the skin. It is composed of stratified squamous epithelium and contains no blood vessels receiving nutrients by diffusion from the dermis. The epidermis provides a waterproof barrier protects against pathogens and produces melanin for UV protection.
EMR-VOCAB-047,Anatomy,Integumentary,vocabulary,Dermis,What layer of the skin lies beneath the epidermis and contains blood vessels nerves hair follicles and sweat glands?,Epidermis,Dermis,Subcutaneous,Hypodermis,B,The dermis is the layer of skin beneath the epidermis. It is composed of connective tissue and contains blood vessels lymphatic vessels nerve endings hair follicles sweat glands and sebaceous glands. The dermis provides strength elasticity and sensation to the skin.
EMR-VOCAB-048,Anatomy,Integumentary,vocabulary,Subcutaneous,What layer lies beneath the dermis contains fat tissue for insulation and energy storage and anchors the skin to underlying structures?,Epidermis,Dermis,Subcutaneous,Fascia,C,The subcutaneous layer or hypodermis lies beneath the dermis. It consists primarily of adipose fat tissue that provides insulation energy storage and cushioning. It also contains larger blood vessels and nerves and anchors the skin to underlying muscle and bone.
EMR-VOCAB-049,Anatomy,Digestive,vocabulary,Esophagus,What muscular tube carries food from the pharynx to the stomach through peristalsis?,Trachea,Esophagus,Pharynx,Larynx,B,The esophagus is a muscular tube approximately 10 inches long that connects the pharynx to the stomach. It passes through the thorax behind the trachea and heart. Food moves through the esophagus by peristalsis which is coordinated wave-like muscle contractions.
EMR-VOCAB-050,Anatomy,Digestive,vocabulary,Peritoneum,What is the membrane that lines the abdominal cavity and covers the abdominal organs?,Pleura,Pericardium,Peritoneum,Meninges,C,The peritoneum is a serous membrane that lines the abdominal cavity parietal peritoneum and covers most abdominal organs visceral peritoneum. The potential space between these layers contains a small amount of lubricating fluid. Inflammation of the peritoneum called peritonitis is a serious condition often resulting from organ perforation.
