emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-209,Medical,Allergic Reaction,scenario,The anaphylaxis patient has her prescribed EpiPen. She is too distressed to use it herself. How do you assist with administration?,Inject into the buttock slowly,Remove safety cap press the orange tip firmly against her outer thigh until you hear a click and hold for 10 seconds. Can be given through light clothing. Massage the area afterward. Monitor for ongoing symptoms,Inject into her arm muscle,Have her swallow the medication,B,EpiPen is administered by firmly pressing into the outer thigh activating the spring-loaded needle. Hold 10 seconds for complete delivery. Can go through light clothing. The thigh has good blood flow for rapid absorption. Massage site to speed distribution.
EMR-SCEN-210,Medical,Allergic Reaction,scenario,Five minutes after receiving epinephrine the patient's breathing has improved significantly and hives are fading. She wants to go back to dinner and not go to the hospital. What should you advise?,She is cured and can resume her evening,Strongly advise transport. Anaphylaxis can recur as epinephrine wears off in 15-20 minutes called biphasic reaction. She needs monitoring and may need additional treatment. Going back to the allergen source is dangerous,One dose of epinephrine provides permanent protection,She only needs to take Benadryl now,B,Epinephrine effects last only 15-20 minutes. Biphasic anaphylaxis where symptoms return is common and can be severe. All anaphylaxis patients should be transported for monitoring and additional treatment. Returning to the allergen source would be dangerous.
EMR-SCEN-211,Medical,Allergic Reaction,scenario,A patient was stung by a bee and has localized swelling and redness at the sting site. He has no difficulty breathing no hives beyond the sting area and normal vital signs. Is this anaphylaxis?,Yes any bee sting reaction is anaphylaxis,No this is a localized reaction not anaphylaxis. Local swelling redness and pain at the sting site are normal. Anaphylaxis involves systemic symptoms in multiple body systems. Monitor for progression but this appears to be a local reaction,He needs epinephrine immediately,All bee stings are fatal,B,Local reactions at the sting site with swelling redness and pain are common and not anaphylaxis. Anaphylaxis involves systemic symptoms affecting multiple body systems such as respiratory cardiovascular or GI. Monitor this patient for progression but current presentation is localized.
EMR-SCEN-212,Medical,Poisoning,scenario,Parents call 911 because their 3-year-old got into grandmother's medication and may have swallowed some pills. The child is currently alert and playful with no symptoms. What should you do?,No symptoms means no poisoning occurred,Transport for evaluation. Many toxic ingestions have delayed symptoms. The child appears fine now but could deteriorate. Bring the medication bottle to identify what was taken. Contact Poison Control for guidance on expected symptoms and timing,Make the child vomit to remove the pills,Give activated charcoal immediately,B,Delayed symptom onset is common with many medications. A currently asymptomatic child may become critically ill. Transport for evaluation with the medication bottle for identification. Poison Control can provide guidance on expected toxicity and timing.
EMR-SCEN-213,Medical,Poisoning,scenario,A family is found unconscious in their home during winter. A kerosene heater is running. You notice the scene is warm but something seems wrong. What should you suspect and do?,They are just sleeping heavily,Suspect carbon monoxide poisoning. Remove everyone from the environment immediately to fresh air. Do not enter without proper protection if CO levels may be high. Give high-flow oxygen to all patients. CO is odorless and can be lethal,The heater is providing too much heat,They have the flu,B,Multiple unconscious people in a closed environment with a combustion heat source suggests CO poisoning. CO is odorless and can be lethal. Remove to fresh air give high-flow oxygen and transport. All patients need CO level measurement at hospital.
EMR-SCEN-214,Medical,Poisoning,scenario,A carbon monoxide poisoning patient has SpO2 reading 99% but is confused and has cherry-red skin. How do you explain the normal oxygen saturation?,The pulse oximeter proves he is fine,Pulse oximetry cannot distinguish between hemoglobin bound to oxygen versus carbon monoxide. The SpO2 reads falsely normal or high. Cherry-red skin and altered mental status indicate significant CO poisoning despite the normal reading. Give 100% oxygen,CO poisoning does not affect SpO2,He just has a sunburn,B,Standard pulse oximetry cannot differentiate carboxyhemoglobin from oxyhemoglobin. CO-poisoned patients have falsely normal SpO2 readings. Clinical signs like altered mental status cherry-red coloring headache and nausea indicate poisoning. Do not rely on SpO2 in suspected CO cases.
EMR-SCEN-215,Medical,Overdose,scenario,You find a 22-year-old unresponsive in a bathroom with drug paraphernalia nearby. His respirations are 4 per minute and shallow. Pupils are pinpoint. He has a weak pulse. What is happening and what should you do?,He is sleeping off his drug use,This is opioid overdose with life-threatening respiratory depression. Begin assisted ventilations with BVM immediately. Administer naloxone if available per protocol. Pinpoint pupils slow respirations and decreased consciousness are classic opioid overdose,He is in cardiac arrest start CPR,Give him stimulants to wake him up,B,Pinpoint pupils respiratory depression and decreased consciousness after drug use is classic opioid overdose. He has a pulse so does not need CPR but needs assisted ventilation immediately. Naloxone can reverse the opioid effects but ventilatory support is the priority.
EMR-SCEN-216,Medical,Overdose,scenario,After giving naloxone the overdose patient suddenly wakes up becomes agitated and wants to leave. He is verbally abusive and trying to pull out his IV. How should you handle this?,Restrain him and force him to go to the hospital,Remain calm and non-confrontational. Explain what happened and that he needs monitoring because naloxone can wear off and he could become unresponsive again. Try to convince him to be transported. If he refuses document capacity and refusal,Give more naloxone to calm him down,Leave since he is awake now,B,Patients awakened by naloxone often become agitated as they are suddenly in withdrawal. Remain calm and explain the situation including risk of re-sedation when naloxone wears off. Encourage transport. If he refuses and appears to have capacity document the informed refusal thoroughly.
EMR-SCEN-217,Medical,Alcohol,scenario,Police ask you to evaluate an intoxicated man found wandering the street. He smells strongly of alcohol is confused has slurred speech and unsteady gait. He has a small laceration on his forehead. Can you assume his symptoms are from alcohol?,Yes alcohol explains all his symptoms,No. Many conditions mimic intoxication including hypoglycemia head injury stroke and overdose. The forehead laceration suggests trauma and possible head injury. Do not assume alcohol is the only cause. Full assessment and transport for evaluation are warranted,Intoxicated patients do not need medical care,Only treat the laceration,B,Never assume all symptoms are from alcohol intoxication. The forehead laceration raises concern for head injury. Hypoglycemia stroke and drug interactions can mimic or coexist with intoxication. This patient needs full assessment and transport for evaluation.
EMR-SCEN-218,Medical,Behavioral,scenario,A woman is found on a bridge railing saying she wants to jump. Police have secured the scene. She is crying and says she does not want to live anymore. How should you approach this?,Tell her she is being selfish and to come down,Approach calmly and non-threateningly. Speak in a calm reassuring voice. Listen actively and acknowledge her pain without judgment. Do not make promises you cannot keep. Try to establish rapport and encourage her to come to safety. Never rush or grab,Stay far away and let police handle it,Tell her things are not that bad,B,Suicidal patients need calm non-judgmental approach. Listen actively and acknowledge their pain. Build rapport before trying to convince them to come to safety. Avoid arguing minimizing their feelings or making sudden moves. This requires patience and genuine compassion.
EMR-SCEN-219,Medical,Behavioral,scenario,An agitated patient is pacing yelling and making threatening statements. He has not become physical yet. Your safety is your priority. How should you position yourself?,Stand directly in front of him to show you are not afraid,Position yourself near an exit with a clear escape route. Maintain safe distance. Keep hands visible and posture non-threatening. Speak calmly and avoid arguing. Do not turn your back. Request law enforcement if not already present,Corner him so he cannot escape,Get close to establish rapport,B,Provider safety is paramount. Position near exits with escape route. Maintain safe distance and non-threatening posture. Speak calmly and avoid confrontation. Never turn your back on an agitated patient. Request law enforcement for safety. You cannot help if you become a victim.
EMR-SCEN-220,Medical,Abdominal,scenario,A 35-year-old woman has severe right lower quadrant abdominal pain. She has a fever of 101°F and has been nauseous. The pain is worse with movement. She rates it 8/10. What condition should you suspect?,Stomach flu,Possible appendicitis. Right lower quadrant pain with fever and nausea is classic for appendicitis. Worsening with movement suggests peritoneal irritation. She needs surgical evaluation. Do not give food or fluids as surgery may be needed,Menstrual cramps,Constipation,B,Right lower quadrant pain fever nausea and pain with movement are classic for appendicitis. The appendix is inflamed and may rupture causing peritonitis. This patient needs surgical evaluation. Keep NPO as surgery may be imminent.
