emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-038,Assessment,Secondary Assessment,scenario,While examining a fall patient you note Battle sign bruising behind the ears and raccoon eyes periorbital bruising. There is also clear fluid draining from his nose. What do these signs indicate?,He hit his face during the fall,These are signs of basilar skull fracture. Battle sign and raccoon eyes indicate blood tracking from skull base fracture. Clear fluid from nose may be cerebrospinal fluid. Do not pack the nose or try to stop drainage,Allergies causing the bruising,Signs of alcohol intoxication,B,Battle sign raccoon eyes and CSF rhinorrhea are classic signs of basilar skull fracture. Do not attempt to stop CSF drainage or pack the nose. Maintain spinal precautions and transport to trauma center. This indicates significant head injury.
EMR-SCEN-039,Assessment,Secondary Assessment,scenario,A patient involved in a car crash complains of abdominal pain. You notice a linear bruise across his lower abdomen matching a seatbelt pattern. His abdomen is tender and slightly distended. What should you suspect?,Seatbelt rash that will heal on its own,Seatbelt sign indicates significant abdominal injury. The force that caused bruising may have damaged internal organs. Suspect internal bleeding and hollow organ injury. Monitor for shock and transport,He just has stomach cramps from stress,This only happens with lap belts not shoulder belts,B,Seatbelt sign is a bruise pattern from restraint during rapid deceleration. It indicates significant force was applied and internal injuries are likely including solid organ injury bowel injury and lumbar spine fracture. Monitor for shock.
EMR-SCEN-040,Assessment,Vital Signs,scenario,You are assessing an anxious 17-year-old female who feels dizzy. HR 105 RR 24 BP 118/76 SpO2 99%. She complains of tingling in her hands and around her mouth. She has been upset about a breakup. What is likely occurring?,She is having a heart attack,Likely hyperventilation syndrome from anxiety. Rapid breathing causes respiratory alkalosis leading to tingling in extremities and around mouth. Coach slow breathing and provide reassurance,She needs emergency oxygen,These are normal vital signs,B,Hyperventilation from anxiety causes excessive CO2 elimination leading to respiratory alkalosis. This causes perioral and hand tingling. Coaching slow breathing and reassurance usually resolves symptoms. Rule out other causes but pattern suggests hyperventilation.
EMR-SCEN-041,Assessment,Vital Signs,scenario,A diabetic patient is found confused and combative. His skin is pale cool and sweaty. His blood glucose reads 38 mg/dL. What should you do?,Restrain him and transport,This is hypoglycemia. If he can swallow safely give oral glucose. If not protect him from injury stay calm and transport. Speak in reassuring tones as combativeness is from low blood sugar not intent,He is drunk and combative,Call law enforcement for the combative patient,B,Blood glucose of 38 with altered mental status is hypoglycemia. Combativeness is a symptom not intentional behavior. If patient can follow commands and swallow give oral glucose. If too altered to swallow safely protect from injury and transport rapidly.
EMR-SCEN-042,Assessment,Vital Signs,scenario,You respond to an unwitnessed cardiac arrest. After attaching the AED it analyzes and states No shock advised. The patient has no pulse. What does this mean and what should you do?,The patient is not in cardiac arrest,No shock advised means the rhythm is not shockable such as asystole or PEA. The patient is still in cardiac arrest. Continue CPR and follow AED prompts. Not all cardiac arrests have shockable rhythms,Stop resuscitation since shocking will not help,The AED is malfunctioning,B,No shock advised means the rhythm is asystole or PEA which are non-shockable. The patient still needs CPR. Continue high-quality CPR and follow AED prompts. Only VF and pulseless VT are shockable rhythms.
EMR-SCEN-043,Assessment,Reassessment,scenario,You are treating a patient with chest pain. You gave him aspirin and he is on oxygen. Initially his pain was 8/10 and now he reports it is 5/10. Vital signs are stable. What does this reassessment tell you?,The aspirin cured his heart attack,The patient is improving with treatment. Continue current care and monitoring. Pain reduction is positive but does not rule out cardiac event. Continue transport for definitive evaluation,He does not need to go to the hospital now,He was exaggerating the initial pain,B,Pain reduction from 8/10 to 5/10 indicates positive response to treatment. However improvement does not rule out serious cardiac condition. Continue care and transport for definitive evaluation including ECG and cardiac markers.
EMR-SCEN-044,Assessment,Reassessment,scenario,You are ventilating an apneic patient with BVM. SpO2 has improved from 78% to 94%. However you notice his abdomen is becoming distended. What is happening?,Ventilation is perfect,Gastric insufflation from air entering the stomach. The distended abdomen can impair ventilation and increase aspiration risk. Slow your rate use less volume and ensure proper head position. Give just enough volume to see chest rise,Abdominal distension is unrelated,Ventilate faster to improve oxygen more,B,Gastric insufflation occurs when air enters the stomach from excessive volume rate or poor airway positioning. Correct by ensuring proper position using appropriate volumes watching for chest rise and avoiding excessive rate.
EMR-SCEN-045,Assessment,Pediatric Assessment,scenario,You assess a 2-year-old who is ill. From across the room you see he is sitting in mom's lap awake but not interested in you. His breathing appears fast with some nasal flaring. His skin looks pale. Using the Pediatric Assessment Triangle what is your initial impression?,This is normal for a sick child,Abnormal appearance not interacting. Work of breathing is increased nasal flaring tachypnea. Circulation appears impaired pallor. This child is sick and needs prompt assessment and likely oxygen,The child is fine because he is awake,PAT cannot be used on toddlers,B,The PAT provides rapid across-the-room assessment. Appearance shows he is not interactive or playful. Breathing shows increased work. Circulation shows poor skin color. All three arms are abnormal indicating a sick child needing prompt intervention.
EMR-SCEN-046,Assessment,Geriatric Assessment,scenario,An 82-year-old nursing home resident fell. She denies pain and her vital signs are normal but staff say she has been more confused today. She is on warfarin for atrial fibrillation. Why is this concerning?,Confusion is normal in elderly patients,Elderly patients on anticoagulants are at high risk for intracranial bleeding even from minor falls. Confusion may be the only sign of brain injury. Her normal vitals and pain denial do not rule out serious injury,If she denies pain she is fine,Warfarin does not affect bleeding,B,Anticoagulated elderly patients are at high risk for intracranial hemorrhage. Confusion may be the only symptom of brain bleed. Minor mechanisms can cause serious injuries. Maintain high suspicion and transport for evaluation even with normal vitals.
EMR-SCEN-047,Assessment,Documentation,scenario,You treated a patient who refused transport. She signed a refusal form. Later you realize you forgot to document that you told her the risks of not going to the hospital. What should you do?,Do not worry about it since she signed the form,Add a late entry to your documentation noting the time of the addendum and documenting that risks were explained. Thorough documentation of refusal conversations is essential for legal protection,Change the original document to add this information,Call the patient and document the phone call,B,Late entries are appropriate for adding omitted information. Document the date and time of the addition and note it is a late entry. Refusal documentation must include that risks were explained and the patient understood them. This protects both patient and provider.
EMR-SCEN-048,Assessment,Mass Casualty,scenario,You arrive at a bus crash with approximately 15 patients. You are the first medical responder on scene. What is your first priority?,Begin treating the most seriously injured patient,Perform rapid triage to identify patients by severity using START or similar system. Request additional resources. In mass casualty incidents triage and resource management save more lives than treating individuals,Transport the first patient you reach,Wait for more ambulances before assessing anyone,B,In mass casualty incidents individual patient care is less efficient than rapid triage. Assess all patients quickly to categorize by severity. Request additional resources early. Triage systems like START help identify who needs immediate care versus who can wait.
EMR-SCEN-049,Assessment,Environmental Assessment,scenario,You respond to a possible drowning at a lake. Bystanders pulled an unresponsive teenager from the water. He has a weak pulse and is breathing 8 times per minute with gurgling. Water temperature was cold. What are your priorities?,He has a pulse so just keep him warm,Suction the airway then assist ventilations with BVM. Consider spinal precautions if diving or mechanism unknown. Remove wet clothing and prevent further heat loss. The slow breathing needs ventilatory support,He is breathing so just give oxygen by mask,He will be fine once he warms up,B,Drowning patients often aspirate water. Gurgling requires suctioning. Respiratory rate of 8 is inadequate requiring assisted ventilation. Unknown mechanism may involve spine injury. Prevent hypothermia by removing wet clothes and covering. This is a critical patient.
EMR-SCEN-050,Assessment,Environmental Assessment,scenario,On a hot summer day you find a 78-year-old woman confused in a poorly ventilated apartment. Her skin is hot and dry. She is tachycardic with BP 90/60. Neighbors say her air conditioner broke yesterday. What is happening?,She has a fever from infection,This is heat stroke. Elderly are at high risk especially without air conditioning. Hot dry skin indicates failed thermoregulation. Immediate active cooling is priority. Move to cool environment apply cool water and fan transport urgently,She is just dehydrated,Elderly people are always confused,B,Heat stroke in elderly can develop rapidly especially without climate control. Hot dry skin indicates sweating has failed. This is a medical emergency requiring immediate cooling. Apply cool water fan rapidly remove excess clothing and transport urgently.
