emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-281,Special Populations,Special Patients,scenario,You respond to a patient with Down syndrome who has abdominal pain. His caregiver says he cannot always communicate his symptoms well. How should you approach assessment?,Talk only to the caregiver since patient cannot communicate,Address the patient directly first. Use simple language and allow extra time for responses. The caregiver can provide additional information about baseline status and changes. Do not assume the patient cannot understand or participate in their care,Assume his symptoms are not real,Use the same approach as any other patient without modification,B,Patients with developmental disabilities deserve direct respectful communication. Use simple clear language. Allow extra time. Caregivers provide valuable baseline information. Do not dismiss symptoms because communication is challenging. Adapt your approach while maintaining respect.
EMR-SCEN-282,Special Populations,Special Patients,scenario,A deaf patient is having chest pain. She uses sign language but you do not know any signs. How can you communicate effectively?,Write notes and use gestures. Show her equipment before using it. Use a medical translation app if available. Maintain eye contact when speaking for lip reading. Ensure she understands critical information through written confirmation,Just talk normally she can probably hear some,You cannot help her due to the language barrier,Only talk to family members present,A,Written communication gestures and apps help bridge language barriers. Face the patient when speaking. Confirm understanding of critical information in writing. Basic universal gestures can convey pain scales and other assessments.
EMR-SCEN-283,Special Populations,Special Patients,scenario,A 400-pound patient needs to be transported for respiratory distress. Your standard stretcher has a 500-pound weight limit. What considerations are important?,Load him quickly before the stretcher breaks,Verify weight limits. Request additional personnel for safe lifting and moving. Use proper body mechanics. Ensure ambulance can accommodate size. A bariatric stretcher may be needed if weight exceeds limits. Patient safety and crew safety are both priorities,Standard equipment works for all patients,Refuse to transport due to weight,B,Bariatric patients require additional planning. Verify equipment weight limits request adequate personnel for safe lifting and ensure vehicle can accommodate the patient. Crew injuries from improper lifting are common. Both patient and provider safety matter.
EMR-SCEN-284,Special Populations,Special Patients,scenario,You respond to a patient with a tracheostomy who is in respiratory distress. You hear gurgling from the tracheostomy and she cannot clear it by coughing. What should you do?,Provide oxygen by face mask,Suction the tracheostomy to clear secretions. Mucus plugging is common in tracheostomy patients. Use a suction catheter through the stoma. If she has a speaking valve or cap that may need removal. After suctioning provide oxygen through the stoma,Tell her to cough harder,Cover the stoma and ventilate by mouth,B,Tracheostomy patients cannot clear secretions normally. Suction through the stoma to clear mucus plugging. Remove any speaking valves or caps that might obstruct airflow. Provide oxygen and ventilation through the stoma not the mouth and nose.
EMR-SCEN-285,Special Populations,Special Patients,scenario,A home ventilator patient is in distress because his ventilator alarmed and stopped working. He is awake and anxious but still breathing some on his own. His mother is panicked. What should you do first?,Try to fix the ventilator,Disconnect from the malfunctioning ventilator and begin manual ventilation with BVM while assessing the patient. Address the immediate respiratory needs first then troubleshoot or arrange backup. Calm reassurance helps reduce anxiety and oxygen demand,Wait for a respiratory therapist,Call the ventilator company for phone support,B,When a ventilator fails address breathing first. Disconnect and provide manual ventilation with BVM. Assess the patient's condition. The machine problem is secondary to ensuring adequate ventilation. Transport with continued BVM support.
EMR-SCEN-286,Special Populations,Special Patients,scenario,A hospice patient with terminal cancer is in severe pain and respiratory distress. She has a DNR order. Her family called 911 because they did not know what else to do. What care can you provide?,You cannot help hospice patients,Provide comfort care and symptom management. DNR does not mean no treatment. Position for comfort provide oxygen for dyspnea and support the family. Contact hospice if possible. You can still provide significant help even with DNR status,Just leave since she has a DNR,Ignore the DNR and resuscitate if needed,B,DNR means no CPR but comfort care is appropriate. Position for comfort provide oxygen for respiratory distress and support the family. Contact hospice for guidance. Hospice patients still benefit from symptom management and compassionate care.
EMR-SCEN-287,Special Populations,Mental Health,scenario,A 17-year-old female was found by her mother with superficial cuts on her wrists. She says she does not want to live anymore. She is calm now and says she is fine and will not do it again. Her mother wants her to go to the hospital. Can she refuse?,No. She needs emergency psychiatric evaluation. Suicidal statements and self-harm require assessment regardless of current calm appearance. A minor making suicidal statements cannot refuse emergency evaluation. Transport for psychiatric assessment,Yes if she feels fine now she can stay home,Only if the cuts do not need stitches,Wait to see if she does it again,A,A suicidal minor cannot refuse emergency psychiatric evaluation. Self-harm with suicidal statements requires assessment regardless of current appearance. Transport for psychiatric evaluation. Remove access to means of harm during transport.
EMR-SCEN-288,Special Populations,Mental Health,scenario,You respond to an agitated patient who is yelling and pacing. He believes people are trying to kill him and is paranoid of you. He has no weapons visible. How should you approach this situation?,Rush in and restrain him before he hurts someone,Maintain safe distance and keep exit route clear. Speak calmly and non-threateningly. Do not argue with his delusions but do not agree with them either. Try to establish rapport. Have law enforcement present. Only restrain if necessary for safety,Tell him his beliefs are not real,Leave since he is too dangerous,B,Safety first with agitated patients. Maintain distance and escape route. Calm non-confrontational approach works best. Do not argue with or reinforce delusions. Build rapport. Physical restraint is last resort after verbal de-escalation fails.
EMR-SCEN-289,Special Populations,Mental Health,scenario,A patient who attempted suicide by overdose vomited and now appears stable. He says he changed his mind and does not want to go to the hospital. He is 35 years old and alert. Can he refuse transport?,Yes alert adults can refuse any treatment,No. A patient who just attempted suicide lacks capacity to refuse emergency care regardless of current mental status. Suicidal patients need psychiatric evaluation. The attempt demonstrates impaired judgment. Transport for both medical and psychiatric evaluation,Only if a family member agrees to watch him,Yes but get a refusal signature first,B,Patients who have just attempted suicide cannot be considered to have decision-making capacity for refusing care. The suicide attempt itself demonstrates impaired judgment. Transport for medical clearance and psychiatric evaluation is necessary.
EMR-SCEN-290,Special Populations,Cultural Considerations,scenario,A patient from a culture you are unfamiliar with refuses to let you a male EMR examine his wife. He is not being rude but seems genuinely concerned about modesty. What is the best approach?,Insist on examining her because it is a medical emergency,Ask if a female provider can perform the examination. If her condition permits respect cultural preferences while ensuring necessary care is provided. Explain what needs to be done and why. Find ways to maintain modesty while providing care,Document refusal and leave,Ignore his concerns and proceed,B,Cultural sensitivity improves patient cooperation and outcomes. If possible accommodate preferences such as same-gender providers. Explain medical necessity clearly. Find compromises that provide care while respecting cultural values. Emergency care takes priority but accommodation when possible builds trust.
EMR-SCEN-291,Special Populations,Cultural Considerations,scenario,A patient who speaks only Spanish is having chest pain. No interpreter is available. How can you assess and communicate?,You cannot provide care without an interpreter,Use simple words gestures and pointing to communicate. Translation apps can help with basic communication. Point to body areas asking about pain. Use OPQRST with gestures. Non-verbal assessment vital signs pulse oximetry provides objective data. Family may help interpret,Wait for someone who speaks Spanish,Document language barrier and provide no care,B,Language barriers require creative communication. Gestures pointing and translation apps help. Non-verbal assessment provides important information. Family can assist but may not interpret medical terms accurately. Never refuse care due to language barriers.
EMR-SCEN-292,Special Populations,Homeless Patients,scenario,You respond to a homeless man with an infected wound on his leg. He has not been able to keep it clean. He is reluctant to go to the hospital because of past negative experiences with healthcare. How do you encourage him?,Tell him he will lose his leg if he does not go,Listen to his concerns without judgment. Explain the medical situation clearly and what will happen at the hospital. Acknowledge past negative experiences while emphasizing the importance of treatment. Treat him with dignity and respect,Force him to go for his own good,He is making his own choice so leave,B,Building trust through respectful non-judgmental communication is key. Acknowledge concerns listen to past experiences and explain medical needs clearly. Homeless patients often have valid reasons for healthcare reluctance. Dignity and respect improve willingness to accept care.
EMR-SCEN-293,Special Populations,Technology Dependent,scenario,A 10-year-old with a ventriculoperitoneal VP shunt has severe headache vomiting and lethargy. His parents say his shunt sometimes malfunctions. What should you suspect and do?,Give him medication for headache,Suspect VP shunt malfunction causing increased intracranial pressure. Symptoms of headache vomiting and lethargy indicate the shunt may be blocked and CSF is not draining properly. Transport for evaluation. This can rapidly progress to herniation if not treated,This is just a migraine headache,VP shunts never malfunction,B,VP shunt malfunction causes CSF accumulation and increased ICP. Headache vomiting and lethargy are classic signs. This is a medical emergency as ICP can continue rising causing herniation. Transport for shunt evaluation and possible revision.
EMR-SCEN-294,Special Populations,Technology Dependent,scenario,A child with a gastrostomy feeding tube has it accidentally pulled out. The stoma is open but not bleeding significantly. Parents are concerned. What should you advise?,The stoma will close on its own. No emergency,Cover the stoma with clean gauze and transport for reinsertion. G-tube stomas can begin to close within hours. While not immediately life-threatening this needs timely reinsertion. Do not attempt to reinsert a tube yourself. Keep the site clean,Reinsert the tube yourself,Wait a day to see if it needs to be replaced,B,G-tube stomas can close within hours if the tube is not replaced. Cover with clean dressing to prevent contamination and transport for proper reinsertion. Do not attempt to reinsert as you may create a false passage.
EMR-SCEN-295,Special Populations,Summary,scenario,A 75-year-old woman with dementia is your patient. She cannot tell you what is wrong but her caregiver says she has been refusing to eat and is more confused than usual. Temperature is 99.8°F. Her caregiver knows her baseline and is concerned something is wrong. What is your assessment?,She is just having a bad day with her dementia,Take the caregiver's concerns seriously. Change from baseline increased confusion and refusing to eat in an elderly patient with low-grade fever suggests infection possibly UTI. Elderly often present atypically. Transport for evaluation,Dementia patients cannot provide useful information,Low-grade fever is not concerning,B,Caregivers know their patients baseline. Change from baseline is significant even without specific complaints. Elderly patients especially with dementia present atypically for infections. UTI commonly causes confusion without typical urinary symptoms. Evaluate based on change from normal.
