emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-431,Trauma,Extremity Vascular,scenario,After a knee dislocation you cannot feel a pulse in the foot and the foot is cool and pale. What does this indicate and what is the urgency?,Normal finding after dislocation,Vascular compromise requiring emergent intervention. Knee dislocations frequently injure the popliteal artery. Absent distal pulse with cool pale foot indicates arterial occlusion. This is a limb-threatening emergency. Splint in position found and transport immediately for vascular surgery,Wait to see if pulse returns,Elevate the leg and observe,B,Absent pulse after knee dislocation indicates popliteal artery injury until proven otherwise. This is a time-critical limb-threatening emergency. Prolonged ischemia leads to amputation. Splint as found and transport immediately for surgical revascularization.
EMR-SCEN-432,Trauma,Compartment Syndrome,scenario,Several hours after a tibial fracture was splinted the patient has severe pain out of proportion to the injury. Pain increases when you passively stretch his toes. The leg is tense and swollen. What complication is developing?,Normal post-fracture swelling,Compartment syndrome. Pressure building within the muscle compartments compromises circulation. Classic signs are pain out of proportion pain with passive stretch and tense swelling. Paresthesia and pulselessness are late signs. Loosen any constricting dressings and transport emergently for fasciotomy,The splint is too loose,Minor swelling,B,Compartment syndrome occurs when pressure in muscle compartments exceeds perfusion pressure. Pain with passive stretch is a key early finding. This is limb-threatening requiring emergent fasciotomy. Loosen constrictive dressings and transport immediately.
EMR-SCEN-433,Trauma,Crush Injury,scenario,A construction worker's legs were trapped under debris for 4 hours. He is alert and his legs appear viable. Rescue teams are about to free him. What potential complication should you anticipate upon release?,He will immediately improve,Crush syndrome. Prolonged compression causes muscle breakdown releasing myoglobin potassium and acids. Upon release these enter systemic circulation potentially causing cardiac arrhythmias renal failure and death. Hyperkalemia can cause sudden cardiac arrest. ALS and hospital should be notified of prolonged entrapment,Just splint and transport,No complications expected,B,Crush syndrome occurs when crushed muscle releases toxic contents upon reperfusion. Hyperkalemia can cause fatal arrhythmias. Myoglobin causes renal failure. This patient needs cardiac monitoring IV access and possibly pretreatment before release. Notify hospital early.
EMR-SCEN-434,Trauma,Amputation,scenario,A worker's hand was amputated by machinery. The amputated part is on the ground. How should you care for the amputated part for possible reimplantation?,Place directly on ice,Wrap in moist sterile gauze place in plastic bag then place bag on ice. Do not put the part directly on ice as freezing damages tissue. Do not immerse in water. Keep cool but not frozen. Transport with patient or arrange separate transport,Throw it away reimplantation is impossible,Leave it at the scene,B,Proper amputated part preservation: wrap in moist sterile dressing place in plastic bag place bag on ice. Avoid direct ice contact which causes frostbite damage. Do not soak in water. Proper cooling extends viability for possible reimplantation.
EMR-SCEN-435,Trauma,Burns Airway,scenario,A patient rescued from a house fire has singed nasal hairs carbonaceous sputum and a hoarse voice. He is currently breathing adequately with SpO2 of 94% on room air. Why is this patient high-risk despite current adequate breathing?,He will remain stable,Inhalation injury with impending airway compromise. Singed nasal hair carbonaceous sputum and hoarse voice indicate thermal and smoke injury to airways. Swelling can progress rapidly causing complete obstruction. Current stability is deceiving. Provide humidified oxygen monitor closely and prepare for deterioration,His airway is fine since he can talk,Only carbon monoxide concern,B,Signs of inhalation injury predict progressive airway swelling. Current adequate breathing may deteriorate rapidly to complete obstruction. These patients need close monitoring early intubation consideration and transport to burn center. Do not be falsely reassured by current status.
EMR-SCEN-436,Trauma,Chemical Burns,scenario,A patient got industrial acid in his eyes. He is in severe pain and cannot open his eyes. He says he can still see some light. What is the immediate priority and duration of treatment?,Bandage eyes and transport,Immediate copious irrigation for at least 20 minutes. Chemical burns to eyes are emergencies requiring immediate dilution. Irrigate from inner to outer corner. Pry eyelids open. Do not delay irrigation for anything. Continue during transport. Vision preservation depends on immediate prolonged irrigation,Apply neutralizing solution,Wait for hospital to irrigate,B,Chemical eye burns require immediate continuous irrigation. Do not delay to find neutralizers or transport. Use any available clean water or saline. Irrigate for minimum 20 minutes. Continue during transport. Hold lids open. This determines whether vision is saved.
EMR-SCEN-437,Trauma,Electrical Injury,scenario,A worker contacted a high-voltage power line. He was thrown clear and is now on the ground unresponsive. The power has been confirmed off. He has entrance and exit burn wounds. What unique considerations apply to electrical injuries?,Treat like regular burns only,High-voltage electrical injury causes internal damage far exceeding visible burns. Cardiac arrhythmias are common and can be delayed. Muscle damage causes rhabdomyolysis. Spinal injury from fall or tetanic contraction is possible. Apply spinal precautions monitor cardiac rhythm and anticipate complications,Only treat visible wounds,He will be fine if he is breathing,B,Electrical injuries cause internal damage along current pathway invisible externally. Cardiac arrhythmias fractures from falls or tetanic contractions and rhabdomyolysis are concerns. Apply spinal precautions cardiac monitoring and transport for comprehensive evaluation.
EMR-SCEN-438,Trauma,Pediatric Unique,scenario,A 4-year-old was struck by a car. She has a bruise on her forehead and abdominal tenderness but no extremity injuries. Why does pediatric anatomy make her particularly vulnerable to head and abdominal injury?,Children are more resistant to injury,Pediatric anatomy increases vulnerability. Children have proportionally larger heavier heads increasing head injury risk. Less subcutaneous fat and more pliable ribs provide less organ protection making solid organ injury more likely with less external evidence. Internal injuries occur without fractures,She is probably fine if she is awake,Only worry about visible injuries,B,Children have proportionally larger heads making head injury more likely. Their flexible ribs and less protective fat allow organ injury without overlying fractures. Do not be reassured by lack of external findings. Internal injury is common with minimal external signs.
EMR-SCEN-439,Trauma,Geriatric Unique,scenario,A 78-year-old on warfarin fell from standing and bumped her head on a cabinet. She has a small bump but feels fine and wants to refuse transport. Why should you be particularly concerned about this seemingly minor mechanism?,Ground-level falls are never serious,Elderly anticoagulated patients are extremely high-risk for intracranial hemorrhage even from minor head trauma. Warfarin prevents clotting allowing bleeds to expand. Symptoms may be delayed hours to days. Brain atrophy creates more space for blood to accumulate before symptoms appear,She is fine if she feels okay,Only worry about major trauma,B,This patient has multiple risk factors for delayed intracranial hemorrhage: elderly brain atrophy anticoagulation and head trauma. Even minor impacts can cause serious bleeding that expands over hours. Strongly encourage transport for CT evaluation.
EMR-SCEN-440,Trauma,Pregnant Trauma,scenario,A pregnant woman at 32 weeks gestation was in a moderate-speed car crash. She has abdominal pain and reports decreased fetal movement since the crash. Her vital signs are normal. What is your primary concern?,She is stable no concerns,Placental abruption. Even moderate trauma can cause placental separation. Decreased fetal movement and abdominal pain after trauma are warning signs. Normal maternal vital signs do not rule out fetal distress as the fetus becomes compromised first. Transport urgently for fetal monitoring,Only fetal monitoring at hospital if she wants,Minor pregnancy discomfort,B,Trauma can cause placental abruption. Decreased fetal movement and abdominal pain are concerning signs. The fetus is more vulnerable than mother and can be in distress while maternal vitals remain normal. Urgent transport for fetal monitoring and evaluation is indicated.
EMR-SCEN-441,Trauma,Sports Injury,scenario,A football player was tackled and is now lying on the field not moving. He is responsive but says he cannot feel or move his arms or legs. Coaches want to remove his helmet. What is correct management?,Remove helmet to assess breathing,Do NOT remove helmet unless it prevents airway management. Leave helmet and shoulder pads in place as they maintain spinal alignment. Apply manual inline stabilization. Remove only face mask if needed for airway access. Immobilize entire spine and transport,Let coaches manage the athlete,Have him try to walk off field,B,Do not remove athletic helmet unless necessary for airway management. Helmet and pads maintain neutral alignment. Removing only helmet hyperextends the neck. Apply stabilization remove face mask only if needed and immobilize. Never have a potentially spine-injured patient attempt to walk.
EMR-SCEN-442,Trauma,Hanging Strangulation,scenario,You find a patient who attempted hanging. He is unconscious but has a pulse and is breathing spontaneously. The ligature has been removed. What injuries should you suspect and how should you manage?,Only psychological care needed,Assume cervical spine injury and protect accordingly. Hanging causes cervical distraction injury. Also suspect laryngeal fracture and airway compromise. Vascular injury can cause delayed stroke. Anoxic brain injury may have occurred. Apply spinal precautions monitor airway closely provide oxygen transport emergently,His breathing means he is fine,Cervical collar only,B,Hanging causes cervical spine injury from distraction weight of body pulling and possible fracture or ligamentous injury. Airway injury laryngeal fracture is common. Anoxic brain injury and vascular injury also occur. Full spinal precautions close airway monitoring and emergent transport are indicated.
EMR-SCEN-443,Trauma,Multi-Victim,scenario,You arrive at a two-car crash with 4 patients. Your ambulance can transport 2. One patient is unresponsive not breathing. One has an obvious femur fracture and is screaming. One is ambulatory with arm pain. One is confused with head laceration. Who needs your ambulance first?,The screaming patient with femur fracture,The unresponsive patient and the confused head injury patient. The unresponsive patient needs immediate airway management and may be salvageable. Confused head injury patient may have brain injury requiring urgent intervention. Femur fracture is painful but not immediately life-threatening. Ambulatory patient is lowest priority,The ambulatory patient since he can walk to the ambulance,Whoever is closest,B,Prioritize by severity. Unresponsive not breathing needs immediate intervention. Confused head injury indicates possible brain injury. Both need urgent transport. Femur fracture though dramatic is not immediately life-threatening. Ambulatory patient is lowest priority and can wait for additional units.
EMR-SCEN-444,Trauma,Scene Safety Ongoing,scenario,You are treating a patient at a domestic violence scene. Police cleared the house but the aggressor fled. During treatment you hear someone enter through the back door. What should you do?,Continue treatment and ignore the sound,Stop treatment immediately and retreat to safety with your partner. The aggressor may have returned. Scene safety is ongoing not a one-time assessment. Notify police immediately. Do not re-enter until scene is again secured. Your safety enables patient care,Investigate the sound yourself,Hide and continue treating quietly,B,Scene safety is continuous. A fleeing aggressor can return. When new potential threats emerge retreat to safety immediately. You cannot help patients if you become a victim. Notify law enforcement and only return when scene is secured.
EMR-SCEN-445,Trauma,Drowning with Trauma,scenario,A diver struck his head on the pool bottom and was pulled from the water unconscious. He is not breathing and has no pulse. Bystanders are doing CPR. How does the diving mechanism change your approach?,No change proceed with normal CPR,Integrate drowning and trauma management. Assume cervical spine injury from diving mechanism. Perform jaw-thrust only for airway. Provide 2 initial rescue breaths as drowning arrest is hypoxic then continue CPR. Maintain inline stabilization throughout. Apply backboard while continuing resuscitation,Only treat as spinal injury no CPR,Wait for ALS before intervening,B,Diving injury combines drowning hypoxic arrest and spinal trauma. Use jaw-thrust maintain inline stabilization and prioritize ventilations as this is hypoxic arrest. Current guidelines recommend immediate CPR with spinal precautions integrated throughout resuscitation.
