emr_id,category,subcategory,question_type,question,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-SCEN-181,Trauma,Eye Injury,scenario,A patient has a piece of metal embedded in his eyeball. He is in pain and wants you to remove it. What should you do?,Remove the metal to relieve his pain,Do NOT remove embedded objects from the eye. Cover both eyes with cups or bulky dressings to prevent movement. Covering both eyes reduces consensual movement. Keep patient calm and transport for ophthalmologic care,Remove it and rinse the eye with water,Cover only the injured eye,B,Never remove objects embedded in the eye. Stabilize in place and cover both eyes because eyes move together and covering only one still allows movement. Use protective cups not pressure dressings. This patient needs emergency ophthalmology evaluation.
EMR-SCEN-182,Trauma,Eye Injury,scenario,A chemical splash hit a patient's eyes. She is in severe pain and cannot keep her eyes open. What is your priority?,Have her keep eyes closed to protect them,Immediately irrigate both eyes with copious water or saline for at least 20 minutes. Hold eyelids open and flush from inner to outer corner. Do not delay irrigation to transport. This is a true time-sensitive emergency,Apply eye drops,Cover eyes with dry gauze and transport,B,Chemical eye burns require immediate prolonged irrigation. Every second of delay worsens injury. Flush with water or saline for minimum 20 minutes from inner to outer corner. May need to physically hold lids open. Continue irrigation during transport if possible.
EMR-SCEN-183,Trauma,Facial Trauma,scenario,A patient punched in the face has facial swelling and cannot close his jaw completely. He has malocclusion where his teeth do not line up normally. He also has numbness of his lower lip. What injuries are likely?,Just bruising and swelling,Mandible jaw fracture. Signs include malocclusion inability to close jaw facial deformity and numbness from inferior alveolar nerve involvement. This patient also has potential airway compromise from swelling. Monitor airway closely,Dislocated tooth,TMJ sprain,B,Malocclusion deformity and lip numbness strongly suggest mandible fracture. These injuries can compromise the airway due to swelling blood and loss of tongue support. Monitor airway closely during transport. Patient will need surgical repair.
EMR-SCEN-184,Trauma,Soft Tissue,scenario,A patient has an avulsion injury where a large flap of skin on his forearm is hanging by a small attachment. The wound is bleeding moderately. What should you do?,Cut the flap off since it is barely attached,Gently replace the skin flap to its normal position and cover with moist sterile dressing then bandage. Do not remove partially attached tissue. The flap may survive if replaced and protected,Leave the flap hanging and just bandage,Avulsion flaps always need amputation,B,Do not remove partially attached avulsed tissue. Gently replace the flap to its normal anatomic position cover with moist sterile dressing and bandage appropriately. The tissue may remain viable if blood supply through the attachment is adequate.
EMR-SCEN-185,Trauma,Trauma Assessment,scenario,You arrive at a multi-vehicle crash with several patients. A woman is screaming in pain from an obvious arm deformity. A man nearby is silent slumped over with blood on his face. Who should you assess first?,The screaming woman since she is clearly in pain,The silent man. Patients who are screaming are breathing and conscious. The quiet patient may have a life-threatening condition. Assess the silent patient first as he may need immediate intervention,Whoever is closest to you,Treat them in order of arrival,B,In multi-patient situations prioritize assessment. Screaming indicates breathing and consciousness. Silent patients may have airway compromise or severe injury causing unresponsiveness. The quiet patient may be more critical than the loud one.
EMR-SCEN-186,Trauma,Trauma Assessment,scenario,During secondary assessment of a trauma patient you find a large bruise on the right upper quadrant of the abdomen and tenderness there. He was the driver in a car crash. What organ is likely injured?,Spleen,Liver. Right upper quadrant trauma with bruising and tenderness suggests liver injury. The liver is a highly vascular solid organ that can cause massive hemorrhage when injured. Watch for shock signs,Kidney,Appendix,B,The liver occupies most of the RUQ. RUQ trauma with bruising and tenderness suggests hepatic injury. The liver is highly vascular and hepatic lacerations can cause rapid massive hemorrhage. Monitor closely for shock development.
EMR-SCEN-187,Trauma,Wound Care,scenario,A patient has a large contaminated abrasion road rash on her leg from a motorcycle slide. There is dirt and debris ground into the wound. What wound care should you provide?,Scrub the wound vigorously to remove all debris,Gently irrigate with clean water or saline to remove loose debris. Do not scrub aggressively as this causes more tissue damage. Cover with clean moist dressing. Thorough cleaning will occur at the hospital,Leave the wound alone,Apply antibiotic ointment,B,For contaminated abrasions gently irrigate to remove loose debris but avoid aggressive scrubbing which causes additional tissue damage. Cover with clean dressing. Definitive wound cleaning and debridement will occur at the hospital.
EMR-SCEN-188,Trauma,Trauma Transport,scenario,You are 10 minutes from a trauma center and 5 minutes from a community hospital. Your patient has a severe head injury with decreasing level of consciousness and a systolic BP of 88. Where should you transport?,The closer community hospital,Transport to the trauma center despite the longer transport time. Severe trauma patients have better outcomes at trauma centers with neurosurgery and trauma surgery capability. The extra minutes are offset by definitive care capability,Whichever hospital is cheaper,Let the patient decide,B,Patients with severe trauma including TBI benefit from transport to trauma centers even if further away. Trauma centers have neurosurgery trauma surgery and resources for complex injuries. For critical trauma bypass closer hospitals for appropriate level of care.
EMR-SCEN-189,Trauma,Documentation,scenario,You treated a patient with multiple injuries from an assault. The patient told you details about the attacker. Should you document what the patient told you about the assault?,No focus only on medical information,Yes document the patient's statements in quotes as objective findings. Patient statements about how injury occurred are medically relevant and may be important for legal proceedings. Document what was said not your interpretation,Only if police ask you to,Delete any reference to assault,B,Document patient statements about injury mechanism in quotes as this is relevant medical information. Accurate documentation of circumstances may be important for medical care decisions and legal proceedings. Record objectively what the patient said.
EMR-SCEN-190,Trauma,Trauma vs Medical,scenario,You respond to a patient who collapsed on the street. Bystanders say he fell and hit his head. He smells of alcohol and has a head laceration. He is confused. Is this purely a trauma call?,Yes it is clearly trauma since he fell,This may be a medical emergency that caused the fall or trauma from the fall or both. Consider why he fell such as cardiac event stroke seizure or hypoglycemia. Do not assume confusion is from alcohol or head injury alone,Alcohol caused everything,Only treat the visible head wound,B,Falls in adults can be caused by medical conditions. This patient may have had a cardiac event stroke seizure or other medical emergency causing the fall. Altered mental status could be medical traumatic or from alcohol. Assess for both medical and trauma causes.
EMR-SCEN-191,Trauma,Non-Accidental Trauma,scenario,A 2-year-old has bruises on her back buttocks and thighs in various healing stages. The mother says she fell down stairs. The child is withdrawn and avoids eye contact with the mother. What should you consider?,Children bruise easily from normal play,Consider non-accidental trauma child abuse. Bruises in protected areas in various healing stages inconsistent with the stated mechanism and behavioral changes are warning signs. Document objectively and report your concerns as required,The mother's story is probably true,It is not your place to judge families,B,Multiple bruises in various healing stages in protected areas with mechanism that does not match the injury pattern and concerning behavioral signs suggest non-accidental trauma. Document findings objectively and report per mandatory reporting requirements.
EMR-SCEN-192,Trauma,Crush Injury,scenario,A worker was trapped under a collapsed wall for 2 hours before rescue. His leg was crushed but has no obvious fracture. He feels fine now that he is freed. Are there hidden dangers?,No if he feels fine he is okay,Yes crush syndrome can occur when pressure is released. Toxins and potassium accumulated in crushed tissue can cause cardiac arrhythmias and kidney failure when circulation is restored. Monitor closely especially for cardiac rhythm problems,Crush injuries are only dangerous if bones break,He should walk around to restore circulation,B,Crush syndrome occurs after prolonged compression releases toxins including potassium and myoglobin into circulation. This can cause fatal cardiac arrhythmias and renal failure. Patients may feel fine initially then deteriorate. Close monitoring and hospital evaluation are essential.
EMR-SCEN-193,Trauma,Bite Wounds,scenario,A patient was bitten by a dog. He has puncture wounds on his forearm that are bleeding moderately. What are the special concerns with bite wounds?,Bites are minor and just need a bandaid,Bite wounds have high infection risk due to bacteria in animal saliva. Clean gently do not scrub and cover with clean dressing. Document animal description and vaccination status if known. Patient needs medical evaluation for possible antibiotics and rabies consideration,Only rabid animals cause dangerous bites,Apply a tourniquet to prevent infection spread,B,Animal bites carry high infection risk from oral bacteria. Puncture wounds are especially concerning as bacteria are driven deep into tissue. Clean gently cover and transport for evaluation. Document animal information for rabies risk assessment.
EMR-SCEN-194,Trauma,Wound Complications,scenario,An injured patient's wound stopped bleeding initially but is now bleeding again after being moved. The blood is darker red and flows steadily. What has happened?,The wound reopened and this is arterial bleeding,Movement likely disrupted the clot. This appears to be venous bleeding based on dark color and steady flow. Apply direct pressure to re-establish hemostasis. Once bleeding is controlled minimize further patient movement,Nothing significant,This is normal wound drainage,B,Clots can be disrupted by movement causing rebleeding. Dark steady blood indicates venous bleeding. Apply direct pressure to control. Once hemostasis is achieved minimize unnecessary movement that could disrupt the new clot.
EMR-SCEN-195,Trauma,Trauma Summary,scenario,Summarizing trauma priorities: an injured patient is bleeding severely from the arm and has obvious respiratory distress with decreased breath sounds on the right. He is conscious but confused. What order should you address these problems?,Treat confusion first then breathing then bleeding,Address life threats in order. Stop the severe bleeding first as hemorrhage kills in minutes. Then manage the airway and breathing problem. Confusion may improve when bleeding and oxygenation are corrected. Use MARCH or similar prioritization,Breathing always comes before bleeding,Confusion indicates need for immediate transport,B,Current trauma guidelines prioritize massive hemorrhage control before airway and breathing because severe bleeding kills faster than airway obstruction. The MARCH algorithm addresses Massive hemorrhage Airway Respiration Circulation then Hypothermia in order. Stop bleeding first.
