emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-266,Operations,Safety,vocabulary,Personal Protective Equipment (PPE),Equipment worn to protect against hazards,Patient equipment,Provider safety equipment,Vehicle equipment,Hospital equipment,B,PPE includes gloves masks gowns and eye protection worn to protect providers from exposure to blood body fluids and infectious agents. Selection depends on the situation.
EMR-VOCAB-267,Operations,Safety,vocabulary,Body Substance Isolation (BSI),Precautions to prevent contact with body fluids,Body positioning,Infection precautions,Lifting technique,Patient isolation,B,BSI involves using appropriate barriers to prevent contact with blood and body fluids. It assumes all patients are potentially infectious. Gloves are minimum protection for all patient contact.
EMR-VOCAB-268,Operations,Safety,vocabulary,Standard Precautions,Infection control practices used for all patients,Special isolation,Universal infection control,Emergency procedures,Hospital policies,B,Standard precautions are infection control practices applied to all patients regardless of suspected infection status. They include hand hygiene PPE safe injection practices and respiratory hygiene.
EMR-VOCAB-269,Operations,Safety,vocabulary,Airborne Precautions,Protection for diseases spread through the air,Standard precautions,Protection for airborne spread,Droplet precautions,Contact precautions,B,Airborne precautions protect against diseases spread by small particles that remain suspended in air like tuberculosis. They require N95 respirators and negative pressure rooms.
EMR-VOCAB-270,Operations,Safety,vocabulary,Droplet Precautions,Protection for diseases spread by large respiratory droplets,Airborne precautions,Protection for droplet spread,Contact precautions,Standard precautions,B,Droplet precautions protect against diseases spread by larger respiratory droplets that fall within 3-6 feet like influenza. Surgical masks provide adequate protection.
EMR-VOCAB-271,Operations,Safety,vocabulary,Contact Precautions,Protection for diseases spread by direct contact,Airborne precautions,Protection for contact spread,Droplet precautions,Standard precautions,B,Contact precautions protect against diseases spread by direct or indirect contact like MRSA and C. difficile. They require gloves gowns and dedicated equipment.
EMR-VOCAB-272,Operations,Safety,vocabulary,Hazardous Materials (HazMat),Dangerous substances that pose health or safety risks,Medical supplies,Dangerous substances,Standard equipment,Patient belongings,B,Hazardous materials are substances that can cause harm to people or the environment. EMS providers should not enter hazmat scenes without proper training and equipment.
EMR-VOCAB-273,Operations,Safety,vocabulary,Decontamination,Process of removing harmful substances from patients or equipment,Adding medications,Removing contaminants,Sterilizing equipment,Cleaning vehicles,B,Decontamination removes hazardous materials from patients clothing and equipment. Patients may need decontamination before treatment to protect providers and prevent facility contamination.
EMR-VOCAB-274,Operations,Safety,vocabulary,Scene Safety,Assessment and assurance that a scene is safe before entering,Patient safety,Provider and scene security,Equipment safety,Hospital safety,B,Scene safety is the first priority on every call. Providers assess for hazards like traffic violence hazmat and structural dangers before approaching patients. An injured provider cannot help.
EMR-VOCAB-275,Operations,Safety,vocabulary,Mechanism of Injury (MOI),Forces and events that caused traumatic injury,Medical diagnosis,Injury-causing forces,Treatment protocol,Patient complaint,B,MOI describes how traumatic injuries occurred including type and amount of force direction of impact and factors like speed height and restraint use. It helps predict injury patterns.
EMR-VOCAB-276,Operations,Safety,vocabulary,Nature of Illness (NOI),Type and origin of medical condition,Traumatic injury,Medical condition type,Injury mechanism,Treatment plan,B,NOI describes what is wrong with a medical non-traumatic patient such as chest pain difficulty breathing or altered mental status. It guides assessment and treatment approach.
EMR-VOCAB-277,Operations,Operations,vocabulary,Triage,Sorting patients by severity when resources are limited,Single patient care,Multi-patient sorting,Hospital admission,Equipment organization,B,Triage is the process of rapidly assessing and categorizing multiple patients to determine treatment and transport priority. It is used in mass casualty incidents when patients exceed resources.
EMR-VOCAB-278,Operations,Operations,vocabulary,START Triage,Simple Triage And Rapid Treatment system for MCIs,Single patient assessment,MCI triage system,Hospital system,Equipment inventory,B,START is a triage system using RPM Respiration Perfusion Mental status to rapidly categorize patients as immediate delayed minor or deceased. It takes about 30 seconds per patient.
EMR-VOCAB-279,Operations,Operations,vocabulary,Mass Casualty Incident (MCI),Event with patients exceeding normal resources,Single patient call,Multi-patient emergency,Hospital emergency,Equipment failure,B,An MCI is any incident where the number of patients exceeds immediately available resources. The definition is relative to available resources. MCIs require triage and resource management.
EMR-VOCAB-280,Operations,Operations,vocabulary,Incident Command System (ICS),Standardized emergency management structure,Hospital hierarchy,Emergency management structure,Treatment protocol,Radio system,B,ICS is a standardized organizational structure for managing emergencies. It provides clear chain of command defined roles and scalability. It is used for all incidents from small to catastrophic.
EMR-VOCAB-281,Operations,Operations,vocabulary,Incident Commander,Person in charge of overall incident management,First arriving unit,Overall incident leader,Hospital administrator,Dispatch supervisor,B,The Incident Commander has overall authority for managing an incident. Initially this may be the first-arriving unit but transfers to more qualified personnel as they arrive.
EMR-VOCAB-282,Operations,Operations,vocabulary,Staging Area,Location where resources wait for assignment,Treatment area,Resource waiting area,Hospital area,Equipment storage,B,The staging area is where EMS units personnel and equipment wait until assigned to specific tasks. It keeps resources organized and ready for deployment without clogging the scene.
EMR-VOCAB-283,Operations,Operations,vocabulary,Extrication,Process of freeing a patient from entrapment,Patient assessment,Freeing trapped patients,Patient transport,Equipment removal,B,Extrication is the process of safely removing patients trapped in vehicles or structures. It may involve specialized equipment and personnel. Patient care continues during extrication.
EMR-VOCAB-284,Operations,Operations,vocabulary,Mutual Aid,Assistance provided by neighboring agencies,Internal assistance,Help from other agencies,Hospital assistance,Equipment sharing,B,Mutual aid agreements allow agencies to request assistance from neighboring departments when local resources are overwhelmed. This provides surge capacity during major incidents.
EMR-VOCAB-285,Operations,Legal,vocabulary,Negligence,Failure to provide standard care causing harm,Intentional harm,Unintentional failure causing harm,Proper care,Excellent care,B,Negligence is failure to provide care that a reasonable provider would provide resulting in patient harm. It requires proving duty breach causation and damages.
EMR-VOCAB-286,Operations,Legal,vocabulary,Abandonment,Terminating care without proper transfer,Proper transfer,Improper care termination,Patient refusal,Completion of care,B,Abandonment is ending patient care without transferring to someone of equal or higher training or without patient consent. Once care begins it must continue until properly transferred.
EMR-VOCAB-287,Operations,Legal,vocabulary,Assault,Creating fear of offensive contact,Actual contact,Threat of contact,Verbal insult,Abandonment,B,Assault in medical context means creating reasonable apprehension of harmful or offensive contact. Threatening to give treatment without consent could constitute assault.
EMR-VOCAB-288,Operations,Legal,vocabulary,Battery,Unlawful physical contact without consent,Verbal threat,Unwanted physical contact,Proper treatment,Equipment,B,Battery is actual harmful or offensive physical contact without consent. Treating a competent patient who refuses care could constitute battery.
EMR-VOCAB-289,Operations,Legal,vocabulary,Expressed Consent,Direct verbal or written permission for treatment,Implied permission,Direct stated permission,Assumed permission,Forced consent,B,Expressed consent is when a patient directly states or indicates permission for treatment. It may be verbal or written. Competent adults must give consent before treatment.
EMR-VOCAB-290,Operations,Legal,vocabulary,Implied Consent,Assumed consent when patient cannot give permission,Direct verbal consent,Assumed consent for unable patients,Written consent,Forced consent,B,Implied consent assumes an unconscious or incapacitated patient would consent to emergency care if able. It allows treatment of patients who cannot give expressed consent.
EMR-VOCAB-291,Operations,Legal,vocabulary,Informed Consent,Consent given after understanding treatment and risks,Any agreement,Consent with understanding,Written signature only,Verbal only,B,Informed consent requires that the patient understands the proposed treatment alternatives and risks before agreeing. Simply signing a form without understanding is not informed consent.
EMR-VOCAB-292,Operations,Legal,vocabulary,Refusal of Care,Patient's right to decline treatment,Mandatory acceptance,Right to decline care,Abandonment,Negligence,B,Competent adults have the right to refuse treatment even if the decision seems unwise. Refusal must be informed and the patient must understand the consequences. Documentation is essential.
EMR-VOCAB-293,Operations,Legal,vocabulary,Do Not Resuscitate (DNR),Order directing that CPR not be performed,Treat everything,No CPR order,Treat only pain,No treatment at all,B,A DNR order indicates the patient does not wish to receive CPR if they stop breathing or their heart stops. It does not mean withhold all care. Other treatments may still be appropriate.
EMR-VOCAB-294,Operations,Legal,vocabulary,Advance Directive,Document expressing patient wishes for future care,Medical diagnosis,Future care wishes document,Treatment protocol,Insurance form,B,Advance directives include living wills and healthcare powers of attorney. They document patient wishes for medical care if they become unable to make decisions.
EMR-VOCAB-295,Operations,Legal,vocabulary,Good Samaritan Law,Legal protection for people who help in emergencies,Hospital protection,Emergency helper protection,Provider punishment,Patient protection,B,Good Samaritan laws provide legal protection to people who voluntarily help others in emergencies. Protection typically requires acting in good faith within your training and without gross negligence.
EMR-VOCAB-296,Operations,Legal,vocabulary,Duty to Act,Legal obligation to provide care,Optional care,Required care obligation,Personal choice,Recommendation,B,Duty to act is the legal obligation to respond and provide care. It typically exists when EMS is dispatched and on duty. Off-duty personnel may not have the same duty depending on jurisdiction.
EMR-VOCAB-297,Operations,Wellness,vocabulary,Critical Incident Stress,Stress reactions after traumatic events,Normal daily stress,Post-trauma stress reactions,Physical injury,Equipment malfunction,B,Critical incident stress involves emotional cognitive physical and behavioral reactions to traumatic events. EMS providers may experience these after particularly difficult calls.
EMR-VOCAB-298,Operations,Wellness,vocabulary,CISD (Critical Incident Stress Debriefing),Structured group discussion after traumatic incidents,Medical debriefing,Post-incident group support,Equipment review,Protocol discussion,B,CISD is a structured group discussion led by trained facilitators after critical incidents. It helps normalize reactions and identify those who may need additional support.
EMR-VOCAB-299,Operations,Wellness,vocabulary,Burnout,Physical and emotional exhaustion from chronic stress,Sudden injury,Chronic exhaustion state,Equipment failure,Acute stress,B,Burnout is cumulative exhaustion from ongoing occupational stress. Symptoms include emotional exhaustion depersonalization and reduced sense of accomplishment. It develops over time.
EMR-VOCAB-300,Operations,Wellness,vocabulary,PTSD,Post-Traumatic Stress Disorder from exposure to trauma,Normal stress response,Disorder from trauma exposure,Physical injury,Burnout,B,PTSD is a mental health condition triggered by experiencing or witnessing traumatic events. Symptoms include flashbacks nightmares avoidance and hyperarousal. Treatment is available and effective.
