emr_id,category,subcategory,question_type,term,definition,option_a,option_b,option_c,option_d,correct_answer,rationale
EMR-VOCAB-578,Procedures,Immobilization,vocabulary,Traction splinting,Applying pulling force to realign femur fracture,Regular splinting,Femur fracture traction,Air splinting,Rigid splinting,B,Traction splinting applies longitudinal pull to the leg for femur fractures reducing muscle spasm bleeding and pain. Contraindications include hip knee or lower leg injury.
EMR-VOCAB-579,Procedures,Medical,vocabulary,Oral glucose administration,Giving sugar gel or liquid to hypoglycemic patient,Insulin administration,Hypoglycemia treatment,IV glucose,Glucagon injection,B,Oral glucose administration involves placing glucose gel between cheek and gum or giving glucose liquid to a conscious hypoglycemic patient who can swallow. Never give to unconscious patients.
EMR-VOCAB-580,Procedures,Medical,vocabulary,Aspirin administration,Giving aspirin for suspected cardiac event,Pain relief only,Cardiac emergency treatment,Blood thinner injection,Nitroglycerin only,B,Aspirin administration for suspected MI involves having the patient chew 160-325mg of aspirin if not allergic and no active bleeding. Chewing provides faster absorption than swallowing whole.
EMR-VOCAB-581,Procedures,Medical,vocabulary,Nitroglycerin assistance,Helping patient take their prescribed nitroglycerin,Giving unprescribed nitro,Prescribed medication assistance,Aspirin only,Oxygen only,B,Nitroglycerin assistance involves helping the patient use their own prescribed nitroglycerin for chest pain after confirming BP is adequate over 100 systolic. Place tablet or spray under tongue.
EMR-VOCAB-582,Procedures,Medical,vocabulary,Epinephrine auto-injector assistance,Helping patient use their prescribed epinephrine,Giving any epinephrine,Anaphylaxis medication help,Inhaler assistance,Aspirin assistance,B,EpiPen assistance involves helping the patient or giving the patient's prescribed auto-injector for anaphylaxis. Remove safety press firmly into outer thigh hold 10 seconds and massage site.
EMR-VOCAB-583,Procedures,Medical,vocabulary,Inhaler assistance,Helping patient use prescribed bronchodilator,Nebulizer treatment,Asthma medication help,Epinephrine help,Oxygen only,B,Inhaler assistance involves helping patients use their prescribed MDI for respiratory distress. Shake the inhaler have patient exhale actuate while inhaling slowly and hold breath.
EMR-VOCAB-584,Procedures,Medical,vocabulary,Naloxone administration,Giving opioid reversal medication,Pain medication,Overdose reversal treatment,Sedation,Glucose administration,B,Naloxone administration reverses opioid overdose effects. It can be given intranasally IM or IV depending on protocol. Be prepared for patient to become agitated or combative upon awakening.
EMR-VOCAB-585,Procedures,Trauma,vocabulary,Hemorrhage control,Techniques to stop bleeding,Wound cleaning,Bleeding management,Wound closure,Pain management,B,Hemorrhage control includes direct pressure wound packing tourniquets and hemostatic agents. The goal is to stop life-threatening bleeding as quickly as possible. Current guidelines emphasize early tourniquet use.
EMR-VOCAB-586,Procedures,Trauma,vocabulary,Wound care,Cleaning covering and protecting wounds,Bleeding control only,Wound management,Suturing,Surgery,B,Wound care involves controlling bleeding cleaning contamination covering with appropriate dressings and protecting from further injury. Impaled objects are stabilized in place not removed.
EMR-VOCAB-587,Procedures,Trauma,vocabulary,Burn care,Emergency treatment of thermal chemical or electrical burns,Wound care only,Burn injury treatment,Surgery,Skin grafting,B,Burn care involves stopping the burning process cooling removing non-adherent clothing and covering with clean dry dressings. Do not apply ice butter or ointments. Prevent hypothermia.
EMR-VOCAB-588,Procedures,Trauma,vocabulary,Eye irrigation,Flushing eye with fluid to remove contaminants,Eye drops,Eye washing procedure,Eye bandaging,Eye surgery,B,Eye irrigation flushes contaminants from the eye using water or saline. For chemical exposure irrigate for at least 20 minutes from inner to outer corner. Hold eyelids open.
EMR-VOCAB-589,Procedures,Childbirth,vocabulary,Emergency delivery,Assisting childbirth in field when transport is not possible,Hospital delivery,Field childbirth assistance,Cesarean section,Planned delivery,B,Emergency delivery involves preparing for delivery supporting the baby as it emerges checking for cord around neck suctioning the newborn clamping and cutting the cord and caring for mother and baby.
EMR-VOCAB-590,Procedures,Childbirth,vocabulary,Newborn resuscitation,Emergency care for non-breathing or distressed newborn,Adult CPR,Infant emergency care at birth,Regular infant CPR,Delivery only,B,Newborn resuscitation includes drying warming stimulating suctioning and providing ventilation and compressions if needed. Most newborns respond to basic stimulation and warming.
EMR-VOCAB-591,Procedures,Transport,vocabulary,Patient packaging,Preparing patient for transport with appropriate immobilization,Loading patient,Transport preparation,Stretcher placement,Vehicle operation,B,Patient packaging involves placing the patient on appropriate device backboard stretcher with proper immobilization protection from elements and securing for transport.
EMR-VOCAB-592,Procedures,Transport,vocabulary,Patient lifting,Techniques for safely moving patients,Carrying equipment,Safe patient movement,Loading ambulance,Stretcher operation,B,Patient lifting requires proper body mechanics adequate personnel and appropriate equipment. Lift with legs keep load close communicate with partners and know limitations.
EMR-VOCAB-593,Procedures,Transport,vocabulary,Stretcher operation,Using wheeled cot for patient transport,Carrying patient,Ambulance cot use,Backboard use,Stair chair use,B,Stretcher operation involves adjusting height loading patient properly securing restraints navigating terrain and loading into the ambulance. Two providers work together coordinating movements.
EMR-VOCAB-594,Procedures,Communication,vocabulary,Radio report,Verbal patient information transmitted to receiving facility,Written report,Hospital notification,Documentation,Dispatch communication,B,Radio report provides the receiving hospital with patient information including age gender chief complaint vital signs treatments and ETA. It allows preparation for patient arrival.
EMR-VOCAB-595,Procedures,Communication,vocabulary,Patient handoff,Transferring patient care to receiving facility,Radio report,Care transfer process,Documentation,Transport completion,B,Patient handoff involves verbal report to receiving staff transferring monitoring documentation and patient belongings. Ensure all critical information is communicated directly.
EMR-VOCAB-596,Procedures,Documentation,vocabulary,Patient care report,Written documentation of assessment and care provided,Radio report,Legal care record,Verbal report,Dispatch record,B,The PCR is the legal written record documenting the call including patient information assessment findings treatments patient response and transport information. It becomes part of the medical record.
EMR-VOCAB-597,Procedures,Documentation,vocabulary,Refusal documentation,Recording patient's decision to decline care or transport,Consent form,Refusal of care record,Treatment record,Transport record,B,Refusal documentation must show the patient had capacity understood risks and still declined care. Include risks explained patient statements witnesses and signature. Protects provider and patient.
EMR-VOCAB-598,Procedures,Safety,vocabulary,Scene size-up,Initial evaluation of scene for safety and resources,Patient assessment,Scene safety assessment,Primary assessment,Dispatch information,B,Scene size-up assesses scene safety number of patients mechanism or nature of illness and resource needs before approaching. It is the first step on every call and continues throughout.
EMR-VOCAB-599,Procedures,Safety,vocabulary,BSI precautions,Using appropriate barriers for infection prevention,Scene safety,Infection control measures,Patient safety,Equipment safety,B,BSI or standard precautions involve using appropriate PPE for all patient contacts assuming all blood and body fluids are potentially infectious. Minimum is gloves with additional PPE as needed.
EMR-VOCAB-600,Procedures,Safety,vocabulary,Hand hygiene,Cleaning hands to prevent infection transmission,Glove use,Hand washing or sanitizing,PPE donning,Equipment cleaning,B,Hand hygiene is the single most important infection prevention measure. Wash with soap and water or use alcohol-based sanitizer before and after every patient contact even when gloves are worn.
