id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale,certification,difficulty
11,Trauma,Head Advanced,ICP monitoring indicated for GCS:,13-15,9-12,8 or less with abnormal CT,All TBI,C,ICP monitoring: GCS 8 or less with abnormal CT or 2 of 3: age greater than 40 posturing SBP less than 90.,Paramedic,medium
12,Trauma,Head Advanced,Normal ICP is:,0-5 mmHg,5-15 mmHg,15-25 mmHg,25-35 mmHg,B,Normal ICP 5-15 mmHg; greater than 20-22 requires treatment.,Paramedic,medium
13,Trauma,Head Advanced,Monro-Kellie doctrine states:,Skull is expandable,Skull is fixed; brain blood CSF must compensate,CSF is constant,Blood volume is fixed,B,Monro-Kellie: rigid skull; increase in one component requires decrease in another.,Paramedic,medium
14,Trauma,Head Advanced,Second impact syndrome:,Two impacts same game,Catastrophic brain swelling from second injury before recovery from first,Bilateral subdural,Repeated concussions over years,B,Second impact: rare catastrophic cerebral edema from impact before first concussion resolved.,Paramedic,medium
15,Trauma,Head Advanced,Diffuse axonal injury caused by:,Direct impact,Rotational acceleration/deceleration forces,Penetrating trauma,Hypoxia,B,DAI: shearing of axons from rotational forces; often poor outcome.,Paramedic,medium
16,Trauma,Head Advanced,Coagulopathy in TBI occurs due to:,Blood loss only,Release of brain tissue thromboplastin,Cold fluids,Medication effect,B,TBI coagulopathy: brain tissue factor release activates coagulation then depletes factors.,Paramedic,medium
17,Trauma,Spine Advanced,SCIWORA stands for:,Spinal Cord Injury Without Obvious Radiographic Abnormality,Spine Compression In Whiplash Or Rear Accident,Spinal Column Intact Without Observable Resting Abnormality,None of above,A,SCIWORA: spinal cord injury with normal imaging; more common in children.,Paramedic,medium
18,Trauma,Spine Advanced,Central cord syndrome affects:,Lower extremities more,Upper extremities more than lower,One side only,Bladder only,B,Central cord: upper extremity weakness greater than lower; hyperextension injury.,Paramedic,medium
19,Trauma,Spine Advanced,Anterior cord syndrome spares:,Motor function,Proprioception and vibration,Pain and temperature,All modalities,B,Anterior cord: loss of motor pain temperature; proprioception vibration preserved.,Paramedic,medium
20,Trauma,Spine Advanced,Brown-Sequard syndrome results from:,Bilateral injury,Hemisection of cord with ipsilateral motor and contralateral sensory loss,Complete transection,Central cord injury,B,Brown-Sequard: hemisection; ipsilateral motor proprioception loss; contralateral pain temp loss.,Paramedic,medium
21,Trauma,Spine Advanced,Autonomic dysreflexia occurs with injuries above:,T1,T6,T10,L1,B,Autonomic dysreflexia: lesions above T6; noxious stimulus causes severe HTN bradycardia.,Paramedic,medium
22,Trauma,Spine Advanced,Autonomic dysreflexia treatment:,Lower patient,Sit patient up find and remove stimulus,Lay patient flat,Give epinephrine,B,Dysreflexia: sit up to lower BP; identify stimulus bladder full fecal impaction.,Paramedic,medium
23,Trauma,Spine Advanced,Methylprednisolone for spinal cord injury is:,Standard of care,No longer routinely recommended,Required in all cases,First-line treatment,B,Methylprednisolone: NASCIS studies controversial; not routinely recommended in most guidelines.,Paramedic,medium
24,Trauma,Chest Advanced,Tracheobronchial injury signs:,Isolated hemothorax,Massive air leak pneumomediastinum subcutaneous emphysema,Simple pneumothorax,Flail chest,B,Tracheobronchial injury: massive persistent air leak subcutaneous emphysema pneumomediastinum.,Paramedic,medium
25,Trauma,Chest Advanced,Traumatic aortic disruption survival depends on:,Age,Intact adventitia containing hemorrhage,Mechanism,Time of day,B,Aortic disruption: 80-90% die at scene; survivors have contained rupture by adventitia.,Paramedic,medium
26,Trauma,Chest Advanced,Chest X-ray finding suggesting aortic injury:,Widened mediastinum greater than 8 cm,Narrow mediastinum,Normal silhouette,Elevated diaphragm,A,Aortic injury CXR: widened mediastinum loss of aortic knob apical cap tracheal deviation.,Paramedic,medium
27,Trauma,Chest Advanced,Definitive diagnosis of aortic injury:,CXR,CT angiography,Ultrasound,Physical exam,B,Aortic injury: CT angiography gold standard; or TEE in unstable patients.,Paramedic,medium
28,Trauma,Chest Advanced,Pulmonary contusion worsens over:,Minutes,24-72 hours,Immediately,1 week,B,Pulmonary contusion: worsens 24-72 hours as edema develops; may require intubation.,Paramedic,medium
29,Trauma,Chest Advanced,Myocardial contusion diagnosed by:,CXR,ECG changes troponin elevation echocardiography,Physical exam alone,CT scan,B,Cardiac contusion: ECG arrhythmias troponin elevation echo wall motion abnormalities.,Paramedic,medium
30,Trauma,Chest Advanced,Diaphragmatic rupture more common on:,Right side,Left side,Equal,Posterior,B,Diaphragm rupture: left more common; liver protects right; stomach/colon herniation.,Paramedic,medium
31,Trauma,Abdominal Advanced,FAST exam evaluates for:,Fractures,Free fluid in peritoneum and pericardium,Solid organ injury,Hollow organ injury,B,FAST: focused assessment sonography trauma; free fluid in Morrison RUQ splenorenal pelvic pericardial.,Paramedic,medium
32,Trauma,Abdominal Advanced,Positive FAST in unstable patient indicates:,CT scan needed,Emergent laparotomy,Observation,Serial exams,B,Positive FAST plus hemodynamic instability equals OR for laparotomy.,Paramedic,medium
33,Trauma,Abdominal Advanced,DPL diagnostic peritoneal lavage positive if:,Gross blood,Greater than 10 mL blood or RBC greater than 100000 WBC greater than 500,Any fluid return,Clear fluid,B,DPL positive: 10 mL gross blood or RBC greater than 100000 WBC greater than 500 or bile food bacteria.,Paramedic,medium
34,Trauma,Abdominal Advanced,Solid organ injury grading system:,Random,AAST grade I-V based on depth and vascular involvement,ABC system,None exists,B,AAST grading: I-V increasing severity; guides operative vs non-operative management.,Paramedic,medium
35,Trauma,Abdominal Advanced,Non-operative management of splenic injury requires:,Any facility,Trauma center capability for emergent OR and monitoring,Outpatient follow-up,No follow-up,B,Non-op spleen: requires ICU monitoring serial exams HCT OR capability for failure.,Paramedic,medium
36,Trauma,Abdominal Advanced,Retroperitoneal hemorrhage from pelvic fracture:,Easy to diagnose on FAST,May not show on FAST can lose entire blood volume,Always visible,Self-limited,B,Retroperitoneal bleed: FAST may be negative; can lose entire blood volume; pelvic binder.,Paramedic,medium
37,Trauma,Abdominal Advanced,Damage control surgery includes:,Complete definitive repair,Hemorrhage control contamination control temporary closure,Extended OR time,Delayed surgery,B,Damage control: stop bleeding contamination; temporary closure; ICU resuscitation; return to OR.,Paramedic,medium
38,Trauma,Burns Advanced,Fluid creep in burns:,Under-resuscitation,Over-resuscitation exceeding Parkland leading to complications,Appropriate fluid,No fluid needed,B,Fluid creep: over-resuscitation causes abdominal compartment syndrome pulmonary edema.,Paramedic,medium
39,Trauma,Burns Advanced,Abdominal compartment syndrome in burns caused by:,Direct injury,Massive fluid resuscitation with edema,Inhalation injury,Electrical injury,B,ACS in burns: massive resuscitation causes bowel wall edema increased abdominal pressure.,Paramedic,medium
40,Trauma,Burns Advanced,Escharotomy indications:,All burns,Circumferential full-thickness burn with compromised circulation or ventilation,Partial thickness,Facial burns,B,Escharotomy: circumferential eschar restricting chest movement or limb perfusion.,Paramedic,medium
41,Trauma,Burns Advanced,Escharotomy performed:,Through eschar into viable tissue,Through eschar only not into subcutaneous fat,Into muscle,Partial thickness only,B,Escharotomy: incise through eschar only; should not significantly bleed.,Paramedic,medium
42,Trauma,Burns Advanced,Burn wound conversion:,Healing,Partial becomes full-thickness from inadequate perfusion or infection,Full becomes partial,Grafting,B,Wound conversion: zone of stasis can become necrosis if hypoperfusion infection hypothermia.,Paramedic,medium
43,Trauma,Burns Advanced,Silver sulfadiazine contraindicated in:,All burns,Sulfa allergy pregnancy near term G6PD deficiency,Deep burns,Facial burns,B,SSD contraindicated: sulfa allergy pregnancy last month G6PD deficiency.,Paramedic,medium
44,Trauma,Burns Advanced,Burn center referral criteria include:,All burns,Greater than 10% TBSA inhalation electrical face hands feet genitals,First degree only,Sunburn,B,Burn center: partial greater than 10% full-thickness inhalation electrical hands face feet genitals.,Paramedic,medium
45,Trauma,Blast Advanced,Primary blast injury mechanism:,Shrapnel,Pressure wave affecting air-filled organs,Structural collapse,Burns,A,Primary blast: pressure wave damages air-filled organs lungs ears GI.,Paramedic,medium
46,Trauma,Blast Advanced,Secondary blast injury from:,Pressure wave,Flying debris shrapnel,Structural collapse,Burns,B,Secondary blast: projectiles fragments shrapnel; most common cause of injury.,Paramedic,medium
47,Trauma,Blast Advanced,Tertiary blast injury from:,Pressure wave,Flying debris,Body thrown into objects,Burns,C,Tertiary: body propelled by blast wave into objects or structures.,Paramedic,medium
48,Trauma,Blast Advanced,Quaternary blast injury includes:,Pressure effects,Debris,Thrown body,Burns inhalation crush,D,Quaternary: all other injuries burns inhalation crush psychological.,Paramedic,medium
49,Trauma,Blast Advanced,Blast lung presents with:,Hemothorax,Dyspnea cough hemoptysis butterfly infiltrates,Pneumothorax only,Rib fractures,B,Blast lung: alveolar hemorrhage edema; dyspnea cough hemoptysis; butterfly pattern CXR.,Paramedic,medium
50,Trauma,Special Situations,Pregnant trauma patient blood volume changes:,Decreased,Increased 45-50% masking blood loss,Unchanged,Doubled,B,Pregnancy: blood volume increases 45-50%; may lose 30% before showing signs.,Paramedic,medium
51,Trauma,Special Situations,Fetal distress indicator:,Maternal tachycardia,FHR less than 110 or greater than 160 or late decelerations,Normal maternal VS,Maternal hypotension only,B,Fetal distress: FHR abnormalities bradycardia tachycardia late decelerations loss of variability.,Paramedic,medium
52,Trauma,Special Situations,Kleihauer-Betke test detects:,Maternal anemia,Fetal blood in maternal circulation,Blood type,Clotting factors,B,KB test: detects fetal RBCs in maternal blood; guides RhoGAM dosing.,Paramedic,medium
53,Trauma,Special Situations,RhoGAM in trauma indicated for:,All pregnant patients,Rh-negative mother with potential fetal-maternal hemorrhage,Rh-positive mother,Only first trimester,B,RhoGAM: Rh-negative mother prevents sensitization from fetal blood exposure.,Paramedic,medium
54,Trauma,Special Situations,Pediatric trauma differences:,Same as adult,Larger head proportionally more head injuries; solid organs less protected,Smaller blood volume absolute,More rigid chest,B,Pediatric trauma: large head more TBI; flexible ribs transmit force to organs; compensate then crash.,Paramedic,medium
55,Trauma,Special Situations,Child abuse skeletal findings:,Single fracture,Multiple fractures different healing stages metaphyseal corner fractures,Spiral fracture tibia,Clavicle fracture,B,Abuse fractures: multiple ages metaphyseal corner bucket handle posterior ribs scapula.,Paramedic,medium
56,Trauma,Special Situations,Elder trauma mortality higher due to:,Same risk as young,Decreased reserve comorbidities anticoagulation,Better outcomes,Lower injury severity,B,Elder trauma: decreased physiologic reserve comorbidities anticoagulation mask signs.,Paramedic,medium
57,Trauma,Special Situations,Anticoagulated patient reversal for warfarin:,Protamine,Vitamin K FFP PCC 4-factor,Tranexamic acid,Platelets,B,Warfarin reversal: vitamin K IV plus PCC 4-factor or FFP for bleeding.,Paramedic,medium
58,Trauma,Special Situations,DOAC reversal agents:,Vitamin K,Idarucizumab for dabigatran andexanet alfa for Xa inhibitors,Protamine,FFP only,B,DOAC reversal: idarucizumab Praxbind for dabigatran; andexanet alfa for rivaroxaban apixaban.,Paramedic,medium
59,Trauma,Special Situations,PCC 4-factor contains:,Factors II VII IX X,Factors II VII IX X proteins C and S,Only factor VII,Only platelets,A,4-factor PCC: all vitamin K dependent factors II VII IX X; some include proteins C S.,Paramedic,medium
60,Trauma,Special Situations,Obese patient trauma considerations:,Standard equipment,Difficult airway larger drug doses specialized equipment,Easier to manage,Lower injury severity,B,Obesity: difficult airway increased drug volumes equipment weight limits positioning.,Paramedic,medium
61,Trauma,Orthopedic Advanced,Fat embolism syndrome:,Immediate,24-72 hours post fracture petechiae confusion hypoxia,No latent period,Only with open fractures,B,Fat embolism: 24-72 hours after long bone pelvic fractures; petechiae neuro changes hypoxia.,Paramedic,medium
62,Trauma,Orthopedic Advanced,Rhabdomyolysis complications:,Pain only,Hyperkalemia AKI DIC compartment syndrome,Hypokalemia,Hypocalcemia only,B,Rhabdo complications: hyperK from cell lysis AKI from myoglobin DIC compartment syndrome.,Paramedic,medium
63,Trauma,Orthopedic Advanced,Rhabdomyolysis treatment:,Restrict fluids,Aggressive crystalloid mannitol bicarbonate for alkalinization,NSAIDs,Potassium replacement,B,Rhabdo: aggressive NS goal UOP 200-300 mL/hr; bicarb alkalinize urine; avoid nephrotoxins.,Paramedic,medium
64,Trauma,Orthopedic Advanced,CK level indicating significant rhabdomyolysis:,100 U/L,Greater than 5000-10000 U/L,500 U/L,50000 U/L minimum,B,Rhabdo: CK greater than 5-10x normal; greater than 5000-10000 significant risk AKI.,Paramedic,medium
65,Trauma,Orthopedic Advanced,Pelvic fracture classifications:,Random,Tile APC LC VS;Young-Burgess,ABC system,None exists,B,Pelvic fractures: APC anteroposterior compression LC lateral compression VS vertical shear.,Paramedic,medium
66,Trauma,Orthopedic Advanced,APC pelvic fracture opens pelvis:,Anteriorly,Like a book increasing volume,Laterally,Vertically,B,APC: opens pelvis anteriorly book open; increased pelvic volume hemorrhage.,Paramedic,medium
67,Trauma,Orthopedic Advanced,Lateral compression pelvic fracture:,Opens pelvis,Closes pelvis compresses,No volume change,Vertical displacement,B,LC: compresses pelvis; usually lower transfusion needs than APC.,Paramedic,medium
68,Trauma,Orthopedic Advanced,Femoral neck fracture risk:,Minimal,AVN avascular necrosis of femoral head,Only infection,Only nonunion,B,Femoral neck: high risk AVN; blood supply disrupted; surgical emergency.,Paramedic,medium
69,Trauma,Orthopedic Advanced,Posterior hip dislocation position:,Flexed adducted internally rotated,Extended abducted externally rotated,Neutral position,Flexed externally rotated,A,Posterior hip: flexed adducted internally rotated shortened; sciatic nerve at risk.,Paramedic,medium
70,Trauma,Orthopedic Advanced,Anterior hip dislocation position:,Flexed adducted internally rotated,Extended abducted externally rotated,Neutral position,Flexed adducted externally rotated,B,Anterior hip: extended abducted externally rotated; femoral nerve vessels at risk.,Paramedic,medium
71,Trauma,Vascular Advanced,Hard signs of vascular injury:,Bruising,Pulsatile bleeding expanding hematoma absent pulses bruit thrill,Pain,Fracture,B,Hard signs: require immediate intervention; pulsatile bleed expanding hematoma pulse deficit bruit.,Paramedic,medium
72,Trauma,Vascular Advanced,Soft signs of vascular injury:,Pulsatile bleeding,Proximity of wound history of bleeding diminished pulse nerve deficit,Absent pulse,Bruit,B,Soft signs: require further evaluation; proximity diminished pulse nerve deficit history.,Paramedic,medium
73,Trauma,Vascular Advanced,ABI ankle brachial index normal:,Less than 0.5,0.9-1.2,Greater than 1.5,Less than 0.7,B,Normal ABI: 0.9-1.2; less than 0.9 suggests arterial injury.,Paramedic,medium
74,Trauma,Vascular Advanced,Reperfusion injury occurs from:,Hypoxia alone,Return of blood flow releasing oxygen free radicals inflammatory mediators,Hyperoxia,Hypothermia,B,Reperfusion: restoration of flow releases ROS inflammatory mediators; can worsen tissue damage.,Paramedic,medium
75,Trauma,Vascular Advanced,Mangled extremity salvage vs amputation considers:,Appearance only,Limb severity score MESS ischemia time nerve injury contamination,Patient preference only,Always salvage,B,Amputation decision: severity scores ischemia time warm greater than 6 hrs nerve status contamination.,Paramedic,medium
76,Trauma,Resuscitation Advanced,Permissive hypotension target in penetrating trauma:,SBP 60,SBP 80-90 or palpable radial pulse,SBP 120,MAP 65,B,Penetrating: permissive hypotension SBP 80-90 until surgical control; reduces clot disruption.,Paramedic,medium
77,Trauma,Resuscitation Advanced,Resuscitative thoracotomy indication:,All arrests,Penetrating trauma with signs of life within 15 min or blunt within 10 min,Blunt trauma only,Medical arrest,B,ED thoracotomy: penetrating with recent signs of life; blunt shorter window lower survival.,Paramedic,medium
78,Trauma,Resuscitation Advanced,Resuscitative thoracotomy goals:,Diagnose,Release tamponade control hemorrhage cross-clamp aorta internal cardiac massage,Imaging,Fluid resuscitation,B,Thoracotomy: open pericardium control cardiac hemorrhage aortic cross-clamp direct cardiac massage.,Paramedic,medium
79,Trauma,Resuscitation Advanced,Aortic cross-clamping:,Permanent procedure,Temporary to redirect blood to heart brain until OR,Never indicated,For all shock,B,Aortic cross-clamp: temporary; redirects blood to coronary cerebral circulation; causes distal ischemia.,Paramedic,medium
80,Trauma,Resuscitation Advanced,Balanced resuscitation means:,Only crystalloid,Minimize crystalloid use blood products in ratios approximating whole blood,Large crystalloid volumes,Delayed blood products,B,Balanced: limit crystalloid early blood products 1:1:1 ratio; mimics whole blood.,Paramedic,medium
81,Trauma,Environmental,Frostbite treatment:,Rapid rewarming in 37-39C water,Rapid rewarming in 40-42C water for 15-30 min,Slow rewarming,Rubbing affected area,B,Frostbite: rapid rewarming 40-42C 104-108F water until thawed; extremely painful.,Paramedic,medium
82,Trauma,Environmental,Refreezing frostbitten tissue:,Acceptable,Worse than delayed thawing; avoid if refreezing possible,No difference,Preferred,B,Refreezing: causes more severe injury; delay thawing if cannot maintain thawed state.,Paramedic,medium
83,Trauma,Environmental,Immersion foot trench foot:,Same as frostbite,Prolonged cold wet exposure without freezing,Heat injury,Infection only,B,Immersion foot: prolonged wet cold exposure above freezing; different from frostbite.,Paramedic,medium
84,Trauma,Environmental,Avalanche burial survival:,Decreases linearly,90% if rescued within 15 min drops significantly after 30 min,Constant,Increases with time,B,Avalanche: survival drops rapidly; 90% if less than 15 min; 30% at 35 min; airway most critical.,Paramedic,medium
85,Trauma,Environmental,Lightning strike mechanism:,Direct strike only,Direct strike side flash ground current contact voltage upward streamer,Always direct,Never direct,B,Lightning mechanisms: direct side flash ground current contact upward streamer blunt.,Paramedic,medium
86,Trauma,Environmental,Reverse triage in lightning strike MCI:,Triage normal,Treat apparently dead first they may have best survival,Ignore dead,Normal priority,B,Lightning reverse triage: treat pulseless first; may survive with resuscitation unlike other MCI.,Paramedic,medium
87,Trauma,Environmental,Snake envenomation treatment:,Tourniquet and incision,Immobilization antivenom supportive care,Ice application,Suction device,B,Snake bite: immobilize supportive care antivenom; avoid tourniquet ice incision suction.,Paramedic,medium
88,Trauma,Environmental,Crotalidae polyvalent immune Fab CroFab for:,All snake bites,North American pit viper envenomation,Non-venomous bites,Coral snake,B,CroFab: for rattlesnake copperhead cottonmouth; not coral snake.,Paramedic,medium
89,Trauma,Environmental,Marine envenomation jellyfish treatment:,Fresh water rinse,Vinegar for box jelly hot water for most others remove tentacles,Ice application,Alcohol rinse,B,Jellyfish: vinegar for box; hot water 45C for most; remove tentacles; avoid fresh water pressure.,Paramedic,medium
90,Trauma,Environmental,Stingray envenomation treatment:,Cold water,Hot water immersion 45C 113F,Pressure immobilization,Tourniquet,B,Stingray: hot water immersion heat denatures venom protein; wound care tetanus antibiotics.,Paramedic,medium
91,Trauma,Tactical,TCCC phases:,ABC,Care under fire tactical field care tactical evacuation care,Scene size up,START triage,B,TCCC: CUF fire superiority; TFC systematic care; TACEVAC evacuation platform care.,Paramedic,medium
92,Trauma,Tactical,Care Under Fire priorities:,Full assessment,Return fire move to cover control catastrophic hemorrhage,IV access,Airway management,B,CUF: fire superiority; self and casualty to cover; tourniquet for life-threatening hemorrhage.,Paramedic,medium
93,Trauma,Tactical,Tactical Field Care includes:,Fire suppression only,Systematic assessment MARCH airway breathing circulation,Only hemorrhage control,Transport only,B,TFC: MARCH Massive hemorrhage Airway Respiration Circulation Hypothermia/Head injury.,Paramedic,medium
94,Trauma,Tactical,Combat gauze hemostatic agent mechanism:,Pressure only,Kaolin activates clotting cascade,Cauterization,Vasoconstriction,B,Combat gauze: kaolin impregnated activates factor XII clotting cascade.,Paramedic,medium
95,Trauma,Tactical,Junctional hemorrhage treatment:,Tourniquet,Junctional tourniquet wound packing hemostatic agents,Pressure only,Observation,B,Junctional: groin axilla neck; junctional tourniquets wound packing hemostatic dressings.,Paramedic,medium
96,Trauma,Tactical,Needle decompression in tactical setting:,Standard 14g 3.25 inch,14g 3.25 inch or longer may need 10g,18g 1.5 inch,20g 1 inch,B,Tactical: longer needles 3.25 inch or longer; 10g for larger patients; body armor considerations.,Paramedic,medium
97,Trauma,Tactical,Hypothermia prevention in tactical:,Not important,Critical; active and passive warming from point of injury,Only during transport,Hospital only,B,Hypothermia prevention: critical; remove wet clothes insulate heat sources early.,Paramedic,medium
98,Trauma,Tactical,TCCC TXA administration:,Not recommended,1g IV/IO as soon as possible within 3 hours,Only at hospital,Oral only,B,TXA TCCC: 1g IV/IO ASAP for hemorrhagic shock anticipated transfusion; within 3 hours.,Paramedic,medium
99,Trauma,Tactical,Prolonged field care:,Standard transport times,Extended care when evacuation delayed greater than 4 hours,Only in hospital,Urban EMS only,B,PFC: extended care when evacuation delayed; monitoring resuscitation antibiotics analgesia.,Paramedic,medium
