aemt_id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,rationale
AEMT-CARD-011,AEMT Cardiology,Cardiac Rhythm Recognition,A 70-year-old male presents with weakness and confusion. His wife says he has been deteriorating over the past few hours. He has a pacemaker implanted 5 years ago. Vital signs are BP 82/54 HR 35 RR 18 SpO2 94% on room air. The cardiac monitor shows pacer spikes followed by QRS complexes at a rate of 35 but you also see pacer spikes that are NOT followed by QRS complexes. What pacemaker malfunction is occurring and how should you manage this?,The pacemaker is working normally just at a slow rate,This is pacemaker failure to capture where some pacer spikes are not causing cardiac contraction. The patient is symptomatic. Provide supportive care with IV fluids and positioning and transport urgently. External pacing may be needed as a bridge,Turn off the pacemaker with a magnet,This is not a pacemaker problem,B,Failure to capture occurs when the pacemaker generates an electrical impulse pacer spike but the impulse does not cause myocardial depolarization resulting in no QRS complex following some spikes. Causes include lead dislodgement or fracture battery depletion increased capture threshold from fibrosis or medications and electrolyte abnormalities. This patient is symptomatic with hypotension altered mental status and inadequate heart rate. At AEMT level provide supportive care including IV access IV fluid bolus and positioning. Transcutaneous pacing may override the failing pacemaker and is an ALS intervention. Transport urgently for pacemaker evaluation and possible replacement.
AEMT-CARD-012,AEMT Cardiology,Cardiac Rhythm Recognition,A 78-year-old female is found unresponsive by her husband. She has no pulse and is not breathing. You attach the cardiac monitor while your partner begins CPR. The monitor shows a flat line in the lead you are viewing. Before confirming asystole what must you verify?,The flat line confirms asystole. Begin ACLS protocol,Verify asystole by checking in at least two different leads ensuring leads are properly connected checking monitor gain and confirming this is not fine ventricular fibrillation,A flat line always means the patient is dead,Check her blood sugar before doing anything else,B,Before accepting asystole you must rule out technical issues and fine VF which can appear as a flat line. Verify in at least two different leads by changing lead selection on the monitor. Confirm all leads are properly connected to both the monitor and the patient. Check that the gain is turned up appropriately. Fine VF may appear as a flat line in one lead but show fibrillation in another. True asystole confirmed in multiple leads with proper connections has a very poor prognosis. If confirmed asystole begin CPR and ACLS protocols including epinephrine and addressing reversible causes. Asystole is not a shockable rhythm.
AEMT-CARD-013,AEMT Cardiology,Cardiac Arrest Management,You arrive at a residence where a 62-year-old male collapsed 3 minutes ago. His wife called 911 and has been performing CPR as instructed by dispatch. You find him unresponsive and pulseless. The AED is attached and advises shock. What are your immediate priorities and actions in managing this cardiac arrest at the AEMT level?,Wait for paramedics to arrive before doing anything,Deliver the shock immediately then resume high-quality CPR. Establish IV or IO access and administer epinephrine 1 mg per protocol. Continue cycles of CPR rhythm analysis and shocks as indicated. Prepare airway equipment,Check his blood sugar first,Start CPR and wait 2 minutes before analyzing the rhythm,B,In cardiac arrest immediate priorities are high-quality CPR and early defibrillation for shockable rhythms. Deliver the shock immediately then resume CPR for 2 minutes before the next rhythm check. At AEMT level you can establish IV or IO access and administer epinephrine 1 mg IV/IO every 3-5 minutes per your protocols. Maintain high-quality CPR with minimal interruptions compression rate 100-120 per minute depth 2-2.4 inches allowing full chest recoil. Provide BVM ventilation with high-flow oxygen. Prepare for advanced airway if BVM is inadequate. AEMTs play a critical role in the chain of survival.
AEMT-CARD-014,AEMT Cardiology,Cardiac Arrest Management,You are managing the cardiac arrest patient. After the second shock and 2 minutes of high-quality CPR the rhythm changes from ventricular fibrillation to an organized narrow complex rhythm at 72 bpm. You stop CPR to check for a pulse. You feel a weak carotid pulse and the patient has some spontaneous agonal respirations at 6 per minute. BP is 68/42. What has occurred and what are your priorities now?,Resume CPR because the blood pressure is too low,The patient has achieved return of spontaneous circulation ROSC. Do not resume CPR if pulse is present. Priorities are airway management ventilation at 10-12 per minute oxygenation and blood pressure support with IV fluids. Continue monitoring for rearrest,The rhythm is PEA and you should continue CPR,Terminate resuscitation since his breathing is inadequate,B,Return of spontaneous circulation ROSC is indicated by a perfusing rhythm with palpable pulse. This patient has ROSC despite his low blood pressure and inadequate breathing. Do not perform CPR on a patient with a pulse. Post-ROSC priorities include airway management with continued BVM ventilation at 10-12 breaths per minute targeting SpO2 94-98% blood pressure support with IV crystalloid bolus targeting SBP greater than 90 mmHg and continuous monitoring as rearrest is common in the early post-ROSC period. Transport to a facility capable of post-cardiac arrest care including potential cardiac catheterization and targeted temperature management.
AEMT-CARD-015,AEMT Cardiology,Cardiac Arrest Management,During transport your post-ROSC patient suddenly becomes pulseless again. The monitor shows ventricular fibrillation. What do you do?,Continue transport without intervention since he already arrested once,Immediately defibrillate and resume CPR. Rearrest is common after ROSC and requires immediate intervention. Continue resuscitation efforts during transport,Pronounce the patient dead since he arrested twice,Check his blood glucose,B,Rearrest after ROSC is common occurring in up to 50% of patients initially resuscitated. When rearrest occurs immediate defibrillation and CPR are required just as with the initial arrest. Do not give up on a patient who rearrests. Defibrillate immediately for VF resume high-quality CPR and continue resuscitation efforts. Epinephrine and other interventions should continue per ACLS protocols. Patients can have multiple episodes of arrest and ROSC. Continue aggressive resuscitation during transport. The patient achieved ROSC once indicating a potentially salvageable heart and should be given every chance at survival.
AEMT-CARD-016,AEMT Cardiology,Cardiac Arrest Special Situations,You respond to a cardiac arrest in a 55-year-old male who was found in a bathtub. The bathroom is cold and the water in the tub is cold. He is unresponsive and pulseless. His body temperature feels very cold to touch. CPR is initiated. What modifications to resuscitation should you consider for a hypothermic cardiac arrest?,Hypothermic patients cannot be resuscitated so do not attempt CPR,Hypothermic patients may appear dead but can have excellent neurological recovery even after prolonged arrest. Continue CPR handle gently and if in VF defibrillate once then focus on CPR and rewarming. Medications may be ineffective when cold,Use hot water bottles on his chest during CPR,Pronounce death immediately due to the cold exposure,B,Hypothermic cardiac arrest requires modified resuscitation. The saying you are not dead until you are warm and dead reflects the neuroprotective effects of hypothermia. Patients have survived with good neurological outcomes after prolonged arrest in severe hypothermia. Handle the patient gently as rough movement can trigger arrhythmias in the hypothermic heart. If in VF defibrillate once but if unsuccessful defer additional shocks until temperature rises above 86F or 30C as the cold heart is resistant to defibrillation. Continue high-quality CPR. Medications are less effective when cold. Focus on rewarming and transport to a facility capable of active core rewarming.
AEMT-CARD-017,AEMT Cardiology,Cardiac Arrest Special Situations,A 34-year-old pregnant female at approximately 32 weeks gestation collapses and is found to be pulseless. CPR is initiated. What modification is essential when performing CPR on a pregnant patient in the third trimester?,No modifications are needed for pregnant patients,Perform CPR with manual left uterine displacement by having someone push the uterus to the left. The gravid uterus compresses the IVC when supine reducing venous return and making standard CPR less effective,Perform CPR with the patient on her left side only,CPR is contraindicated in pregnancy,B,In late pregnancy the gravid uterus compresses the inferior vena cava when the patient is supine reducing venous return by up to 30%. This makes standard CPR less effective because cardiac output during compressions depends on adequate venous return. Manual left uterine displacement is performed by having one rescuer push the uterus continuously to the patient's left side while CPR is performed on a firm flat surface. This moves the uterus off the IVC improving venous return. All standard ACLS medications and defibrillation are indicated in pregnancy. If no ROSC occurs within 4-5 minutes perimortem cesarean delivery may be indicated to relieve aortocaval compression.
AEMT-CARD-018,AEMT Cardiology,Heart Failure,A 68-year-old male with a history of heart failure presents with worsening shortness of breath over the past 3 days. He cannot lie flat and has been sleeping in a recliner. He has bilateral lower extremity edema that is worse than his baseline. He admits to eating salty foods and missing some doses of his diuretic. Vital signs are BP 162/94 HR 96 RR 26 SpO2 90% on room air. Lung sounds reveal crackles in both lower lung fields. What type of heart failure exacerbation is this and what is appropriate AEMT treatment?,He has a respiratory infection and needs antibiotics,This is acute decompensated heart failure with pulmonary edema from fluid overload. Treatment includes sitting him upright high-flow oxygen or CPAP if available and in your scope and nitroglycerin if blood pressure supports it,He has pneumonia not heart failure,Give him IV fluids for dehydration,B,This patient has classic signs of acute decompensated heart failure with orthopnea inability to lie flat pulmonary edema crackles elevated JVP peripheral edema and identified triggers dietary indiscretion and diuretic non-compliance. The fluid overload has caused pulmonary edema impairing oxygenation. Treatment focuses on reducing preload and improving oxygenation. Sit him upright to reduce venous return. Provide high-flow oxygen or CPAP if available as positive pressure improves oxygenation and reduces preload. Nitroglycerin 0.4 mg SL causes venodilation reducing preload and is appropriate if SBP is above 100. Do NOT give IV fluids as this would worsen fluid overload.
AEMT-CARD-019,AEMT Cardiology,Heart Failure,You are treating the heart failure patient with CPAP at 10 cmH2O. His SpO2 has improved from 90% to 94% and he says he can breathe easier. You have established IV access and given nitroglycerin 0.4 mg SL. His blood pressure was 162/94 and is now 138/86. He remains in moderate distress. Should you give additional nitroglycerin?,No because his blood pressure has already dropped 24 mmHg,Yes if his chest pain or dyspnea persists and SBP remains above 100 you can give additional nitroglycerin every 5 minutes to further reduce preload and improve his symptoms,Give morphine instead of more nitroglycerin,He needs diuretics not more nitroglycerin,B,Nitroglycerin reduces preload through venodilation which is beneficial in pulmonary edema. It can be given every 5 minutes as long as systolic BP remains above 100 mmHg and the patient continues to have symptoms. His blood pressure drop of 24 mmHg is expected and acceptable since he remains above 100 systolic. Continue nitroglycerin if dyspnea persists. Monitor blood pressure closely before each dose. CPAP should be continued as it provides ongoing benefit. Diuretics like furosemide are important in CHF management but are typically hospital treatments. The combination of positioning oxygen/CPAP and nitroglycerin is appropriate AEMT-level treatment for acute pulmonary edema.
AEMT-CARD-020,AEMT Cardiology,Heart Failure,A 74-year-old female with heart failure presents with severe respiratory distress. She is tripoding coughing up pink frothy sputum and can only speak one word at a time. She is pale and diaphoretic. Vital signs are BP 88/54 HR 128 RR 36 SpO2 78% on room air. She has crackles throughout both lung fields. Her skin is cool and clammy. How does her presentation differ from the previous patient and how does this change your management?,She has the same condition and should be treated identically,She has cardiogenic shock in addition to pulmonary edema evidenced by her hypotension and poor perfusion. Nitroglycerin and CPAP may worsen hypotension. Focus on oxygenation with BVM if needed positioning and rapid transport. Avoid preload reduction in hypotensive patients,Give aggressive nitroglycerin to reduce her fluid overload,Give her IV fluids to raise her blood pressure,B,This patient has cardiogenic pulmonary edema like the previous patient but she is also in cardiogenic shock with hypotension cool clammy skin and poor perfusion. Cardiogenic shock means the heart cannot pump adequately to meet tissue needs. In this situation preload-reducing treatments like nitroglycerin and CPAP may worsen hypotension by further reducing cardiac filling. CPAP also decreases venous return. Focus on oxygenation with high-flow oxygen or BVM assistance if needed positioning to optimize her work of breathing and rapid transport. She needs advanced interventions such as inotropes that are beyond AEMT scope. This is a critically ill patient.
AEMT-CARD-021,AEMT Cardiology,Hypertensive Emergency,A 52-year-old male presents with severe headache blurred vision and chest discomfort. He has a history of hypertension but admits he stopped taking his medications 3 months ago. He appears anxious and uncomfortable. Vital signs are BP 224/138 HR 102 RR 20 SpO2 97% on room air. He has no focal neurological deficits. What is this condition and what is appropriate AEMT management?,His blood pressure is only mildly elevated and does not need treatment,This is hypertensive emergency with symptoms suggesting end-organ damage headache visual changes chest discomfort. At AEMT level provide supportive care IV access cardiac monitoring and transport for BP management. If he has chest pain consistent with ACS consider nitroglycerin which may also help lower BP,Give him his home blood pressure medication,This is just anxiety and will resolve if he calms down,B,Hypertensive emergency is severely elevated blood pressure with evidence of acute end-organ damage. Target organs include the brain headache visual changes stroke heart chest pain MI and kidneys. This patient has symptoms suggesting brain and possibly cardiac involvement. At AEMT level treatment is primarily supportive with IV access monitoring and transport. If chest pain is consistent with ACS standard ACS treatment including nitroglycerin may be appropriate which would also help reduce blood pressure. Do not give oral home medications as their onset is unpredictable. Definitive treatment with IV antihypertensives is a hospital intervention. Monitor closely for deterioration especially stroke.
AEMT-CARD-022,AEMT Cardiology,Syncope,A 78-year-old female is found on the floor of her bathroom by her husband. He heard a thud and found her lying next to the toilet. She is now awake and says she felt lightheaded while urinating and the next thing she remembers is being on the floor. She denies chest pain or palpitations. She has a history of hypertension and takes metoprolol and lisinopril. Vital signs lying down are BP 132/78 HR 68 RR 16 SpO2 98%. What type of syncope is most likely and what additional assessment is important?,This is definitely a cardiac arrhythmia and she needs a pacemaker,This is most likely vasovagal or situational syncope triggered by the vagal response to urination. Obtain orthostatic vital signs by checking BP and HR lying then sitting then standing. Assess for injuries from the fall,She had a stroke,Her medications caused the syncope,B,Vasovagal syncope is the most common cause of syncope and can be triggered by situations like urination called micturition syncope straining or emotional stress. The vagal response causes bradycardia and vasodilation leading to transient cerebral hypoperfusion and loss of consciousness. Orthostatic vital signs are important to check for orthostatic hypotension which could contribute. Check BP and HR lying sitting and standing with a drop of 20 mmHg systolic or 10 mmHg diastolic being significant. Also assess for injuries from the fall as elderly patients are prone to fractures. Although this sounds like vasovagal syncope cardiac causes must be ruled out in elderly patients so transport for evaluation is appropriate.
AEMT-CARD-023,AEMT Cardiology,Syncope,You have obtained orthostatic vital signs on the syncope patient. Lying BP is 132/78 HR 68. Sitting BP is 126/76 HR 72. Standing BP is 88/54 HR 120 and she feels lightheaded and needs to sit down. What do these findings indicate?,Her vital signs are normal and she can refuse transport,She has significant orthostatic hypotension with a greater than 20 mmHg drop in systolic BP on standing. This combined with her age and medications metoprolol lisinopril suggests she needs evaluation for causes of orthostatic hypotension and is at high risk for recurrent syncope and falls,The standing heart rate increase shows she is just anxious,Only the lying blood pressure matters,B,Orthostatic hypotension is defined as a drop of 20 mmHg or more in systolic BP or 10 mmHg in diastolic BP within 3 minutes of standing. This patient has a 44 mmHg drop in systolic BP which is significant. Her heart rate appropriately increases trying to compensate but is inadequate to maintain blood pressure. Contributing factors likely include her medications as both beta-blockers and ACE inhibitors can contribute to orthostatic hypotension and possibly dehydration. She is at high risk for recurrent syncope and falls. Transport for evaluation and potentially medication adjustment. She should not be left alone and certainly should not drive.
AEMT-CARD-024,AEMT Cardiology,Syncope,A 68-year-old male had witnessed syncope while walking. Bystanders report he suddenly collapsed without warning and was unconscious for about 30 seconds. They report he appeared pale and may have had brief twitching movements. He has no history of seizures. He is now alert and oriented but tired. He denies any warning symptoms before passing out. Vital signs are normal and he is in normal sinus rhythm on the monitor. What feature of his syncope is concerning and why should he be transported?,Since his vital signs are normal and he feels fine he can refuse transport,Syncope without warning or prodrome especially during exertion or while upright and walking suggests cardiac syncope possibly from arrhythmia or structural heart disease. Cardiac syncope carries risk of sudden death. He needs cardiac evaluation,The brief twitching confirms this was a seizure not syncope,He had vasovagal syncope and will be fine,B,Cardiac syncope is suggested by several features including lack of prodrome or warning syncope during exertion or while upright syncope in older patients or those with heart disease and brief clonic movements which can occur with any cerebral hypoperfusion and do not indicate seizure. Vasovagal syncope typically has prodromal symptoms like nausea warmth tunnel vision. This patient had sudden collapse without warning while walking which raises concern for arrhythmia such as ventricular tachycardia or heart block or structural heart disease. Cardiac syncope carries significant risk of sudden death. He needs cardiac evaluation including ECG monitoring and possibly echocardiogram.
AEMT-CARD-025,AEMT Cardiology,Peripheral Vascular,A 62-year-old male presents with sudden onset of severe pain in his right leg that began 2 hours ago. His right leg is pale and cool compared to the left. He cannot feel you touching his right foot and cannot move his toes. You cannot palpate a dorsalis pedis or posterior tibial pulse on the right. The left leg has normal pulses and sensation. He has a history of atrial fibrillation and heart failure. His medications include warfarin diltiazem and furosemide. What is the likely diagnosis and why is his atrial fibrillation relevant?,He has a muscle cramp from dehydration,This is acute arterial occlusion likely from an embolus originating from his fibrillating left atrium. The 6 Ps of acute limb ischemia are present Pain Pallor Pulselessness Paresthesias Paralysis and Poikilothermia. This is a surgical emergency requiring rapid transport,He has deep vein thrombosis,His leg fell asleep from sitting too long,B,Acute arterial occlusion is a limb-threatening emergency. The classic 6 Ps are Pain Pallor Pulselessness Paresthesias abnormal sensation Paralysis and Poikilothermia cool temperature. This patient has all six. Atrial fibrillation causes blood stasis in the left atrium promoting thrombus formation. These thrombi can embolize to any arterial bed with the legs being a common site. Acute limb ischemia can lead to irreversible muscle and nerve damage within 6 hours. This patient needs emergent surgical intervention either embolectomy or catheter-based intervention. At AEMT level protect the limb keep it in dependent position avoid pressure or trauma and transport immediately.
AEMT-CARD-026,AEMT Cardiology,Peripheral Vascular,A 55-year-old female presents with left leg pain and swelling that has been worsening over the past 3 days. She recently returned from a long international flight. Her left calf is visibly swollen red and warm compared to the right. She has pain when you press on the calf. She denies chest pain or shortness of breath. Vital signs are normal. What condition do you suspect and what serious complication must you warn her about?,She has a muscle strain from the long flight,This is likely deep vein thrombosis DVT. The serious complication is pulmonary embolism if the clot dislodges and travels to the lungs. Do not massage the leg and advise her that any sudden shortness of breath or chest pain requires immediate emergency care,She has an infection requiring antibiotics,Apply ice and elevate the leg,B,Deep vein thrombosis DVT occurs when blood clots form in the deep veins usually of the legs. Risk factors include recent prolonged immobility such as long flights surgery malignancy and clotting disorders. Signs include unilateral leg swelling warmth redness and pain. The greatest danger is pulmonary embolism if the clot dislodges and travels through the venous system to the pulmonary arteries. Do not massage the affected leg as this could dislodge the clot. Counsel the patient that any sudden shortness of breath chest pain or lightheadedness requires immediate emergency evaluation for PE. Transport for evaluation including ultrasound to confirm DVT and anticoagulation treatment.
